letter,exp 1,minimum,maximum,average,average_percent,STD,VAR,estimate
E,16456,16456,16456,16456.0,14.9787,,,16456.0
S,8357,8357,8357,8357.0,7.6067,,,8357.0
T,7734,7734,7734,7734.0,7.0397,,,7734.0
N,7544,7544,7544,7544.0,6.8667,,,7544.0
R,7502,7502,7502,7502.0,6.8285,,,7502.0
A,7392,7392,7392,7392.0,6.7284,,,7392.0
I,7391,7391,7391,7391.0,6.7275,,,7391.0
O,7082,7082,7082,7082.0,6.4462,,,7082.0
U,6820,6820,6820,6820.0,6.2077,,,6820.0
L,5486,5486,5486,5486.0,4.9935,,,5486.0
D,3616,3616,3616,3616.0,3.2914,,,3616.0
M,3558,3558,3558,3558.0,3.2386,,,3558.0
C,3368,3368,3368,3368.0,3.0656,,,3368.0
P,2897,2897,2897,2897.0,2.6369,,,2897.0
V,1944,1944,1944,1944.0,1.7695,,,1944.0
É,1922,1922,1922,1922.0,1.7495,,,1922.0
H,1689,1689,1689,1689.0,1.5374,,,1689.0
F,1284,1284,1284,1284.0,1.1687,,,1284.0
B,1234,1234,1234,1234.0,1.1232,,,1234.0
G,1165,1165,1165,1165.0,1.0604,,,1165.0
Q,1073,1073,1073,1073.0,0.9767,,,1073.0
J,904,904,904,904.0,0.8228,,,904.0
Y,759,759,759,759.0,0.6909,,,759.0
À,436,436,436,436.0,0.3969,,,436.0
È,423,423,423,423.0,0.385,,,423.0
X,420,420,420,420.0,0.3823,,,420.0
Z,398,398,398,398.0,0.3623,,,398.0
W,272,272,272,272.0,0.2476,,,272.0
K,192,192,192,192.0,0.1748,,,192.0
Ê,188,188,188,188.0,0.1711,,,188.0
Ô,105,105,105,105.0,0.0956,,,105.0
Â,79,79,79,79.0,0.0719,,,79.0
Ù,49,49,49,49.0,0.0446,,,49.0
Î,45,45,45,45.0,0.041,,,45.0
Û,34,34,34,34.0,0.0309,,,34.0
Ç,29,29,29,29.0,0.0264,,,29.0
Ï,9,9,9,9.0,0.0082,,,9.0
Ë,7,7,7,7.0,0.0064,,,7.0
