letter,exp 1,minimum,maximum,average,average_percent,STD,VAR
E,16456,16456,16456,16456.0,14.9787,,
S,8357,8357,8357,8357.0,7.6067,,
T,7734,7734,7734,7734.0,7.0397,,
N,7544,7544,7544,7544.0,6.8667,,
R,7502,7502,7502,7502.0,6.8285,,
A,7392,7392,7392,7392.0,6.7284,,
I,7391,7391,7391,7391.0,6.7275,,
O,7082,7082,7082,7082.0,6.4462,,
U,6820,6820,6820,6820.0,6.2077,,
L,5486,5486,5486,5486.0,4.9935,,
D,3616,3616,3616,3616.0,3.2914,,
M,3558,3558,3558,3558.0,3.2386,,
C,3368,3368,3368,3368.0,3.0656,,
P,2897,2897,2897,2897.0,2.6369,,
V,1944,1944,1944,1944.0,1.7695,,
É,1922,1922,1922,1922.0,1.7495,,
H,1689,1689,1689,1689.0,1.5374,,
F,1284,1284,1284,1284.0,1.1687,,
B,1234,1234,1234,1234.0,1.1232,,
G,1165,1165,1165,1165.0,1.0604,,
Q,1073,1073,1073,1073.0,0.9767,,
J,904,904,904,904.0,0.8228,,
Y,759,759,759,759.0,0.6909,,
À,436,436,436,436.0,0.3969,,
È,423,423,423,423.0,0.385,,
X,420,420,420,420.0,0.3823,,
Z,398,398,398,398.0,0.3623,,
W,272,272,272,272.0,0.2476,,
K,192,192,192,192.0,0.1748,,
Ê,188,188,188,188.0,0.1711,,
Ô,105,105,105,105.0,0.0956,,
Â,79,79,79,79.0,0.0719,,
Ù,49,49,49,49.0,0.0446,,
Î,45,45,45,45.0,0.041,,
Û,34,34,34,34.0,0.0309,,
Ç,29,29,29,29.0,0.0264,,
Ï,9,9,9,9.0,0.0082,,
Ë,7,7,7,7.0,0.0064,,
