letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,8250,8203,8203,8202,8210,8187,8167,8183,8343,8299,8232,8150,8303,8382,8229,8293,8256,8246,8143,8165,8273,8370,8273,8219,8230,8165,8272,8265,8258,8312,8278,8231,8298,8238,8258,8272,8262,8129,8213,8266,8207,8164,8220,8315,8190,8186,8311,8219,8191,8146,8129,8382,8237.0,15.0012,58.6909,3444.6208,16474.0
S,4182,4165,4254,4099,4193,4248,4152,4115,4152,4197,4193,4162,4160,4185,4199,4232,4152,4187,4202,4112,4223,4138,4180,4264,4169,4205,4087,4243,4190,4194,4139,4179,4179,4163,4176,4207,4102,4141,4192,4166,4218,4137,4144,4199,4211,4210,4123,4159,4204,4231,4087,4264,4178.0,7.609,40.8047,1665.022,8356.0
T,3910,3831,3836,3801,3896,3868,3889,3972,3772,3852,3800,3897,3823,3879,3826,3925,3823,3953,3839,3914,3930,3840,3870,3805,3857,3855,3801,3848,3847,3862,3940,3818,3935,3887,3835,3933,3813,3886,3851,3883,3901,3852,3830,3916,3927,3967,3822,3770,3886,3895,3770,3972,3867.0,7.0426,49.9153,2491.5412,7734.0
N,3721,3744,3804,3758,3716,3764,3759,3727,3701,3833,3783,3764,3762,3822,3773,3824,3777,3794,3766,3777,3722,3754,3767,3825,3743,3845,3800,3739,3733,3729,3830,3761,3760,3784,3791,3707,3764,3765,3763,3781,3775,3743,3827,3735,3714,3741,3791,3774,3778,3770,3701,3845,3767.0,6.8604,34.856,1214.9388,7534.0
R,3773,3722,3695,3791,3733,3824,3838,3843,3689,3765,3747,3787,3747,3763,3674,3723,3763,3745,3694,3812,3774,3720,3708,3738,3683,3766,3749,3701,3760,3790,3741,3705,3742,3763,3648,3672,3722,3794,3783,3805,3695,3751,3753,3763,3789,3766,3834,3665,3822,3754,3648,3843,3749.0,6.8277,47.3172,2238.9159,7498.0
I,3659,3748,3731,3721,3589,3746,3747,3727,3719,3710,3629,3783,3712,3702,3711,3718,3763,3648,3668,3784,3771,3692,3664,3701,3666,3725,3729,3760,3724,3724,3719,3671,3699,3777,3799,3728,3704,3610,3584,3768,3672,3690,3680,3692,3585,3718,3685,3658,3690,3770,3584,3799,3705.0,6.7475,51.233,2624.8163,7410.0
A,3723,3681,3652,3690,3694,3685,3670,3671,3708,3686,3686,3598,3718,3759,3705,3646,3646,3692,3733,3609,3766,3719,3684,3684,3676,3648,3714,3760,3663,3672,3730,3726,3663,3682,3693,3697,3738,3732,3682,3747,3754,3682,3732,3700,3723,3722,3607,3691,3589,3656,3589,3766,3691.0,6.722,41.1173,1690.6302,7382.0
O,3594,3517,3528,3587,3522,3542,3614,3603,3506,3483,3577,3479,3568,3546,3575,3478,3462,3514,3546,3547,3523,3599,3471,3529,3576,3538,3546,3464,3494,3554,3507,3512,3521,3530,3539,3525,3529,3533,3452,3518,3512,3527,3453,3509,3587,3550,3489,3569,3529,3647,3452,3647,3532.0,6.4325,43.0353,1852.0408,7064.0
U,3463,3456,3430,3408,3365,3494,3427,3395,3490,3346,3375,3453,3455,3429,3418,3360,3372,3430,3435,3416,3296,3374,3318,3444,3405,3402,3495,3422,3402,3430,3473,3323,3358,3358,3410,3385,3445,3421,3375,3408,3378,3440,3292,3396,3379,3425,3400,3451,3381,3425,3292,3495,3406.0,6.203,46.8202,2192.129,6812.0
L,2723,2730,2806,2718,2752,2776,2758,2778,2726,2717,2732,2748,2748,2748,2704,2754,2722,2776,2706,2733,2732,2771,2716,2741,2737,2718,2763,2679,2703,2750,2727,2669,2732,2789,2755,2790,2741,2857,2725,2817,2765,2755,2693,2782,2757,2721,2735,2741,2764,2729,2669,2857,2744.0,4.9974,34.1412,1165.62,5488.0
