letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,16500.0,16406.0,16406.0,16404.0,16420.0,16374.0,16334.0,16366.0,16686.0,16598.0,16464.0,16300.0,16606.0,16764.0,16458.0,16586.0,16512.0,16492.0,16286.0,16330.0,16546.0,16740.0,16546.0,16438.0,16460.0,16330.0,16544.0,16530.0,16516.0,16624.0,16556.0,16462.0,16596.0,16476.0,16516.0,16544.0,16524.0,16258.0,16426.0,16532.0,16414.0,16328.0,16440.0,16630.0,16380.0,16372.0,16622.0,16438.0,16382.0,16292.0,16258.0,16764.0,16475.0,14.9999,117.3818,13778.4833
S,8364.0,8330.0,8508.0,8198.0,8386.0,8496.0,8304.0,8230.0,8304.0,8394.0,8386.0,8324.0,8320.0,8370.0,8398.0,8464.0,8304.0,8374.0,8404.0,8224.0,8446.0,8276.0,8360.0,8528.0,8338.0,8410.0,8174.0,8486.0,8380.0,8388.0,8278.0,8358.0,8358.0,8326.0,8352.0,8414.0,8204.0,8282.0,8384.0,8332.0,8436.0,8274.0,8288.0,8398.0,8422.0,8420.0,8246.0,8318.0,8408.0,8462.0,8174.0,8528.0,8356.0,7.6078,81.6094,6660.0882
T,7820.0,7662.0,7672.0,7602.0,7792.0,7736.0,7778.0,7944.0,7544.0,7704.0,7600.0,7794.0,7646.0,7758.0,7652.0,7850.0,7646.0,7906.0,7678.0,7828.0,7860.0,7680.0,7740.0,7610.0,7714.0,7710.0,7602.0,7696.0,7694.0,7724.0,7880.0,7636.0,7870.0,7774.0,7670.0,7866.0,7626.0,7772.0,7702.0,7766.0,7802.0,7704.0,7660.0,7832.0,7854.0,7934.0,7644.0,7540.0,7772.0,7790.0,7540.0,7944.0,7734.0,7.0415,99.8307,9966.1649
N,7442.0,7488.0,7608.0,7516.0,7432.0,7528.0,7518.0,7454.0,7402.0,7666.0,7566.0,7528.0,7524.0,7644.0,7546.0,7648.0,7554.0,7588.0,7532.0,7554.0,7444.0,7508.0,7534.0,7650.0,7486.0,7690.0,7600.0,7478.0,7466.0,7458.0,7660.0,7522.0,7520.0,7568.0,7582.0,7414.0,7528.0,7530.0,7526.0,7562.0,7550.0,7486.0,7654.0,7470.0,7428.0,7482.0,7582.0,7548.0,7556.0,7540.0,7402.0,7690.0,7535.0,6.8604,69.7119,4859.7551
R,7546.0,7444.0,7390.0,7582.0,7466.0,7648.0,7676.0,7686.0,7378.0,7530.0,7494.0,7574.0,7494.0,7526.0,7348.0,7446.0,7526.0,7490.0,7388.0,7624.0,7548.0,7440.0,7416.0,7476.0,7366.0,7532.0,7498.0,7402.0,7520.0,7580.0,7482.0,7410.0,7484.0,7526.0,7296.0,7344.0,7444.0,7588.0,7566.0,7610.0,7390.0,7502.0,7506.0,7526.0,7578.0,7532.0,7668.0,7330.0,7644.0,7508.0,7296.0,7686.0,7499.0,6.8276,94.6344,8955.6637
I,7318.0,7496.0,7462.0,7442.0,7178.0,7492.0,7494.0,7454.0,7438.0,7420.0,7258.0,7566.0,7424.0,7404.0,7422.0,7436.0,7526.0,7296.0,7336.0,7568.0,7542.0,7384.0,7328.0,7402.0,7332.0,7450.0,7458.0,7520.0,7448.0,7448.0,7438.0,7342.0,7398.0,7554.0,7598.0,7456.0,7408.0,7220.0,7168.0,7536.0,7344.0,7380.0,7360.0,7384.0,7170.0,7436.0,7370.0,7316.0,7380.0,7540.0,7168.0,7598.0,7410.0,6.7465,102.4659,10499.2653
A,7446.0,7362.0,7304.0,7380.0,7388.0,7370.0,7340.0,7342.0,7416.0,7372.0,7372.0,7196.0,7436.0,7518.0,7410.0,7292.0,7292.0,7384.0,7466.0,7218.0,7532.0,7438.0,7368.0,7368.0,7352.0,7296.0,7428.0,7520.0,7326.0,7344.0,7460.0,7452.0,7326.0,7364.0,7386.0,7394.0,7476.0,7464.0,7364.0,7494.0,7508.0,7364.0,7464.0,7400.0,7446.0,7444.0,7214.0,7382.0,7178.0,7312.0,7178.0,7532.0,7383.0,6.722,82.2345,6762.5208
O,7188.0,7034.0,7056.0,7174.0,7044.0,7084.0,7228.0,7206.0,7012.0,6966.0,7154.0,6958.0,7136.0,7092.0,7150.0,6956.0,6924.0,7028.0,7092.0,7094.0,7046.0,7198.0,6942.0,7058.0,7152.0,7076.0,7092.0,6928.0,6988.0,7108.0,7014.0,7024.0,7042.0,7060.0,7078.0,7050.0,7058.0,7066.0,6904.0,7036.0,7024.0,7054.0,6906.0,7018.0,7174.0,7100.0,6978.0,7138.0,7058.0,7294.0,6904.0,7294.0,7064.0,6.4315,86.0707,7408.1633
U,6926.0,6912.0,6860.0,6816.0,6730.0,6988.0,6854.0,6790.0,6980.0,6692.0,6750.0,6906.0,6910.0,6858.0,6836.0,6720.0,6744.0,6860.0,6870.0,6832.0,6592.0,6748.0,6636.0,6888.0,6810.0,6804.0,6990.0,6844.0,6804.0,6860.0,6946.0,6646.0,6716.0,6716.0,6820.0,6770.0,6890.0,6842.0,6750.0,6816.0,6756.0,6880.0,6584.0,6792.0,6758.0,6850.0,6800.0,6902.0,6762.0,6850.0,6584.0,6990.0,6813.0,6.203,93.6404,8768.5159
L,5446.0,5460.0,5612.0,5436.0,5504.0,5552.0,5516.0,5556.0,5452.0,5434.0,5464.0,5496.0,5496.0,5496.0,5408.0,5508.0,5444.0,5552.0,5412.0,5466.0,5464.0,5542.0,5432.0,5482.0,5474.0,5436.0,5526.0,5358.0,5406.0,5500.0,5454.0,5338.0,5464.0,5578.0,5510.0,5580.0,5482.0,5714.0,5450.0,5634.0,5530.0,5510.0,5386.0,5564.0,5514.0,5442.0,5470.0,5482.0,5528.0,5458.0,5338.0,5714.0,5488.0,4.9966,68.2824,4662.48
D,3702.0,3470.0,3606.0,3608.0,3640.0,3632.0,3626.0,3584.0,3676.0,3566.0,3634.0,3628.0,3648.0,3634.0,3688.0,3496.0,3534.0,3648.0,3612.0,3654.0,3532.0,3710.0,3628.0,3724.0,3720.0,3674.0,3666.0,3662.0,3684.0,3704.0,3582.0,3548.0,3700.0,3638.0,3608.0,3590.0,3558.0,3586.0,3604.0,3594.0,3586.0,3664.0,3642.0,3540.0,3570.0,3600.0,3618.0,3534.0,3682.0,3642.0,3470.0,3724.0,3621.0,3.2968,58.4878,3420.8261
M,3562.0,3584.0,3584.0,3648.0,3538.0,3634.0,3420.0,3588.0,3570.0,3608.0,3618.0,3568.0,3420.0,3570.0,3552.0,3556.0,3538.0,3540.0,3580.0,3556.0,3546.0,3582.0,3610.0,3566.0,3458.0,3538.0,3516.0,3500.0,3552.0,3498.0,3616.0,3506.0,3538.0,3652.0,3504.0,3466.0,3412.0,3476.0,3464.0,3494.0,3562.0,3570.0,3460.0,3532.0,3592.0,3610.0,3502.0,3618.0,3590.0,3576.0,3412.0,3652.0,3546.0,3.2285,58.6919,3444.7347
C,3446.0,3318.0,3392.0,3398.0,3402.0,3408.0,3306.0,3414.0,3360.0,3450.0,3288.0,3372.0,3368.0,3472.0,3412.0,3414.0,3312.0,3450.0,3384.0,3310.0,3388.0,3354.0,3386.0,3310.0,3430.0,3406.0,3310.0,3346.0,3388.0,3384.0,3408.0,3320.0,3330.0,3340.0,3240.0,3338.0,3306.0,3434.0,3322.0,3310.0,3372.0,3344.0,3390.0,3392.0,3310.0,3362.0,3424.0,3254.0,3498.0,3458.0,3240.0,3498.0,3370.0,3.0683,56.6669,3211.1429
P,2876.0,2934.0,2894.0,2874.0,2888.0,2866.0,2834.0,2980.0,2966.0,2884.0,2936.0,2900.0,2882.0,2932.0,2830.0,2890.0,2948.0,2822.0,2884.0,3016.0,2946.0,2876.0,2940.0,2916.0,2884.0,2936.0,2930.0,2930.0,2952.0,2918.0,2830.0,2922.0,2778.0,2942.0,3000.0,2836.0,2920.0,2910.0,2896.0,2962.0,2838.0,2892.0,2918.0,2952.0,2914.0,2972.0,2820.0,2910.0,2866.0,2838.0,2778.0,3016.0,2903.0,2.6431,50.1915,2519.1837
V,1956.0,1970.0,1930.0,1922.0,1956.0,1888.0,1914.0,1982.0,1864.0,1916.0,1864.0,1938.0,1888.0,1902.0,1868.0,1922.0,1914.0,1866.0,1930.0,1966.0,1984.0,1930.0,1996.0,1976.0,2014.0,1930.0,1972.0,2052.0,1960.0,1964.0,1916.0,1914.0,1972.0,1962.0,1884.0,1882.0,1964.0,1918.0,1984.0,2026.0,1920.0,1942.0,1898.0,1992.0,1898.0,1894.0,1988.0,1986.0,1906.0,1944.0,1864.0,2052.0,1938.0,1.7645,44.3006,1962.5404
É,1944.0,1922.0,1898.0,1908.0,1902.0,1894.0,1944.0,1952.0,1884.0,1894.0,1858.0,1936.0,1942.0,1934.0,1888.0,1908.0,1938.0,2008.0,1956.0,1884.0,1922.0,1932.0,1936.0,1952.0,1976.0,1928.0,1956.0,1870.0,1850.0,1932.0,1978.0,1850.0,1924.0,1958.0,1924.0,1946.0,1876.0,1908.0,1994.0,1954.0,1880.0,1858.0,1782.0,1916.0,1874.0,1898.0,1864.0,1880.0,1916.0,1916.0,1782.0,2008.0,1914.0,1.7426,41.783,1745.822
H,1690.0,1674.0,1652.0,1644.0,1680.0,1722.0,1694.0,1712.0,1684.0,1646.0,1632.0,1740.0,1674.0,1664.0,1694.0,1694.0,1680.0,1720.0,1656.0,1724.0,1598.0,1676.0,1642.0,1684.0,1714.0,1754.0,1624.0,1702.0,1692.0,1704.0,1680.0,1652.0,1690.0,1726.0,1694.0,1728.0,1694.0,1756.0,1690.0,1714.0,1712.0,1696.0,1616.0,1644.0,1780.0,1676.0,1666.0,1642.0,1684.0,1692.0,1598.0,1780.0,1685.0,1.5341,36.6127,1340.4882
F,1334.0,1278.0,1246.0,1272.0,1294.0,1314.0,1270.0,1384.0,1300.0,1284.0,1356.0,1284.0,1280.0,1314.0,1322.0,1302.0,1256.0,1360.0,1320.0,1298.0,1238.0,1222.0,1292.0,1270.0,1318.0,1300.0,1294.0,1316.0,1290.0,1264.0,1358.0,1314.0,1310.0,1278.0,1298.0,1294.0,1206.0,1296.0,1292.0,1286.0,1284.0,1274.0,1302.0,1282.0,1276.0,1374.0,1276.0,1214.0,1272.0,1270.0,1206.0,1384.0,1292.0,1.1763,36.3094,1318.3739
B,1236.0,1192.0,1230.0,1168.0,1238.0,1238.0,1194.0,1218.0,1220.0,1234.0,1264.0,1244.0,1244.0,1280.0,1202.0,1216.0,1212.0,1144.0,1246.0,1212.0,1178.0,1312.0,1212.0,1240.0,1212.0,1222.0,1266.0,1254.0,1228.0,1252.0,1226.0,1274.0,1220.0,1300.0,1270.0,1284.0,1256.0,1242.0,1268.0,1254.0,1206.0,1234.0,1198.0,1300.0,1196.0,1188.0,1214.0,1218.0,1262.0,1184.0,1144.0,1312.0,1232.0,1.1217,34.9962,1224.7331
G,1138.0,1134.0,1184.0,1192.0,1144.0,1134.0,1176.0,1178.0,1176.0,1172.0,1194.0,1158.0,1178.0,1182.0,1202.0,1156.0,1194.0,1140.0,1132.0,1202.0,1134.0,1142.0,1142.0,1240.0,1222.0,1120.0,1190.0,1084.0,1206.0,1142.0,1116.0,1184.0,1206.0,1196.0,1172.0,1214.0,1174.0,1164.0,1196.0,1196.0,1144.0,1126.0,1162.0,1174.0,1220.0,1178.0,1194.0,1168.0,1146.0,1154.0,1084.0,1240.0,1169.0,1.0643,31.6642,1002.6188
Q,1000.0,1076.0,1182.0,1110.0,1044.0,1048.0,1088.0,1076.0,1054.0,1010.0,1096.0,1074.0,1074.0,1126.0,1070.0,1130.0,1044.0,1050.0,1126.0,1096.0,1090.0,1096.0,1092.0,1156.0,1036.0,1140.0,1050.0,1090.0,1116.0,1114.0,1096.0,1058.0,1034.0,1044.0,1064.0,1110.0,1070.0,1096.0,1080.0,1100.0,1026.0,1062.0,1148.0,1076.0,1128.0,1056.0,1064.0,1084.0,1094.0,1070.0,1000.0,1182.0,1082.0,0.9851,37.1714,1381.7159
J,938.0,876.0,862.0,922.0,932.0,922.0,934.0,902.0,884.0,906.0,896.0,920.0,938.0,872.0,918.0,912.0,930.0,910.0,886.0,884.0,936.0,946.0,870.0,864.0,888.0,828.0,936.0,880.0,894.0,886.0,946.0,880.0,872.0,938.0,926.0,932.0,850.0,878.0,902.0,928.0,896.0,880.0,930.0,838.0,906.0,922.0,900.0,934.0,884.0,894.0,828.0,946.0,902.0,0.8212,29.0835,845.8514
Y,762.0,760.0,770.0,722.0,766.0,730.0,686.0,790.0,754.0,770.0,812.0,768.0,740.0,838.0,726.0,770.0,770.0,764.0,754.0,770.0,730.0,730.0,772.0,790.0,804.0,792.0,726.0,778.0,738.0,732.0,740.0,726.0,780.0,740.0,720.0,738.0,794.0,750.0,720.0,706.0,754.0,724.0,776.0,768.0,750.0,726.0,728.0,758.0,780.0,770.0,686.0,838.0,755.0,0.6874,29.2153,853.5331
À,410.0,442.0,430.0,444.0,412.0,446.0,408.0,414.0,426.0,436.0,454.0,436.0,394.0,418.0,392.0,424.0,436.0,414.0,436.0,408.0,434.0,416.0,440.0,424.0,456.0,418.0,422.0,456.0,434.0,452.0,420.0,418.0,440.0,450.0,454.0,420.0,450.0,428.0,452.0,466.0,442.0,422.0,418.0,422.0,392.0,440.0,418.0,464.0,432.0,402.0,392.0,466.0,429.0,0.3906,18.3556,336.929
X,448.0,444.0,448.0,410.0,388.0,408.0,416.0,402.0,462.0,388.0,438.0,398.0,394.0,442.0,422.0,436.0,418.0,448.0,402.0,448.0,404.0,446.0,410.0,422.0,410.0,378.0,436.0,430.0,430.0,456.0,420.0,424.0,400.0,428.0,430.0,406.0,428.0,428.0,408.0,456.0,388.0,456.0,444.0,406.0,454.0,430.0,412.0,422.0,416.0,444.0,378.0,462.0,423.0,0.3851,21.1918,449.0922
