letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,23,22,25,24,23,23,25,26,26,23,26,26,23,24,24,24,24,25,23,27,25,25,22,25,25,25,24,23,23,24,24,23,24,24,23,23,23,24,25,24,25,24,23,24,23,23,24,25,24,25,22,27,24.0,4.7809,1.1036,1.218,9887.0
N,23,22,23,23,25,25,23,22,23,21,22,25,24,23,23,22,23,22,21,23,23,25,22,22,22,23,24,24,22,25,23,23,24,24,25,21,23,22,21,25,24,24,24,23,23,22,22,24,21,22,21,25,23.0,4.5817,1.1952,1.4286,6991.0
S,22,24,24,20,20,24,22,24,23,21,21,22,20,21,21,24,20,23,22,23,22,22,22,22,21,21,23,23,23,24,22,22,22,23,22,22,22,21,22,23,22,22,20,21,23,23,24,23,21,22,20,24,22.0,4.3825,1.1718,1.3731,4943.0
I,21,23,24,24,23,22,22,23,23,21,21,21,22,24,21,21,23,23,23,23,22,20,23,23,22,25,23,24,22,21,21,24,22,21,24,23,23,23,24,21,21,22,23,23,21,22,23,21,22,22,20,25,22.0,4.3825,1.1409,1.3016,4943.0
R,24,20,21,23,23,22,23,21,23,20,22,23,23,20,19,22,22,21,23,21,22,21,23,24,22,23,23,23,20,23,23,22,21,21,22,20,23,21,23,22,21,22,23,19,21,21,22,21,22,21,19,24,21.0,4.1833,1.2237,1.4976,3495.0
T,22,22,20,23,22,22,22,21,22,21,19,21,22,21,20,23,20,22,22,20,21,23,22,20,21,22,23,21,23,20,21,21,22,22,23,20,21,20,23,21,22,22,21,21,23,23,21,22,23,22,19,23,21.0,4.1833,1.0539,1.1106,3495.0
H,24,23,19,21,21,21,21,22,24,25,23,22,21,22,19,22,22,20,18,20,22,23,23,21,24,22,20,20,23,25,22,23,21,22,23,21,21,21,22,20,21,24,20,23,23,21,21,25,21,22,18,25,21.0,4.1833,1.5779,2.4898,3495.0
A,19,22,21,20,20,21,21,19,20,22,22,19,22,21,20,22,24,20,19,22,23,21,22,20,20,21,20,21,20,21,23,19,21,22,21,21,22,21,20,20,21,20,20,21,22,21,19,22,23,22,19,24,20.0,3.9841,1.1925,1.422,2471.0
C,22,21,22,20,21,19,19,20,23,20,20,21,18,20,21,20,21,20,19,19,21,22,19,20,20,22,22,18,19,18,20,20,22,21,22,19,22,18,21,21,20,21,20,20,19,21,20,19,20,23,18,23,20.0,3.9841,1.2848,1.6506,2471.0
M,22,20,21,19,20,20,19,18,20,19,22,20,18,21,19,19,21,20,20,23,21,19,21,20,20,21,18,20,19,19,20,19,20,19,20,21,20,19,21,19,22,20,22,20,19,20,21,21,21,20,18,23,20.0,3.9841,1.1141,1.2412,2471.0
U,21,21,22,20,23,21,19,23,22,20,19,22,21,23,20,21,19,19,19,21,18,21,24,21,22,22,21,19,21,21,20,19,21,19,21,20,18,22,19,20,19,20,22,21,19,21,18,22,21,21,18,24,20.0,3.9841,1.4155,2.0037,2471.0
L,20,19,21,21,18,20,20,19,21,21,23,19,21,19,20,20,21,21,22,21,20,19,19,24,21,21,20,19,20,22,21,20,21,21,21,21,21,22,22,19,20,22,20,20,23,22,20,18,21,20,18,24,20.0,3.9841,1.2488,1.5596,2471.0
D,22,21,21,21,20,22,23,22,21,20,21,21,20,18,22,21,22,20,21,22,20,22,19,20,22,18,20,20,22,21,19,19,22,20,20,21,23,21,20,18,21,22,19,20,22,20,21,20,22,22,18,23,20.0,3.9841,1.2423,1.5433,2471.0
O,16,21,21,17,19,18,20,18,19,19,16,20,19,20,21,19,19,20,19,18,18,21,19,19,19,20,18,17,18,21,21,21,20,19,18,20,18,20,19,18,19,20,20,19,20,18,19,19,19,20,16,21,19.0,3.7849,1.2395,1.5363,1747.0
G,18,23,18,19,22,18,19,18,18,20,17,22,18,18,19,19,20,19,20,20,20,18,19,20,20,18,19,19,20,17,19,19,18,19,22,19,18,18,20,20,20,18,18,17,16,19,19,19,18,17,16,23,18.0,3.5857,1.3845,1.9167,1235.0
W,19,19,19,17,17,19,20,19,18,20,16,19,18,19,19,19,20,17,18,18,20,18,17,19,19,18,19,20,17,19,18,19,18,18,17,18,17,19,18,20,20,19,19,19,18,20,19,17,18,18,16,20,18.0,3.5857,1.0152,1.0306,1235.0
B,17,20,18,19,18,18,20,20,17,17,19,18,19,17,20,19,17,19,18,20,19,20,16,18,20,20,19,19,19,18,20,18,19,19,21,19,19,19,18,19,15,19,18,17,17,20,20,17,17,17,15,21,18.0,3.5857,1.2656,1.6016,1235.0
F,17,17,17,18,17,19,19,17,19,17,15,18,19,16,16,17,16,19,20,17,21,17,15,17,17,18,17,17,16,16,18,19,17,17,17,15,16,16,17,16,19,19,20,18,19,18,18,18,19,19,15,21,17.0,3.3865,1.3738,1.8873,873.0
Z,19,19,18,16,16,15,16,15,19,17,17,17,17,16,18,17,17,18,18,20,20,18,17,16,17,18,17,16,17,18,17,19,17,15,17,17,16,16,17,18,16,17,16,17,18,14,18,16,17,15,14,20,17.0,3.3865,1.2771,1.631,873.0
K,17,19,17,18,15,18,20,15,18,17,16,17,18,16,17,18,16,19,18,16,16,17,17,16,17,16,17,16,19,17,16,16,16,15,17,15,16,15,17,16,15,16,18,18,20,17,16,18,15,15,15,20,16.0,3.1873,1.3093,1.7143,617.0
V,17,15,15,14,16,18,15,17,14,15,16,15,15,15,16,14,15,13,17,14,16,14,13,15,14,16,15,18,14,13,13,15,17,16,15,14,15,16,16,17,14,15,15,13,14,14,13,15,16,14,13,18,15.0,2.988,1.3013,1.6935,436.0
P,14,16,16,16,14,12,17,17,16,17,14,15,17,18,15,15,14,15,14,15,15,15,13,16,17,16,17,16,16,17,15,14,17,18,14,16,16,17,14,15,13,14,14,16,18,16,15,15,16,15,12,18,15.0,2.988,1.3734,1.8861,436.0
Ü,12,15,15,16,18,17,14,15,14,14,15,14,16,13,16,15,15,14,16,15,15,15,14,15,15,14,15,15,14,16,15,16,15,16,12,15,14,15,14,14,17,15,15,14,16,14,13,15,13,14,12,18,14.0,2.7888,1.1657,1.3588,308.0
