letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,6991.0,4943.0,13983.0,9887.0,6991.0,6991.0,13983.0,19776.0,19776.0,6991.0,19776.0,19776.0,6991.0,9887.0,9887.0,9887.0,9887.0,13983.0,6991.0,27968.0,13983.0,13983.0,4943.0,13983.0,13983.0,13983.0,9887.0,6991.0,6991.0,9887.0,9887.0,6991.0,9887.0,9887.0,6991.0,6991.0,6991.0,9887.0,13983.0,9887.0,13983.0,9887.0,6991.0,9887.0,6991.0,6991.0,9887.0,13983.0,9887.0,13983.0,4943.0,27968.0,10956.0,14.1359,4600.2338,21162150.5833
N,6991.0,4943.0,6991.0,6991.0,13983.0,13983.0,6991.0,4943.0,6991.0,3495.0,4943.0,13983.0,9887.0,6991.0,6991.0,4943.0,6991.0,4943.0,3495.0,6991.0,6991.0,13983.0,4943.0,4943.0,4943.0,6991.0,9887.0,9887.0,4943.0,13983.0,6991.0,6991.0,9887.0,9887.0,13983.0,3495.0,6991.0,4943.0,3495.0,13983.0,9887.0,9887.0,9887.0,6991.0,6991.0,4943.0,4943.0,9887.0,3495.0,4943.0,3495.0,13983.0,7609.0,9.8174,3239.5284,10494544.4833
I,3495.0,6991.0,9887.0,9887.0,6991.0,4943.0,4943.0,6991.0,6991.0,3495.0,3495.0,3495.0,4943.0,9887.0,3495.0,3495.0,6991.0,6991.0,6991.0,6991.0,4943.0,2471.0,6991.0,6991.0,4943.0,13983.0,6991.0,9887.0,4943.0,3495.0,3495.0,9887.0,4943.0,3495.0,9887.0,6991.0,6991.0,6991.0,9887.0,3495.0,3495.0,4943.0,6991.0,6991.0,3495.0,4943.0,6991.0,3495.0,4943.0,4943.0,2471.0,13983.0,6086.0,7.8524,2441.6917,5961858.1943
S,4943.0,9887.0,9887.0,2471.0,2471.0,9887.0,4943.0,9887.0,6991.0,3495.0,3495.0,4943.0,2471.0,3495.0,3495.0,9887.0,2471.0,6991.0,4943.0,6991.0,4943.0,4943.0,4943.0,4943.0,3495.0,3495.0,6991.0,6991.0,6991.0,9887.0,4943.0,4943.0,4943.0,6991.0,4943.0,4943.0,4943.0,3495.0,4943.0,6991.0,4943.0,4943.0,2471.0,3495.0,6991.0,6991.0,9887.0,6991.0,3495.0,4943.0,2471.0,9887.0,5577.0,7.1957,2242.9478,5030814.72
H,9887.0,6991.0,1747.0,3495.0,3495.0,3495.0,3495.0,4943.0,9887.0,13983.0,6991.0,4943.0,3495.0,4943.0,1747.0,4943.0,4943.0,2471.0,1235.0,2471.0,4943.0,6991.0,6991.0,3495.0,9887.0,4943.0,2471.0,2471.0,6991.0,13983.0,4943.0,6991.0,3495.0,4943.0,6991.0,3495.0,3495.0,3495.0,4943.0,2471.0,3495.0,9887.0,2471.0,6991.0,6991.0,3495.0,3495.0,13983.0,3495.0,4943.0,1235.0,13983.0,5345.0,6.8963,3106.2256,9648637.3159
R,9887.0,2471.0,3495.0,6991.0,6991.0,4943.0,6991.0,3495.0,6991.0,2471.0,4943.0,6991.0,6991.0,2471.0,1747.0,4943.0,4943.0,3495.0,6991.0,3495.0,4943.0,3495.0,6991.0,9887.0,4943.0,6991.0,6991.0,6991.0,2471.0,6991.0,6991.0,4943.0,3495.0,3495.0,4943.0,2471.0,6991.0,3495.0,6991.0,4943.0,3495.0,4943.0,6991.0,1747.0,3495.0,3495.0,4943.0,3495.0,4943.0,3495.0,1747.0,9887.0,5044.0,6.508,1988.3277,3953447.1837
T,4943.0,4943.0,2471.0,6991.0,4943.0,4943.0,4943.0,3495.0,4943.0,3495.0,1747.0,3495.0,4943.0,3495.0,2471.0,6991.0,2471.0,4943.0,4943.0,2471.0,3495.0,6991.0,4943.0,2471.0,3495.0,4943.0,6991.0,3495.0,6991.0,2471.0,3495.0,3495.0,4943.0,4943.0,6991.0,2471.0,3495.0,2471.0,6991.0,3495.0,4943.0,4943.0,3495.0,3495.0,6991.0,6991.0,3495.0,4943.0,6991.0,4943.0,1747.0,6991.0,4487.0,5.7893,1565.1406,2449665.1037
A,1747.0,4943.0,3495.0,2471.0,2471.0,3495.0,3495.0,1747.0,2471.0,4943.0,4943.0,1747.0,4943.0,3495.0,2471.0,4943.0,9887.0,2471.0,1747.0,4943.0,6991.0,3495.0,4943.0,2471.0,2471.0,3495.0,2471.0,3495.0,2471.0,3495.0,6991.0,1747.0,3495.0,4943.0,3495.0,3495.0,4943.0,3495.0,2471.0,2471.0,3495.0,2471.0,2471.0,3495.0,4943.0,3495.0,1747.0,4943.0,6991.0,4943.0,1747.0,9887.0,3704.0,4.779,1644.1741,2703308.4343
D,4943.0,3495.0,3495.0,3495.0,2471.0,4943.0,6991.0,4943.0,3495.0,2471.0,3495.0,3495.0,2471.0,1235.0,4943.0,3495.0,4943.0,2471.0,3495.0,4943.0,2471.0,4943.0,1747.0,2471.0,4943.0,1235.0,2471.0,2471.0,4943.0,3495.0,1747.0,1747.0,4943.0,2471.0,2471.0,3495.0,6991.0,3495.0,2471.0,1235.0,3495.0,4943.0,1747.0,2471.0,4943.0,2471.0,3495.0,2471.0,4943.0,4943.0,1235.0,6991.0,3478.0,4.4875,1399.7705,1959357.5771
U,3495.0,3495.0,4943.0,2471.0,6991.0,3495.0,1747.0,6991.0,4943.0,2471.0,1747.0,4943.0,3495.0,6991.0,2471.0,3495.0,1747.0,1747.0,1747.0,3495.0,1235.0,3495.0,9887.0,3495.0,4943.0,4943.0,3495.0,1747.0,3495.0,3495.0,2471.0,1747.0,3495.0,1747.0,3495.0,2471.0,1235.0,4943.0,1747.0,2471.0,1747.0,2471.0,4943.0,3495.0,1747.0,3495.0,1235.0,4943.0,3495.0,3495.0,1235.0,9887.0,3400.0,4.3868,1750.3741,3063809.4106
