letter,exp 1,minimum,maximum,average,average_percent,STD,VAR,estimate
E,12083,12083,12083,12083.0,15.28,,,12083.0
N,7464,7464,7464,7464.0,9.4389,,,7464.0
I,6684,6684,6684,6684.0,8.4525,,,6684.0
S,5603,5603,5603,5603.0,7.0855,,,5603.0
R,5235,5235,5235,5235.0,6.6201,,,5235.0
H,4917,4917,4917,4917.0,6.218,,,4917.0
T,4900,4900,4900,4900.0,6.1965,,,4900.0
A,3792,3792,3792,3792.0,4.7953,,,3792.0
D,3757,3757,3757,3757.0,4.7511,,,3757.0
L,3367,3367,3367,3367.0,4.2579,,,3367.0
U,3228,3228,3228,3228.0,4.0821,,,3228.0
C,2897,2897,2897,2897.0,3.6635,,,2897.0
M,2598,2598,2598,2598.0,3.2854,,,2598.0
O,2015,2015,2015,2015.0,2.5481,,,2015.0
G,1831,1831,1831,1831.0,2.3155,,,1831.0
B,1551,1551,1551,1551.0,1.9614,,,1551.0
W,1503,1503,1503,1503.0,1.9007,,,1503.0
F,1164,1164,1164,1164.0,1.472,,,1164.0
Z,950,950,950,950.0,1.2014,,,950.0
K,881,881,881,881.0,1.1141,,,881.0
P,594,594,594,594.0,0.7512,,,594.0
V,499,499,499,499.0,0.631,,,499.0
Ü,457,457,457,457.0,0.5779,,,457.0
Ä,374,374,374,374.0,0.473,,,374.0
Ö,296,296,296,296.0,0.3743,,,296.0
Y,198,198,198,198.0,0.2504,,,198.0
J,170,170,170,170.0,0.215,,,170.0
Q,65,65,65,65.0,0.0822,,,65.0
X,4,4,4,4.0,0.0051,,,4.0
