letter,exp 1,minimum,maximum,average,average_percent,STD,VAR
E,12083,12083,12083,12083.0,15.28,,
N,7464,7464,7464,7464.0,9.4389,,
I,6684,6684,6684,6684.0,8.4525,,
S,5603,5603,5603,5603.0,7.0855,,
R,5235,5235,5235,5235.0,6.6201,,
H,4917,4917,4917,4917.0,6.218,,
T,4900,4900,4900,4900.0,6.1965,,
A,3792,3792,3792,3792.0,4.7953,,
D,3757,3757,3757,3757.0,4.7511,,
L,3367,3367,3367,3367.0,4.2579,,
U,3228,3228,3228,3228.0,4.0821,,
C,2897,2897,2897,2897.0,3.6635,,
M,2598,2598,2598,2598.0,3.2854,,
O,2015,2015,2015,2015.0,2.5481,,
G,1831,1831,1831,1831.0,2.3155,,
B,1551,1551,1551,1551.0,1.9614,,
W,1503,1503,1503,1503.0,1.9007,,
F,1164,1164,1164,1164.0,1.472,,
Z,950,950,950,950.0,1.2014,,
K,881,881,881,881.0,1.1141,,
P,594,594,594,594.0,0.7512,,
V,499,499,499,499.0,0.631,,
Ü,457,457,457,457.0,0.5779,,
Ä,374,374,374,374.0,0.473,,
Ö,296,296,296,296.0,0.3743,,
Y,198,198,198,198.0,0.2504,,
J,170,170,170,170.0,0.215,,
Q,65,65,65,65.0,0.0822,,
X,4,4,4,4.0,0.0051,,
