letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,6082,6023,5985,6010,5920,6033,5993,6052,5980,5923,5995,5995,6154,6073,6034,6011,6079,6047,6033,6074,6056,6134,5989,6025,6008,5986,6018,6045,5929,6047,5985,6027,6213,5991,6038,6080,6029,6047,6031,5999,6064,6092,6003,6043,6019,6110,6042,6038,6151,6082,5920,6213,6036.0,15.2775,55.8926,3123.9841,12072.0
N,3731,3775,3766,3694,3704,3754,3723,3689,3748,3736,3690,3747,3700,3736,3692,3688,3708,3671,3692,3672,3699,3686,3706,3687,3781,3714,3673,3763,3781,3698,3840,3769,3749,3844,3744,3744,3768,3690,3734,3703,3762,3720,3728,3714,3802,3762,3698,3673,3709,3734,3671,3844,3727.0,9.4333,40.9458,1676.5588,7454.0
I,3396,3347,3359,3420,3339,3383,3346,3377,3296,3373,3355,3303,3360,3351,3355,3392,3386,3320,3361,3389,3357,3280,3406,3332,3327,3316,3244,3311,3351,3374,3310,3390,3344,3331,3384,3318,3349,3279,3400,3400,3309,3358,3371,3352,3391,3324,3284,3329,3344,3379,3244,3420,3349.0,8.4765,37.7667,1426.3249,6698.0
S,2759,2776,2769,2724,2782,2845,2846,2817,2855,2828,2848,2710,2861,2828,2787,2827,2824,2814,2909,2767,2795,2788,2814,2823,2807,2748,2852,2766,2756,2841,2766,2792,2800,2773,2796,2792,2735,2773,2755,2860,2755,2724,2805,2837,2852,2760,2723,2816,2829,2787,2710,2909,2797.0,7.0794,43.1693,1863.5853,5594.0
R,2647,2608,2584,2618,2644,2660,2658,2551,2615,2653,2596,2627,2589,2632,2659,2608,2603,2598,2705,2689,2592,2573,2609,2622,2619,2613,2622,2611,2558,2599,2560,2589,2661,2590,2558,2593,2644,2632,2611,2701,2628,2648,2585,2607,2648,2618,2615,2594,2621,2619,2551,2705,2617.0,6.6238,34.3751,1181.6506,5234.0
H,2457,2492,2476,2495,2438,2443,2476,2424,2472,2449,2443,2476,2490,2505,2518,2543,2504,2488,2509,2477,2445,2536,2523,2430,2463,2411,2487,2401,2400,2475,2475,2454,2454,2509,2445,2467,2440,2465,2462,2452,2415,2449,2443,2514,2401,2456,2420,2450,2444,2422,2400,2543,2463.0,6.234,35.1659,1236.6371,4926.0
T,2442,2487,2436,2470,2468,2498,2427,2429,2400,2460,2389,2399,2508,2407,2524,2395,2465,2471,2497,2519,2370,2459,2410,2469,2512,2443,2410,2381,2496,2504,2418,2433,2393,2411,2401,2476,2418,2470,2406,2480,2462,2466,2413,2427,2410,2456,2429,2412,2405,2335,2335,2524,2441.0,6.1783,42.9401,1843.8547,4882.0
A,1902,1916,1878,1868,1898,1940,1888,1930,1885,1886,1903,1860,1924,1869,1873,1905,1857,1923,1877,1843,1877,1971,1913,1917,1890,1839,1917,1913,1866,1898,1895,1941,1923,1904,1903,1884,1868,1940,1875,1920,1904,1998,1885,1945,1859,1922,1929,1932,1907,1888,1839,1998,1900.0,4.809,31.4843,991.2637,3800.0
D,1849,1882,1873,1876,1853,1891,1890,1913,1908,1932,1832,1898,1908,1931,1875,1872,1857,1894,1870,1869,1884,1879,1873,1873,1886,1888,1945,1859,1820,1900,1867,1807,1865,1822,1875,1906,1893,1880,1870,1849,1904,1801,1853,1910,1882,1928,1843,1853,1901,1906,1801,1945,1877.0,4.7508,31.0538,964.3367,3754.0
L,1711,1711,1681,1680,1741,1707,1705,1717,1685,1659,1684,1728,1660,1657,1699,1676,1652,1670,1625,1672,1696,1716,1695,1677,1655,1683,1647,1724,1676,1679,1609,1662,1679,1702,1675,1683,1722,1699,1703,1692,1676,1717,1700,1673,1679,1660,1677,1624,1639,1699,1609,1741,1682.0,4.2573,27.7073,767.6963,3364.0
U,1639,1628,1614,1603,1597,1630,1554,1600,1627,1654,1615,1612,1562,1629,1673,1636,1616,1579,1599,1583,1617,1634,1653,1602,1574,1607,1622,1539,1605,1589,1586,1608,1631,1602,1651,1603,1644,1619,1691,1598,1622,1643,1616,1600,1605,1599,1617,1584,1622,1580,1539,1691,1612.0,4.0801,28.4733,810.7269,3224.0
C,1400,1436,1439,1462,1478,1456,1393,1390,1440,1447,1462,1410,1495,1461,1454,1435,1407,1479,1374,1446,1420,1466,1475,1445,1399,1393,1444,1472,1458,1397,1424,1485,1396,1488,1435,1454,1436,1432,1405,1463,1442,1429,1440,1396,1443,1404,1421,1418,1449,1423,1374,1495,1436.0,3.6346,29.4649,868.1812,2872.0
M,1280,1268,1303,1353,1304,1268,1312,1315,1336,1316,1326,1332,1331,1322,1275,1302,1272,1295,1264,1307,1319,1287,1336,1306,1261,1278,1282,1286,1335,1283,1286,1297,1298,1296,1301,1329,1291,1330,1311,1271,1316,1287,1258,1305,1288,1314,1305,1289,1280,1284,1258,1353,1299.0,3.2879,22.7659,518.2857,2598.0
O,972,1007,1029,1031,1011,974,1037,992,1004,1002,999,999,1031,979,1018,1045,1047,1033,985,997,1044,989,995,1029,1040,1000,1031,996,1009,980,1000,1024,982,970,1008,1029,993,1006,995,1011,1026,1024,978,999,1011,1011,972,1039,989,1008,970,1047,1007.0,2.5488,21.5084,462.6122,2014.0
G,936,910,875,948,932,911,895,920,953,955,890,935,953,908,889,923,886,929,895,898,907,885,938,885,916,908,876,917,948,915,885,903,905,901,894,897,924,958,913,918,919,907,945,903,924,916,936,883,956,942,875,958,915.0,2.3159,23.0768,532.5408,1830.0
B,782,813,750,768,796,802,755,777,766,745,781,787,756,793,790,803,768,767,788,776,787,763,787,766,776,785,779,798,747,785,802,795,801,784,793,780,770,757,796,764,780,758,783,792,793,810,746,776,743,822,743,822,779.0,1.9717,18.7855,352.8935,1558.0
W,775,750,764,760,751,764,710,769,763,725,758,765,754,758,741,744,724,781,746,760,763,711,757,736,726,758,778,721,729,768,718,745,730,796,736,733,743,760,735,732,768,759,744,741,737,726,785,743,730,768,710,796,748.0,1.8932,19.6983,388.0229,1496.0
F,576,582,590,599,604,574,605,590,567,560,601,569,543,579,599,571,608,631,563,582,582,575,569,580,571,578,586,593,571,562,588,551,592,583,585,584,585,560,569,559,583,599,583,552,588,579,559,612,598,568,543,631,580.0,1.468,17.2044,295.9922,1160.0
Z,500,479,447,480,483,461,473,468,494,472,471,470,464,446,481,490,502,510,471,494,470,468,495,463,492,508,479,469,482,478,466,473,487,468,450,491,512,495,477,459,478,444,459,492,472,450,487,497,499,488,444,512,478.0,1.2099,16.9451,287.1363,956.0
K,407,444,441,455,435,421,435,461,443,463,438,435,465,454,432,434,455,448,464,412,454,438,399,459,454,445,454,442,455,448,458,429,444,432,460,460,441,445,447,447,474,434,466,449,434,451,438,442,438,464,399,474,444.0,1.1238,15.1415,229.2657,888.0
P,292,296,297,296,296,293,276,293,304,288,295,287,311,301,290,291,307,281,307,307,304,315,300,285,297,294,271,289,292,292,277,309,299,295,291,296,310,273,300,273,315,278,282,294,295,308,296,296,289,302,271,315,294.0,0.7441,10.7423,115.398,588.0
V,250,249,263,241,237,263,241,255,255,245,258,239,252,262,230,253,251,238,254,233,241,253,246,245,243,251,246,275,254,254,261,256,242,232,241,261,246,239,240,260,259,261,254,258,237,258,257,250,239,233,230,275,249.0,0.6302,9.9166,98.3384,498.0
Ü,243,223,224,240,234,225,233,226,241,228,215,223,212,239,221,238,226,245,244,233,227,229,222,252,216,228,229,226,236,221,215,241,238,223,211,243,223,235,222,220,228,211,235,258,233,229,233,218,234,237,211,258,229.0,0.5796,10.4316,108.818,458.0
Ä,185,199,205,202,188,196,195,190,202,187,167,193,202,168,197,170,205,189,196,178,176,182,175,187,193,190,194,181,196,178,187,184,186,185,196,176,176,173,171,197,195,183,193,196,181,194,173,190,204,179,167,205,187.0,0.4733,10.3653,107.4388,374.0
Ö,153,159,153,154,130,144,152,149,159,152,146,148,142,157,154,146,141,155,150,155,142,135,146,142,164,146,147,151,149,161,157,153,150,142,147,152,150,155,142,149,151,164,152,142,160,139,149,142,154,154,130,164,149.0,0.3771,7.077,50.0833,298.0
Y,92,106,100,106,93,107,98,92,108,98,102,94,97,104,92,103,104,99,90,103,83,96,101,93,98,98,104,101,92,103,96,99,99,104,100,95,97,95,94,98,95,101,99,99,89,104,108,86,99,108,83,108,98.0,0.248,5.6934,32.4147,196.0
