letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,12164.0,12046.0,11970.0,12020.0,11840.0,12066.0,11986.0,12104.0,11960.0,11846.0,11990.0,11990.0,12308.0,12146.0,12068.0,12022.0,12158.0,12094.0,12066.0,12148.0,12112.0,12268.0,11978.0,12050.0,12016.0,11972.0,12036.0,12090.0,11858.0,12094.0,11970.0,12054.0,12426.0,11982.0,12076.0,12160.0,12058.0,12094.0,12062.0,11998.0,12128.0,12184.0,12006.0,12086.0,12038.0,12220.0,12084.0,12076.0,12302.0,12164.0,11840.0,12426.0,12072.0,15.2741,111.7852,12495.9363
N,7462.0,7550.0,7532.0,7388.0,7408.0,7508.0,7446.0,7378.0,7496.0,7472.0,7380.0,7494.0,7400.0,7472.0,7384.0,7376.0,7416.0,7342.0,7384.0,7344.0,7398.0,7372.0,7412.0,7374.0,7562.0,7428.0,7346.0,7526.0,7562.0,7396.0,7680.0,7538.0,7498.0,7688.0,7488.0,7488.0,7536.0,7380.0,7468.0,7406.0,7524.0,7440.0,7456.0,7428.0,7604.0,7524.0,7396.0,7346.0,7418.0,7468.0,7342.0,7688.0,7455.0,9.4324,81.8916,6706.2351
I,6792.0,6694.0,6718.0,6840.0,6678.0,6766.0,6692.0,6754.0,6592.0,6746.0,6710.0,6606.0,6720.0,6702.0,6710.0,6784.0,6772.0,6640.0,6722.0,6778.0,6714.0,6560.0,6812.0,6664.0,6654.0,6632.0,6488.0,6622.0,6702.0,6748.0,6620.0,6780.0,6688.0,6662.0,6768.0,6636.0,6698.0,6558.0,6800.0,6800.0,6618.0,6716.0,6742.0,6704.0,6782.0,6648.0,6568.0,6658.0,6688.0,6758.0,6488.0,6840.0,6698.0,8.4746,75.5334,5705.2996
S,5518.0,5552.0,5538.0,5448.0,5564.0,5690.0,5692.0,5634.0,5710.0,5656.0,5696.0,5420.0,5722.0,5656.0,5574.0,5654.0,5648.0,5628.0,5818.0,5534.0,5590.0,5576.0,5628.0,5646.0,5614.0,5496.0,5704.0,5532.0,5512.0,5682.0,5532.0,5584.0,5600.0,5546.0,5592.0,5584.0,5470.0,5546.0,5510.0,5720.0,5510.0,5448.0,5610.0,5674.0,5704.0,5520.0,5446.0,5632.0,5658.0,5574.0,5420.0,5818.0,5595.0,7.0791,86.3385,7454.3412
R,5294.0,5216.0,5168.0,5236.0,5288.0,5320.0,5316.0,5102.0,5230.0,5306.0,5192.0,5254.0,5178.0,5264.0,5318.0,5216.0,5206.0,5196.0,5410.0,5378.0,5184.0,5146.0,5218.0,5244.0,5238.0,5226.0,5244.0,5222.0,5116.0,5198.0,5120.0,5178.0,5322.0,5180.0,5116.0,5186.0,5288.0,5264.0,5222.0,5402.0,5256.0,5296.0,5170.0,5214.0,5296.0,5236.0,5230.0,5188.0,5242.0,5238.0,5102.0,5410.0,5235.0,6.6236,68.7503,4726.6024
H,4914.0,4984.0,4952.0,4990.0,4876.0,4886.0,4952.0,4848.0,4944.0,4898.0,4886.0,4952.0,4980.0,5010.0,5036.0,5086.0,5008.0,4976.0,5018.0,4954.0,4890.0,5072.0,5046.0,4860.0,4926.0,4822.0,4974.0,4802.0,4800.0,4950.0,4950.0,4908.0,4908.0,5018.0,4890.0,4934.0,4880.0,4930.0,4924.0,4904.0,4830.0,4898.0,4886.0,5028.0,4802.0,4912.0,4840.0,4900.0,4888.0,4844.0,4800.0,5086.0,4927.0,6.2339,70.3317,4946.5486
T,4884.0,4974.0,4872.0,4940.0,4936.0,4996.0,4854.0,4858.0,4800.0,4920.0,4778.0,4798.0,5016.0,4814.0,5048.0,4790.0,4930.0,4942.0,4994.0,5038.0,4740.0,4918.0,4820.0,4938.0,5024.0,4886.0,4820.0,4762.0,4992.0,5008.0,4836.0,4866.0,4786.0,4822.0,4802.0,4952.0,4836.0,4940.0,4812.0,4960.0,4924.0,4932.0,4826.0,4854.0,4820.0,4912.0,4858.0,4824.0,4810.0,4670.0,4670.0,5048.0,4882.0,6.1769,85.8803,7375.4188
A,3804.0,3832.0,3756.0,3736.0,3796.0,3880.0,3776.0,3860.0,3770.0,3772.0,3806.0,3720.0,3848.0,3738.0,3746.0,3810.0,3714.0,3846.0,3754.0,3686.0,3754.0,3942.0,3826.0,3834.0,3780.0,3678.0,3834.0,3826.0,3732.0,3796.0,3790.0,3882.0,3846.0,3808.0,3806.0,3768.0,3736.0,3880.0,3750.0,3840.0,3808.0,3996.0,3770.0,3890.0,3718.0,3844.0,3858.0,3864.0,3814.0,3776.0,3678.0,3996.0,3801.0,4.8092,62.9687,3965.0547
D,3698.0,3764.0,3746.0,3752.0,3706.0,3782.0,3780.0,3826.0,3816.0,3864.0,3664.0,3796.0,3816.0,3862.0,3750.0,3744.0,3714.0,3788.0,3740.0,3738.0,3768.0,3758.0,3746.0,3746.0,3772.0,3776.0,3890.0,3718.0,3640.0,3800.0,3734.0,3614.0,3730.0,3644.0,3750.0,3812.0,3786.0,3760.0,3740.0,3698.0,3808.0,3602.0,3706.0,3820.0,3764.0,3856.0,3686.0,3706.0,3802.0,3812.0,3602.0,3890.0,3755.0,4.751,62.1075,3857.3469
L,3422.0,3422.0,3362.0,3360.0,3482.0,3414.0,3410.0,3434.0,3370.0,3318.0,3368.0,3456.0,3320.0,3314.0,3398.0,3352.0,3304.0,3340.0,3250.0,3344.0,3392.0,3432.0,3390.0,3354.0,3310.0,3366.0,3294.0,3448.0,3352.0,3358.0,3218.0,3324.0,3358.0,3404.0,3350.0,3366.0,3444.0,3398.0,3406.0,3384.0,3352.0,3434.0,3400.0,3346.0,3358.0,3320.0,3354.0,3248.0,3278.0,3398.0,3218.0,3482.0,3365.0,4.2576,55.4147,3070.7853
