letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,25,25,26,26,27,24,25,25,25,28,28,25,26,25,25,24,26,23,25,26,29,24,26,26,25,27,26,27,27,26,26,27,27,26,24,27,25,28,27,26,25,24,25,26,26,26,27,25,26,27,23,29,25.0,4.1051,1.2182,1.4841,13983.0
A,27,27,24,25,25,24,26,26,24,27,26,27,26,24,26,23,24,26,22,25,27,27,24,26,26,27,27,23,25,26,27,26,27,25,26,26,26,28,27,27,24,26,25,25,24,26,27,26,25,25,22,28,25.0,4.1051,1.3093,1.7143,13983.0
O,24,26,24,26,24,24,24,25,22,23,24,25,25,25,24,25,24,25,23,23,26,25,24,26,25,26,23,26,23,24,26,24,23,26,26,23,23,23,26,25,26,25,22,25,26,25,26,25,25,24,22,26,24.0,3.9409,1.1817,1.3963,9887.0
S,23,25,23,26,24,22,25,23,23,24,26,25,24,24,22,25,23,23,27,26,24,24,22,23,24,23,25,24,24,24,23,24,24,25,24,25,23,24,25,27,24,24,22,25,26,26,25,25,24,26,22,27,24.0,3.9409,1.2501,1.5629,9887.0
N,23,23,23,23,22,24,24,25,24,24,25,24,24,23,22,22,23,25,22,24,25,22,25,23,24,23,24,25,22,24,23,23,24,24,24,23,26,24,24,23,23,24,24,23,23,25,23,23,23,26,22,26,23.0,3.7767,1.0079,1.0159,6991.0
L,25,21,24,24,24,24,24,23,23,24,23,25,24,24,23,25,23,24,25,25,25,22,23,24,25,22,23,23,24,23,23,25,23,23,23,25,23,24,22,26,22,25,22,23,24,22,23,24,25,25,21,26,23.0,3.7767,1.0994,1.2086,6991.0
T,23,23,24,23,24,24,24,25,21,23,22,23,24,26,23,22,24,24,22,23,24,24,22,23,21,22,26,26,23,26,22,22,24,25,24,26,21,22,22,24,22,21,22,22,22,23,23,24,22,22,21,26,23.0,3.7767,1.3952,1.9465,6991.0
D,24,22,21,23,24,25,23,21,24,24,23,22,23,22,22,24,22,24,23,21,23,22,24,24,23,22,24,26,23,23,23,24,23,24,23,24,23,25,22,24,24,22,23,22,25,23,23,23,25,22,21,26,23.0,3.7767,1.1132,1.2392,6991.0
R,22,24,23,26,25,24,24,24,22,24,25,23,24,27,26,23,24,24,24,24,23,24,24,24,23,23,24,23,26,24,26,24,23,22,25,25,24,24,25,23,22,28,23,23,26,25,22,24,23,22,22,28,23.0,3.7767,1.3323,1.7751,6991.0
I,23,24,23,24,23,24,24,20,22,23,24,24,24,24,23,23,23,27,23,25,23,21,25,23,22,24,25,24,23,23,22,24,25,23,25,23,24,23,24,24,23,23,23,21,24,24,23,22,24,25,20,27,23.0,3.7767,1.1808,1.3943,6991.0
