letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,13983.0,13983.0,19776.0,19776.0,27968.0,9887.0,13983.0,13983.0,13983.0,39553.0,39553.0,13983.0,19776.0,13983.0,13983.0,9887.0,19776.0,6991.0,13983.0,19776.0,55937.0,9887.0,19776.0,19776.0,13983.0,27968.0,19776.0,27968.0,27968.0,19776.0,19776.0,27968.0,27968.0,19776.0,9887.0,27968.0,13983.0,39553.0,27968.0,19776.0,13983.0,9887.0,13983.0,19776.0,19776.0,19776.0,27968.0,13983.0,19776.0,27968.0,6991.0,55937.0,20457.0,12.7708,9314.3608,86757317.0612
A,27968.0,27968.0,9887.0,13983.0,13983.0,9887.0,19776.0,19776.0,9887.0,27968.0,19776.0,27968.0,19776.0,9887.0,19776.0,6991.0,9887.0,19776.0,4943.0,13983.0,27968.0,27968.0,9887.0,19776.0,19776.0,27968.0,27968.0,6991.0,13983.0,19776.0,27968.0,19776.0,27968.0,13983.0,19776.0,19776.0,19776.0,39553.0,27968.0,27968.0,9887.0,19776.0,13983.0,13983.0,9887.0,19776.0,27968.0,19776.0,13983.0,13983.0,4943.0,39553.0,18868.0,11.7788,7631.3778,58237927.269
O,9887.0,19776.0,9887.0,19776.0,9887.0,9887.0,9887.0,13983.0,4943.0,6991.0,9887.0,13983.0,13983.0,13983.0,9887.0,13983.0,9887.0,13983.0,6991.0,6991.0,19776.0,13983.0,9887.0,19776.0,13983.0,19776.0,6991.0,19776.0,6991.0,9887.0,19776.0,9887.0,6991.0,19776.0,19776.0,6991.0,6991.0,6991.0,19776.0,13983.0,19776.0,13983.0,4943.0,13983.0,19776.0,13983.0,19776.0,13983.0,13983.0,9887.0,4943.0,19776.0,12885.0,8.0438,4909.081,24099076.7547
S,6991.0,13983.0,6991.0,19776.0,9887.0,4943.0,13983.0,6991.0,6991.0,9887.0,19776.0,13983.0,9887.0,9887.0,4943.0,13983.0,6991.0,6991.0,27968.0,19776.0,9887.0,9887.0,4943.0,6991.0,9887.0,6991.0,13983.0,9887.0,9887.0,9887.0,6991.0,9887.0,9887.0,13983.0,9887.0,13983.0,6991.0,9887.0,13983.0,27968.0,9887.0,9887.0,4943.0,13983.0,19776.0,19776.0,13983.0,13983.0,9887.0,19776.0,4943.0,27968.0,11723.0,7.3184,5417.631,29350725.9363
R,4943.0,9887.0,6991.0,19776.0,13983.0,9887.0,9887.0,9887.0,4943.0,9887.0,13983.0,6991.0,9887.0,27968.0,19776.0,6991.0,9887.0,9887.0,9887.0,9887.0,6991.0,9887.0,9887.0,9887.0,6991.0,6991.0,9887.0,6991.0,19776.0,9887.0,19776.0,9887.0,6991.0,4943.0,13983.0,13983.0,9887.0,9887.0,13983.0,6991.0,4943.0,39553.0,6991.0,6991.0,19776.0,13983.0,4943.0,9887.0,6991.0,4943.0,4943.0,39553.0,11034.0,6.8882,6353.7464,40370093.631
L,13983.0,3495.0,9887.0,9887.0,9887.0,9887.0,9887.0,6991.0,6991.0,9887.0,6991.0,13983.0,9887.0,9887.0,6991.0,13983.0,6991.0,9887.0,13983.0,13983.0,13983.0,4943.0,6991.0,9887.0,13983.0,4943.0,6991.0,6991.0,9887.0,6991.0,6991.0,13983.0,6991.0,6991.0,6991.0,13983.0,6991.0,9887.0,4943.0,19776.0,4943.0,13983.0,4943.0,6991.0,9887.0,4943.0,6991.0,9887.0,13983.0,13983.0,3495.0,19776.0,9419.0,5.88,3528.0771,12447327.8567
N,6991.0,6991.0,6991.0,6991.0,4943.0,9887.0,9887.0,13983.0,9887.0,9887.0,13983.0,9887.0,9887.0,6991.0,4943.0,4943.0,6991.0,13983.0,4943.0,9887.0,13983.0,4943.0,13983.0,6991.0,9887.0,6991.0,9887.0,13983.0,4943.0,9887.0,6991.0,6991.0,9887.0,9887.0,9887.0,6991.0,19776.0,9887.0,9887.0,6991.0,6991.0,9887.0,9887.0,6991.0,6991.0,13983.0,6991.0,6991.0,6991.0,19776.0,4943.0,19776.0,9220.0,5.7558,3465.3176,12008426.0963
I,6991.0,9887.0,6991.0,9887.0,6991.0,9887.0,9887.0,2471.0,4943.0,6991.0,9887.0,9887.0,9887.0,9887.0,6991.0,6991.0,6991.0,27968.0,6991.0,13983.0,6991.0,3495.0,13983.0,6991.0,4943.0,9887.0,13983.0,9887.0,6991.0,6991.0,4943.0,9887.0,13983.0,6991.0,13983.0,6991.0,9887.0,6991.0,9887.0,9887.0,6991.0,6991.0,6991.0,3495.0,9887.0,9887.0,6991.0,4943.0,9887.0,13983.0,2471.0,27968.0,8840.0,5.5186,3955.4264,15645397.878
T,6991.0,6991.0,9887.0,6991.0,9887.0,9887.0,9887.0,13983.0,3495.0,6991.0,4943.0,6991.0,9887.0,19776.0,6991.0,4943.0,9887.0,9887.0,4943.0,6991.0,9887.0,9887.0,4943.0,6991.0,3495.0,4943.0,19776.0,19776.0,6991.0,19776.0,4943.0,4943.0,9887.0,13983.0,9887.0,19776.0,3495.0,4943.0,4943.0,9887.0,4943.0,3495.0,4943.0,4943.0,4943.0,6991.0,6991.0,9887.0,4943.0,4943.0,3495.0,19776.0,8408.0,5.2489,4596.9944,21132357.8127
D,9887.0,4943.0,3495.0,6991.0,9887.0,13983.0,6991.0,3495.0,9887.0,9887.0,6991.0,4943.0,6991.0,4943.0,4943.0,9887.0,4943.0,9887.0,6991.0,3495.0,6991.0,4943.0,9887.0,9887.0,6991.0,4943.0,9887.0,19776.0,6991.0,6991.0,6991.0,9887.0,6991.0,9887.0,6991.0,9887.0,6991.0,13983.0,4943.0,9887.0,9887.0,4943.0,6991.0,4943.0,13983.0,6991.0,6991.0,6991.0,13983.0,4943.0,3495.0,19776.0,7956.0,4.9667,3234.4012,10461350.9751
U,6991.0,4943.0,4943.0,4943.0,4943.0,2471.0,6991.0,4943.0,6991.0,3495.0,9887.0,13983.0,3495.0,3495.0,6991.0,6991.0,4943.0,4943.0,6991.0,9887.0,6991.0,3495.0,4943.0,6991.0,13983.0,6991.0,3495.0,6991.0,4943.0,2471.0,13983.0,13983.0,2471.0,6991.0,9887.0,3495.0,4943.0,9887.0,4943.0,6991.0,3495.0,4943.0,4943.0,2471.0,4943.0,6991.0,6991.0,4943.0,4943.0,6991.0,2471.0,13983.0,6275.0,3.9173,2989.4273,8936675.5004
C,4943.0,4943.0,9887.0,3495.0,3495.0,4943.0,9887.0,4943.0,4943.0,6991.0,4943.0,6991.0,4943.0,4943.0,4943.0,4943.0,3495.0,6991.0,6991.0,6991.0,3495.0,4943.0,6991.0,4943.0,6991.0,6991.0,13983.0,4943.0,3495.0,6991.0,4943.0,6991.0,4943.0,6991.0,4943.0,4943.0,6991.0,6991.0,6991.0,9887.0,4943.0,6991.0,3495.0,4943.0,4943.0,4943.0,3495.0,3495.0,3495.0,9887.0,3495.0,13983.0,5873.0,3.6664,2109.3891,4449522.4424
M,6991.0,4943.0,3495.0,9887.0,6991.0,4943.0,4943.0,3495.0,4943.0,4943.0,2471.0,2471.0,4943.0,4943.0,4943.0,6991.0,3495.0,4943.0,4943.0,3495.0,3495.0,4943.0,3495.0,4943.0,4943.0,9887.0,6991.0,4943.0,6991.0,6991.0,3495.0,4943.0,2471.0,6991.0,6991.0,2471.0,3495.0,2471.0,6991.0,3495.0,4943.0,4943.0,4943.0,4943.0,6991.0,3495.0,4943.0,9887.0,3495.0,6991.0,2471.0,9887.0,5124.0,3.1988,1870.4926,3498742.7004
P,1747.0,3495.0,3495.0,2471.0,4943.0,1235.0,6991.0,3495.0,3495.0,3495.0,4943.0,3495.0,3495.0,3495.0,2471.0,4943.0,4943.0,4943.0,1747.0,6991.0,4943.0,3495.0,2471.0,2471.0,3495.0,3495.0,2471.0,2471.0,2471.0,4943.0,4943.0,4943.0,4943.0,4943.0,3495.0,1747.0,3495.0,4943.0,3495.0,3495.0,3495.0,2471.0,3495.0,1747.0,6991.0,2471.0,4943.0,3495.0,4943.0,2471.0,1235.0,6991.0,3720.0,2.3223,1364.9843,1863182.1127
H,873.0,3495.0,873.0,2471.0,1747.0,3495.0,1747.0,3495.0,1235.0,2471.0,3495.0,1747.0,3495.0,2471.0,1235.0,1235.0,2471.0,1747.0,2471.0,2471.0,1747.0,2471.0,3495.0,2471.0,1747.0,2471.0,2471.0,2471.0,2471.0,2471.0,1235.0,2471.0,1235.0,2471.0,3495.0,2471.0,1747.0,1747.0,3495.0,1235.0,2471.0,2471.0,1235.0,2471.0,2471.0,4943.0,2471.0,4943.0,1235.0,2471.0,873.0,4943.0,2356.0,1.4708,919.9979,846396.0816
V,1747.0,1747.0,1747.0,1747.0,1747.0,1747.0,4943.0,3495.0,1747.0,3495.0,1747.0,3495.0,2471.0,1235.0,1747.0,2471.0,1747.0,1235.0,1235.0,2471.0,3495.0,3495.0,1235.0,3495.0,1747.0,3495.0,1235.0,3495.0,1747.0,1747.0,1747.0,2471.0,1235.0,1747.0,3495.0,1235.0,1235.0,873.0,2471.0,3495.0,1747.0,2471.0,3495.0,873.0,2471.0,1235.0,2471.0,1747.0,1747.0,4943.0,873.0,4943.0,2248.0,1.4034,1005.7363,1011505.4955
