letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,10802,10844,10766,10836,10900,10842,10842,10823,10871,10869,10993,10938,10889,10951,10832,10951,10834,11022,10830,10957,10825,10804,10808,10877,10821,10891,10830,10849,10864,10778,10828,10882,10890,10891,10806,10817,10829,10916,10763,10705,10898,10794,10836,10802,10949,10810,10843,10850,10921,10884,10705,11022,10857.0,13.238,61.2317,3749.3229,21714.0
A,8800,8786,8815,8878,8855,8862,8834,8899,8819,8721,8890,8833,8845,8852,8824,8857,8909,8815,8884,8761,8908,8795,8827,8750,8861,8840,8915,8714,8817,8908,8828,8791,8816,8917,8847,8819,8814,8777,8969,8776,8861,8918,8878,8887,8801,8844,8802,8893,8967,8935,8714,8969,8844.0,10.7835,57.032,3252.6547,17688.0
O,7472,7379,7450,7423,7348,7464,7452,7463,7388,7478,7518,7441,7418,7394,7310,7342,7379,7468,7476,7501,7429,7467,7456,7423,7319,7494,7527,7519,7477,7540,7342,7439,7469,7475,7377,7422,7466,7297,7306,7511,7470,7492,7340,7520,7413,7363,7480,7610,7411,7440,7297,7610,7437.0,9.068,67.8418,4602.5045,14874.0
S,6097,6134,6259,6148,6147,6230,6127,6097,6250,6185,6201,6174,6109,6204,6076,6156,6178,6253,6027,6191,6201,6188,6186,6106,6168,6161,6145,6183,6214,6043,6092,6190,6191,6158,6145,6132,6185,6167,6135,6022,6166,6223,6203,6056,6221,6128,6199,6159,6075,6279,6022,6279,6159.0,7.5097,58.931,3472.8588,12318.0
R,5401,5433,5561,5563,5538,5455,5519,5476,5509,5422,5532,5501,5400,5490,5561,5443,5553,5485,5462,5542,5498,5440,5477,5456,5525,5471,5488,5491,5478,5462,5526,5540,5509,5426,5498,5425,5536,5482,5433,5475,5363,5500,5515,5523,5475,5447,5506,5576,5503,5487,5363,5576,5487.0,6.6903,46.9382,2203.1922,10974.0
N,5021,5002,5029,5001,5035,4943,5007,4994,5036,4845,4926,5098,5032,4955,5003,5001,4971,5024,5074,5072,5015,4984,5071,4914,4985,5015,5025,4919,5009,5043,5095,5022,5004,5053,5013,4997,4945,4944,4920,5006,4987,5023,5025,5046,4973,4974,5025,4954,5009,4966,4845,5098,5000.0,6.0965,49.0273,2403.6735,10000.0
I,4728,4766,4634,4759,4729,4745,4754,4753,4699,4718,4748,4678,4804,4772,4720,4774,4714,4697,4741,4765,4761,4680,4782,4797,4728,4785,4754,4778,4697,4690,4702,4663,4719,4723,4815,4751,4736,4733,4700,4732,4791,4672,4689,4764,4724,4768,4712,4771,4685,4659,4634,4815,4733.0,5.771,40.9244,1674.8037,9466.0
L,4475,4503,4443,4427,4501,4505,4514,4463,4492,4419,4419,4404,4490,4523,4418,4496,4458,4404,4408,4337,4388,4436,4452,4493,4442,4599,4505,4435,4465,4430,4472,4510,4468,4350,4481,4461,4524,4396,4476,4371,4536,4546,4457,4496,4506,4407,4471,4355,4471,4481,4337,4599,4459.0,5.4369,53.33,2844.0853,8918.0
D,3871,3754,3859,3868,3796,3778,3853,3813,3789,3759,3802,3838,3790,3851,3756,3835,3822,3849,3743,3760,3797,3836,3856,3819,3848,3755,3834,3764,3792,3766,3775,3809,3765,3805,3846,3800,3807,3829,3840,3802,3820,3881,3774,3839,3801,3829,3813,3756,3826,3745,3743,3881,3808.0,4.6431,37.0649,1373.8061,7616.0
U,3687,3706,3792,3659,3722,3672,3740,3692,3695,3666,3668,3700,3743,3716,3764,3681,3634,3624,3706,3743,3640,3672,3640,3648,3787,3675,3662,3609,3671,3704,3740,3729,3739,3648,3660,3773,3660,3614,3685,3735,3712,3592,3712,3715,3739,3737,3664,3652,3745,3729,3592,3792,3693.0,4.5029,46.7909,2189.3861,7386.0
