letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,21604.0,21688.0,21532.0,21672.0,21800.0,21684.0,21684.0,21646.0,21742.0,21738.0,21986.0,21876.0,21778.0,21902.0,21664.0,21902.0,21668.0,22044.0,21660.0,21914.0,21650.0,21608.0,21616.0,21754.0,21642.0,21782.0,21660.0,21698.0,21728.0,21556.0,21656.0,21764.0,21780.0,21782.0,21612.0,21634.0,21658.0,21832.0,21526.0,21410.0,21796.0,21588.0,21672.0,21604.0,21898.0,21620.0,21686.0,21700.0,21842.0,21768.0,21410.0,22044.0,21714.0,13.2367,122.4634,14997.2914
A,17600.0,17572.0,17630.0,17756.0,17710.0,17724.0,17668.0,17798.0,17638.0,17442.0,17780.0,17666.0,17690.0,17704.0,17648.0,17714.0,17818.0,17630.0,17768.0,17522.0,17816.0,17590.0,17654.0,17500.0,17722.0,17680.0,17830.0,17428.0,17634.0,17816.0,17656.0,17582.0,17632.0,17834.0,17694.0,17638.0,17628.0,17554.0,17938.0,17552.0,17722.0,17836.0,17756.0,17774.0,17602.0,17688.0,17604.0,17786.0,17934.0,17870.0,17428.0,17938.0,17688.0,10.7825,114.0641,13010.6188
O,14944.0,14758.0,14900.0,14846.0,14696.0,14928.0,14904.0,14926.0,14776.0,14956.0,15036.0,14882.0,14836.0,14788.0,14620.0,14684.0,14758.0,14936.0,14952.0,15002.0,14858.0,14934.0,14912.0,14846.0,14638.0,14988.0,15054.0,15038.0,14954.0,15080.0,14684.0,14878.0,14938.0,14950.0,14754.0,14844.0,14932.0,14594.0,14612.0,15022.0,14940.0,14984.0,14680.0,15040.0,14826.0,14726.0,14960.0,15220.0,14822.0,14880.0,14594.0,15220.0,14874.0,9.0671,135.6835,18410.018
S,12194.0,12268.0,12518.0,12296.0,12294.0,12460.0,12254.0,12194.0,12500.0,12370.0,12402.0,12348.0,12218.0,12408.0,12152.0,12312.0,12356.0,12506.0,12054.0,12382.0,12402.0,12376.0,12372.0,12212.0,12336.0,12322.0,12290.0,12366.0,12428.0,12086.0,12184.0,12380.0,12382.0,12316.0,12290.0,12264.0,12370.0,12334.0,12270.0,12044.0,12332.0,12446.0,12406.0,12112.0,12442.0,12256.0,12398.0,12318.0,12150.0,12558.0,12044.0,12558.0,12318.0,7.509,117.8619,13891.4351
R,10802.0,10866.0,11122.0,11126.0,11076.0,10910.0,11038.0,10952.0,11018.0,10844.0,11064.0,11002.0,10800.0,10980.0,11122.0,10886.0,11106.0,10970.0,10924.0,11084.0,10996.0,10880.0,10954.0,10912.0,11050.0,10942.0,10976.0,10982.0,10956.0,10924.0,11052.0,11080.0,11018.0,10852.0,10996.0,10850.0,11072.0,10964.0,10866.0,10950.0,10726.0,11000.0,11030.0,11046.0,10950.0,10894.0,11012.0,11152.0,11006.0,10974.0,10726.0,11152.0,10975.0,6.6903,93.8763,8812.769
N,10042.0,10004.0,10058.0,10002.0,10070.0,9886.0,10014.0,9988.0,10072.0,9690.0,9852.0,10196.0,10064.0,9910.0,10006.0,10002.0,9942.0,10048.0,10148.0,10144.0,10030.0,9968.0,10142.0,9828.0,9970.0,10030.0,10050.0,9838.0,10018.0,10086.0,10190.0,10044.0,10008.0,10106.0,10026.0,9994.0,9890.0,9888.0,9840.0,10012.0,9974.0,10046.0,10050.0,10092.0,9946.0,9948.0,10050.0,9908.0,10018.0,9932.0,9690.0,10196.0,10001.0,6.0965,98.0545,9614.6939
I,9456.0,9532.0,9268.0,9518.0,9458.0,9490.0,9508.0,9506.0,9398.0,9436.0,9496.0,9356.0,9608.0,9544.0,9440.0,9548.0,9428.0,9394.0,9482.0,9530.0,9522.0,9360.0,9564.0,9594.0,9456.0,9570.0,9508.0,9556.0,9394.0,9380.0,9404.0,9326.0,9438.0,9446.0,9630.0,9502.0,9472.0,9466.0,9400.0,9464.0,9582.0,9344.0,9378.0,9528.0,9448.0,9536.0,9424.0,9542.0,9370.0,9318.0,9268.0,9630.0,9466.0,5.7704,81.8487,6699.2147
L,8950.0,9006.0,8886.0,8854.0,9002.0,9010.0,9028.0,8926.0,8984.0,8838.0,8838.0,8808.0,8980.0,9046.0,8836.0,8992.0,8916.0,8808.0,8816.0,8674.0,8776.0,8872.0,8904.0,8986.0,8884.0,9198.0,9010.0,8870.0,8930.0,8860.0,8944.0,9020.0,8936.0,8700.0,8962.0,8922.0,9048.0,8792.0,8952.0,8742.0,9072.0,9092.0,8914.0,8992.0,9012.0,8814.0,8942.0,8710.0,8942.0,8962.0,8674.0,9198.0,8919.0,5.437,106.6599,11376.3412
D,7742.0,7508.0,7718.0,7736.0,7592.0,7556.0,7706.0,7626.0,7578.0,7518.0,7604.0,7676.0,7580.0,7702.0,7512.0,7670.0,7644.0,7698.0,7486.0,7520.0,7594.0,7672.0,7712.0,7638.0,7696.0,7510.0,7668.0,7528.0,7584.0,7532.0,7550.0,7618.0,7530.0,7610.0,7692.0,7600.0,7614.0,7658.0,7680.0,7604.0,7640.0,7762.0,7548.0,7678.0,7602.0,7658.0,7626.0,7512.0,7652.0,7490.0,7486.0,7762.0,7616.0,4.6427,74.1298,5495.2245
U,7374.0,7412.0,7584.0,7318.0,7444.0,7344.0,7480.0,7384.0,7390.0,7332.0,7336.0,7400.0,7486.0,7432.0,7528.0,7362.0,7268.0,7248.0,7412.0,7486.0,7280.0,7344.0,7280.0,7296.0,7574.0,7350.0,7324.0,7218.0,7342.0,7408.0,7480.0,7458.0,7478.0,7296.0,7320.0,7546.0,7320.0,7228.0,7370.0,7470.0,7424.0,7184.0,7424.0,7430.0,7478.0,7474.0,7328.0,7304.0,7490.0,7458.0,7184.0,7584.0,7387.0,4.5031,93.5818,8757.5445
