letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,28,27,27,28,27,28,27,28,28,28,27,30,27,28,29,28,27,26,28,27,26,28,26,29,28,27,28,27,28,27,29,26,27,30,28,28,31,29,27,30,28,27,32,28,27,29,27,30,27,28,26,32,27.0,3.9359,1.2657,1.602,27968.0
N,26,26,26,26,27,26,26,24,27,27,23,24,25,25,26,24,27,25,26,27,27,28,24,26,25,28,24,26,26,23,25,25,24,26,25,28,25,24,24,25,27,27,25,25,27,26,24,24,24,25,23,28,25.0,3.6443,1.2976,1.6837,13983.0
T,25,26,27,28,25,23,27,25,25,28,27,25,26,27,25,25,25,28,27,24,25,24,24,28,24,25,23,26,25,24,26,24,26,27,26,25,25,28,25,24,25,24,28,25,26,25,25,25,25,25,23,28,25.0,3.6443,1.3439,1.8061,13983.0
A,26,26,25,25,25,24,25,24,27,26,24,24,25,27,24,25,26,24,26,27,25,26,26,25,23,26,24,26,25,25,24,25,25,28,25,25,25,26,26,26,24,28,24,26,28,23,24,24,25,24,23,28,25.0,3.6443,1.2002,1.4404,13983.0
S,27,25,26,26,24,24,25,26,25,26,27,25,27,26,26,26,28,23,26,25,22,25,25,25,27,26,26,27,25,28,25,25,27,25,26,25,26,26,25,25,27,26,25,26,25,24,26,27,25,25,22,28,25.0,3.6443,1.1429,1.3061,13983.0
O,25,27,24,22,26,26,26,24,25,24,23,25,23,27,25,24,26,25,23,25,26,24,25,26,26,24,23,25,24,25,26,27,27,26,25,26,22,25,25,24,25,24,25,23,24,25,25,26,25,26,22,27,24.0,3.4985,1.2395,1.5363,9887.0
L,24,26,26,26,24,26,26,24,25,26,25,25,24,26,23,22,24,24,25,25,25,24,25,25,24,23,25,24,27,26,24,25,25,26,26,25,25,24,25,25,25,23,24,24,25,25,25,24,24,24,22,27,24.0,3.4985,0.9858,0.9718,9887.0
R,26,22,24,27,23,24,25,25,25,25,25,25,23,24,26,25,25,25,26,24,26,23,28,25,23,24,25,25,25,26,24,24,26,27,25,23,26,24,27,26,26,25,25,27,24,24,24,26,25,27,22,28,24.0,3.4985,1.2696,1.6118,9887.0
U,25,22,24,22,24,25,24,24,23,25,27,23,25,26,25,24,23,24,26,27,23,24,28,27,23,24,26,23,26,25,25,24,26,27,26,25,23,26,24,24,26,26,25,26,26,27,24,24,25,25,22,28,24.0,3.4985,1.4097,1.9873,9887.0
I,24,26,22,26,26,25,25,25,24,25,24,25,24,24,23,27,25,24,28,25,23,26,24,24,24,25,25,24,25,24,25,27,25,27,25,24,24,25,27,25,27,24,24,25,24,25,25,25,25,26,22,28,24.0,3.4985,1.165,1.3571,9887.0
