letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,39553.0,27968.0,27968.0,39553.0,27968.0,39553.0,27968.0,39553.0,39553.0,39553.0,27968.0,79107.0,27968.0,39553.0,55937.0,39553.0,27968.0,19776.0,39553.0,27968.0,19776.0,39553.0,19776.0,55937.0,39553.0,27968.0,39553.0,27968.0,39553.0,27968.0,55937.0,19776.0,27968.0,79107.0,39553.0,39553.0,111875.0,55937.0,27968.0,79107.0,39553.0,27968.0,158216.0,39553.0,27968.0,55937.0,27968.0,79107.0,27968.0,39553.0,19776.0,158216.0,42654.0,17.6003,24857.4866,617894637.6637
T,13983.0,19776.0,27968.0,39553.0,13983.0,6991.0,27968.0,13983.0,13983.0,39553.0,27968.0,13983.0,19776.0,27968.0,13983.0,13983.0,13983.0,39553.0,27968.0,9887.0,13983.0,9887.0,9887.0,39553.0,9887.0,13983.0,6991.0,19776.0,13983.0,9887.0,19776.0,9887.0,19776.0,27968.0,19776.0,13983.0,13983.0,39553.0,13983.0,9887.0,13983.0,9887.0,39553.0,13983.0,19776.0,13983.0,13983.0,13983.0,13983.0,13983.0,6991.0,39553.0,18605.0,7.677,9577.7423,91733148.0853
S,27968.0,13983.0,19776.0,19776.0,9887.0,9887.0,13983.0,19776.0,13983.0,19776.0,27968.0,13983.0,27968.0,19776.0,19776.0,19776.0,39553.0,6991.0,19776.0,13983.0,4943.0,13983.0,13983.0,13983.0,27968.0,19776.0,19776.0,27968.0,13983.0,39553.0,13983.0,13983.0,27968.0,13983.0,19776.0,13983.0,19776.0,19776.0,13983.0,13983.0,27968.0,19776.0,13983.0,19776.0,13983.0,9887.0,19776.0,27968.0,13983.0,13983.0,4943.0,39553.0,18530.0,7.646,7222.5108,52164662.1453
N,19776.0,19776.0,19776.0,19776.0,27968.0,19776.0,19776.0,9887.0,27968.0,27968.0,6991.0,9887.0,13983.0,13983.0,19776.0,9887.0,27968.0,13983.0,19776.0,27968.0,27968.0,39553.0,9887.0,19776.0,13983.0,39553.0,9887.0,19776.0,19776.0,6991.0,13983.0,13983.0,9887.0,19776.0,13983.0,39553.0,13983.0,9887.0,9887.0,13983.0,27968.0,27968.0,13983.0,13983.0,27968.0,19776.0,9887.0,9887.0,9887.0,13983.0,6991.0,39553.0,18359.0,7.5755,8430.3065,71070068.1486
A,19776.0,19776.0,13983.0,13983.0,13983.0,9887.0,13983.0,9887.0,27968.0,19776.0,9887.0,9887.0,13983.0,27968.0,9887.0,13983.0,19776.0,9887.0,19776.0,27968.0,13983.0,19776.0,19776.0,13983.0,6991.0,19776.0,9887.0,19776.0,13983.0,13983.0,9887.0,13983.0,13983.0,39553.0,13983.0,13983.0,13983.0,19776.0,19776.0,19776.0,9887.0,39553.0,9887.0,19776.0,39553.0,6991.0,9887.0,9887.0,13983.0,9887.0,6991.0,39553.0,16517.0,6.8154,7797.2911,60797748.0963
R,19776.0,4943.0,9887.0,27968.0,6991.0,9887.0,13983.0,13983.0,13983.0,13983.0,13983.0,13983.0,6991.0,9887.0,19776.0,13983.0,13983.0,13983.0,19776.0,9887.0,19776.0,6991.0,39553.0,13983.0,6991.0,9887.0,13983.0,13983.0,13983.0,19776.0,9887.0,9887.0,19776.0,27968.0,13983.0,6991.0,19776.0,9887.0,27968.0,19776.0,19776.0,13983.0,13983.0,27968.0,9887.0,9887.0,9887.0,19776.0,13983.0,27968.0,4943.0,39553.0,15270.0,6.3009,6991.4794,48880784.6486
U,13983.0,4943.0,9887.0,4943.0,9887.0,13983.0,9887.0,9887.0,6991.0,13983.0,27968.0,6991.0,13983.0,19776.0,13983.0,9887.0,6991.0,9887.0,19776.0,27968.0,6991.0,9887.0,39553.0,27968.0,6991.0,9887.0,19776.0,6991.0,19776.0,13983.0,13983.0,9887.0,19776.0,27968.0,19776.0,13983.0,6991.0,19776.0,9887.0,9887.0,19776.0,19776.0,13983.0,19776.0,19776.0,27968.0,9887.0,9887.0,13983.0,13983.0,4943.0,39553.0,14761.0,6.0908,7415.2367,54985734.7282
I,9887.0,19776.0,4943.0,19776.0,19776.0,13983.0,13983.0,13983.0,9887.0,13983.0,9887.0,13983.0,9887.0,9887.0,6991.0,27968.0,13983.0,9887.0,39553.0,13983.0,6991.0,19776.0,9887.0,9887.0,9887.0,13983.0,13983.0,9887.0,13983.0,9887.0,13983.0,27968.0,13983.0,27968.0,13983.0,9887.0,9887.0,13983.0,27968.0,13983.0,27968.0,9887.0,9887.0,13983.0,9887.0,13983.0,13983.0,13983.0,13983.0,19776.0,4943.0,39553.0,14701.0,6.0661,6733.5245,45340352.1224
O,13983.0,27968.0,9887.0,4943.0,19776.0,19776.0,19776.0,9887.0,13983.0,9887.0,6991.0,13983.0,6991.0,27968.0,13983.0,9887.0,19776.0,13983.0,6991.0,13983.0,19776.0,9887.0,13983.0,19776.0,19776.0,9887.0,6991.0,13983.0,9887.0,13983.0,19776.0,27968.0,27968.0,19776.0,13983.0,19776.0,4943.0,13983.0,13983.0,9887.0,13983.0,9887.0,13983.0,6991.0,9887.0,13983.0,13983.0,19776.0,13983.0,19776.0,4943.0,27968.0,14612.0,6.0293,5960.5731,35528432.0261
L,9887.0,19776.0,19776.0,19776.0,9887.0,19776.0,19776.0,9887.0,13983.0,19776.0,13983.0,13983.0,9887.0,19776.0,6991.0,4943.0,9887.0,9887.0,13983.0,13983.0,13983.0,9887.0,13983.0,13983.0,9887.0,6991.0,13983.0,9887.0,27968.0,19776.0,9887.0,13983.0,13983.0,19776.0,19776.0,13983.0,13983.0,9887.0,13983.0,13983.0,13983.0,6991.0,9887.0,9887.0,13983.0,13983.0,13983.0,9887.0,9887.0,9887.0,4943.0,27968.0,13510.0,5.5746,4555.3642,20751343.0127
