letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,18590,18673,18591,18632,18753,18791,18583,18571,18509,18652,18658,18680,18721,18709,18264,18474,18743,18608,18409,18530,18690,18696,18605,18684,18625,18568,18753,18532,18534,18628,18534,18612,18564,18637,18701,18513,18631,18505,18575,18580,18506,18860,18520,18849,18607,18560,18470,18690,18558,18620,18264,18860,18610.0,15.5469,107.6938,11597.9576,37220.0
S,9565,9582,9573,9625,9545,9642,9553,9667,9668,9576,9596,9543,9528,9566,9675,9495,9471,9469,9607,9410,9596,9486,9576,9703,9585,9540,9443,9516,9639,9558,9528,9660,9726,9445,9605,9471,9525,9567,9498,9645,9450,9459,9486,9620,9537,9540,9590,9564,9604,9556,9410,9726,9561.0,7.9873,72.2533,5220.5404,19122.0
A,8550,8588,8558,8631,8591,8572,8531,8478,8557,8592,8633,8596,8671,8647,8589,8547,8590,8573,8467,8520,8553,8578,8527,8576,8568,8521,8582,8453,8619,8590,8660,8629,8552,8637,8494,8596,8538,8595,8394,8601,8545,8545,8671,8537,8680,8530,8594,8661,8694,8635,8394,8694,8576.0,7.1645,60.778,3693.9608,17152.0
N,8568,8485,8527,8567,8539,8571,8588,8618,8635,8537,8473,8557,8555,8656,8440,8427,8604,8461,8553,8543,8559,8511,8585,8465,8616,8509,8466,8568,8563,8599,8532,8551,8540,8495,8566,8375,8610,8540,8677,8560,8568,8659,8510,8606,8544,8586,8522,8669,8502,8562,8375,8677,8550.0,7.1427,62.3865,3892.0771,17100.0
T,8321,8287,8269,8283,8362,8280,8216,8311,8377,8246,8333,8330,8311,8278,8236,8245,8299,8225,8271,8344,8295,8345,8368,8332,8243,8285,8291,8343,8295,8259,8310,8432,8261,8320,8350,8372,8374,8312,8269,8270,8375,8299,8227,8374,8335,8373,8252,8277,8209,8290,8209,8432,8303.0,6.9364,50.1717,2517.1955,16606.0
I,8057,7961,7966,8090,8064,8090,7988,8082,8144,8191,8188,8071,8005,8035,8119,8073,8096,8046,8105,8105,8202,8188,8029,8056,8083,8084,8190,8146,8127,7985,8056,8138,8078,7965,8092,7994,8150,8038,8091,8047,8132,7964,8022,8022,8003,8094,8047,7990,8039,8147,7961,8202,8073.0,6.7442,65.2994,4264.0102,16146.0
R,8166,8010,7901,8046,7951,8083,7985,8129,8130,8080,8070,8107,8123,8044,8068,7978,7997,8099,8025,8111,7999,7980,8038,8077,7980,7976,8031,8063,8112,8036,7946,8038,7948,8085,8107,8079,7986,7941,8104,8015,8071,8026,7973,8022,7934,8138,8109,8064,8051,7978,7901,8166,8040.0,6.7167,62.7782,3941.102,16080.0
U,7527,7529,7559,7540,7633,7560,7474,7642,7502,7501,7484,7535,7560,7584,7448,7484,7561,7529,7566,7596,7523,7530,7587,7354,7643,7550,7536,7561,7526,7606,7553,7537,7428,7623,7519,7497,7600,7506,7503,7553,7504,7474,7512,7632,7606,7551,7609,7590,7505,7570,7354,7643,7542.0,6.3006,56.8848,3235.8759,15084.0
O,7430,7466,7428,7493,7405,7505,7557,7430,7570,7490,7505,7424,7533,7396,7583,7508,7509,7460,7307,7499,7353,7467,7436,7363,7580,7506,7521,7491,7538,7441,7465,7438,7513,7474,7411,7381,7449,7477,7527,7493,7489,7518,7516,7302,7447,7450,7550,7336,7407,7391,7302,7583,7464.0,6.2355,66.8181,4464.6596,14928.0
L,6395,6515,6476,6555,6446,6579,6508,6462,6587,6660,6513,6588,6394,6422,6449,6511,6564,6542,6491,6461,6553,6552,6548,6606,6621,6479,6504,6470,6431,6513,6486,6582,6597,6572,6473,6442,6527,6546,6472,6477,6399,6395,6546,6641,6555,6483,6452,6497,6447,6565,6394,6660,6510.0,5.4385,66.04,4361.2853,13020.0
