letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,37180.0,37346.0,37182.0,37264.0,37506.0,37582.0,37166.0,37142.0,37018.0,37304.0,37316.0,37360.0,37442.0,37418.0,36528.0,36948.0,37486.0,37216.0,36818.0,37060.0,37380.0,37392.0,37210.0,37368.0,37250.0,37136.0,37506.0,37064.0,37068.0,37256.0,37068.0,37224.0,37128.0,37274.0,37402.0,37026.0,37262.0,37010.0,37150.0,37160.0,37012.0,37720.0,37040.0,37698.0,37214.0,37120.0,36940.0,37380.0,37116.0,37240.0,36528.0,37720.0,37221.0,15.5465,215.3876,46391.8302
S,19130.0,19164.0,19146.0,19250.0,19090.0,19284.0,19106.0,19334.0,19336.0,19152.0,19192.0,19086.0,19056.0,19132.0,19350.0,18990.0,18942.0,18938.0,19214.0,18820.0,19192.0,18972.0,19152.0,19406.0,19170.0,19080.0,18886.0,19032.0,19278.0,19116.0,19056.0,19320.0,19452.0,18890.0,19210.0,18942.0,19050.0,19134.0,18996.0,19290.0,18900.0,18918.0,18972.0,19240.0,19074.0,19080.0,19180.0,19128.0,19208.0,19112.0,18820.0,19452.0,19122.0,7.9869,144.5066,20882.1616
A,17100.0,17176.0,17116.0,17262.0,17182.0,17144.0,17062.0,16956.0,17114.0,17184.0,17266.0,17192.0,17342.0,17294.0,17178.0,17094.0,17180.0,17146.0,16934.0,17040.0,17106.0,17156.0,17054.0,17152.0,17136.0,17042.0,17164.0,16906.0,17238.0,17180.0,17320.0,17258.0,17104.0,17274.0,16988.0,17192.0,17076.0,17190.0,16788.0,17202.0,17090.0,17090.0,17342.0,17074.0,17360.0,17060.0,17188.0,17322.0,17388.0,17270.0,16788.0,17388.0,17153.0,7.1645,121.5559,14775.8433
N,17136.0,16970.0,17054.0,17134.0,17078.0,17142.0,17176.0,17236.0,17270.0,17074.0,16946.0,17114.0,17110.0,17312.0,16880.0,16854.0,17208.0,16922.0,17106.0,17086.0,17118.0,17022.0,17170.0,16930.0,17232.0,17018.0,16932.0,17136.0,17126.0,17198.0,17064.0,17102.0,17080.0,16990.0,17132.0,16750.0,17220.0,17080.0,17354.0,17120.0,17136.0,17318.0,17020.0,17212.0,17088.0,17172.0,17044.0,17338.0,17004.0,17124.0,16750.0,17354.0,17100.0,7.1423,124.773,15568.3086
T,16642.0,16574.0,16538.0,16566.0,16724.0,16560.0,16432.0,16622.0,16754.0,16492.0,16666.0,16660.0,16622.0,16556.0,16472.0,16490.0,16598.0,16450.0,16542.0,16688.0,16590.0,16690.0,16736.0,16664.0,16486.0,16570.0,16582.0,16686.0,16590.0,16518.0,16620.0,16864.0,16522.0,16640.0,16700.0,16744.0,16748.0,16624.0,16538.0,16540.0,16750.0,16598.0,16454.0,16748.0,16670.0,16746.0,16504.0,16554.0,16418.0,16580.0,16418.0,16864.0,16606.0,6.936,100.3433,10068.782
I,16114.0,15922.0,15932.0,16180.0,16128.0,16180.0,15976.0,16164.0,16288.0,16382.0,16376.0,16142.0,16010.0,16070.0,16238.0,16146.0,16192.0,16092.0,16210.0,16210.0,16404.0,16376.0,16058.0,16112.0,16166.0,16168.0,16380.0,16292.0,16254.0,15970.0,16112.0,16276.0,16156.0,15930.0,16184.0,15988.0,16300.0,16076.0,16182.0,16094.0,16264.0,15928.0,16044.0,16044.0,16006.0,16188.0,16094.0,15980.0,16078.0,16294.0,15922.0,16404.0,16147.0,6.7443,130.5988,17056.0408
R,16332.0,16020.0,15802.0,16092.0,15902.0,16166.0,15970.0,16258.0,16260.0,16160.0,16140.0,16214.0,16246.0,16088.0,16136.0,15956.0,15994.0,16198.0,16050.0,16222.0,15998.0,15960.0,16076.0,16154.0,15960.0,15952.0,16062.0,16126.0,16224.0,16072.0,15892.0,16076.0,15896.0,16170.0,16214.0,16158.0,15972.0,15882.0,16208.0,16030.0,16142.0,16052.0,15946.0,16044.0,15868.0,16276.0,16218.0,16128.0,16102.0,15956.0,15802.0,16332.0,16080.0,6.7163,125.5564,15764.4082
U,15054.0,15058.0,15118.0,15080.0,15266.0,15120.0,14948.0,15284.0,15004.0,15002.0,14968.0,15070.0,15120.0,15168.0,14896.0,14968.0,15122.0,15058.0,15132.0,15192.0,15046.0,15060.0,15174.0,14708.0,15286.0,15100.0,15072.0,15122.0,15052.0,15212.0,15106.0,15074.0,14856.0,15246.0,15038.0,14994.0,15200.0,15012.0,15006.0,15106.0,15008.0,14948.0,15024.0,15264.0,15212.0,15102.0,15218.0,15180.0,15010.0,15140.0,14708.0,15286.0,15084.0,6.3003,113.7695,12943.5037
O,14860.0,14932.0,14856.0,14986.0,14810.0,15010.0,15114.0,14860.0,15140.0,14980.0,15010.0,14848.0,15066.0,14792.0,15166.0,15016.0,15018.0,14920.0,14614.0,14998.0,14706.0,14934.0,14872.0,14726.0,15160.0,15012.0,15042.0,14982.0,15076.0,14882.0,14930.0,14876.0,15026.0,14948.0,14822.0,14762.0,14898.0,14954.0,15054.0,14986.0,14978.0,15036.0,15032.0,14604.0,14894.0,14900.0,15100.0,14672.0,14814.0,14782.0,14604.0,15166.0,14929.0,6.2355,133.6362,17858.6384
L,12790.0,13030.0,12952.0,13110.0,12892.0,13158.0,13016.0,12924.0,13174.0,13320.0,13026.0,13176.0,12788.0,12844.0,12898.0,13022.0,13128.0,13084.0,12982.0,12922.0,13106.0,13104.0,13096.0,13212.0,13242.0,12958.0,13008.0,12940.0,12862.0,13026.0,12972.0,13164.0,13194.0,13144.0,12946.0,12884.0,13054.0,13092.0,12944.0,12954.0,12798.0,12790.0,13092.0,13282.0,13110.0,12966.0,12904.0,12994.0,12894.0,13130.0,12788.0,13320.0,13021.0,5.4386,132.0801,17445.1412
