letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,26,26,26,26,28,27,27,26,27,28,28,26,27,29,25,28,26,26,27,28,26,25,25,25,26,28,28,26,26,27,27,28,26,27,27,26,28,26,26,27,27,26,26,27,26,26,27,27,28,26,25,29,26.0,4.6763,0.9607,0.9229,19776.0
N,26,26,26,25,24,25,25,23,27,23,28,23,26,27,27,25,23,25,26,27,24,26,25,27,26,27,24,23,26,25,24,25,25,28,27,25,25,26,27,24,26,26,25,27,26,26,25,26,24,26,23,28,25.0,4.4964,1.3126,1.7229,13983.0
R,24,23,23,23,24,25,23,24,26,24,23,24,22,24,25,25,26,25,24,22,24,27,23,25,27,24,23,23,23,24,24,24,24,24,26,26,24,24,24,23,23,23,25,26,24,24,25,25,26,25,22,27,24.0,4.3165,1.183,1.3996,9887.0
I,25,26,25,24,26,24,26,25,26,24,24,26,26,23,23,23,25,26,24,23,23,21,26,23,24,26,25,24,25,26,24,27,25,25,25,28,23,22,23,24,26,24,25,25,24,24,23,26,23,26,21,28,24.0,4.3165,1.3864,1.922,9887.0
S,25,22,25,24,24,25,23,23,23,25,23,23,25,22,24,24,25,26,25,25,24,22,24,25,25,25,25,23,24,25,26,26,24,25,23,26,23,24,23,24,23,24,24,23,25,23,23,23,25,23,22,26,24.0,4.3165,1.0956,1.2004,9887.0
H,21,23,25,24,23,24,24,27,24,25,24,25,24,24,24,24,25,25,24,24,22,24,24,25,24,23,24,26,23,23,24,25,23,21,24,23,25,22,23,21,25,25,22,24,23,23,24,24,23,24,21,27,23.0,4.1367,1.2002,1.4404,6991.0
T,23,23,22,24,23,23,23,24,25,24,23,24,24,23,25,24,22,24,23,25,24,24,24,23,21,24,23,24,22,24,24,24,24,26,25,23,24,24,24,23,24,24,23,25,24,23,23,22,27,22,21,27,23.0,4.1367,1.0645,1.1331,6991.0
A,24,24,25,24,22,24,24,22,24,25,24,25,25,25,24,22,25,23,25,21,24,22,24,24,23,23,23,24,26,23,24,22,21,24,23,25,23,21,23,23,24,24,23,23,24,22,23,23,24,24,21,26,23.0,4.1367,1.1471,1.3159,6991.0
L,22,24,24,23,24,21,24,21,22,25,24,23,22,23,22,22,24,21,22,22,22,22,24,23,23,23,23,21,22,22,23,22,23,23,22,22,25,24,22,22,24,22,24,22,23,22,20,22,22,25,20,25,22.0,3.9568,1.1328,1.2833,4943.0
U,22,23,24,22,24,23,24,22,22,23,22,23,22,24,21,22,23,20,22,22,22,22,25,22,21,22,23,22,23,22,23,21,23,20,24,23,20,23,22,24,24,24,20,21,22,22,21,23,22,23,20,25,22.0,3.9568,1.1761,1.3833,4943.0
D,22,23,24,23,22,24,23,22,22,22,23,22,24,24,23,25,23,23,22,23,24,23,22,24,24,22,23,22,25,24,23,22,23,23,20,22,22,23,22,24,21,23,22,23,23,22,22,21,24,22,20,25,22.0,3.9568,1.016,1.0322,4943.0
M,20,19,24,22,21,21,23,22,22,22,22,23,21,21,23,21,21,23,21,22,25,21,22,21,23,23,20,21,22,23,21,21,23,21,23,23,20,22,21,22,20,21,20,23,26,24,23,20,20,19,19,26,21.0,3.777,1.4507,2.1045,3495.0
C,22,21,20,22,22,19,21,22,20,22,22,22,22,22,24,21,25,23,21,22,23,21,22,23,20,22,20,24,21,23,20,21,25,22,21,22,22,21,24,23,24,20,23,21,23,20,22,22,22,22,19,25,21.0,3.777,1.3346,1.7812,3495.0
G,20,22,22,20,23,22,22,22,23,19,21,23,22,22,23,22,21,24,23,21,21,23,21,23,19,21,21,22,21,20,24,22,23,22,22,21,24,22,21,24,22,20,23,22,22,23,24,22,22,19,19,24,21.0,3.777,1.2938,1.6739,3495.0
O,22,19,21,23,21,22,24,21,22,22,20,21,20,24,23,22,21,22,20,21,22,24,21,21,22,19,21,20,22,22,20,24,19,22,20,23,25,23,21,21,21,22,23,20,23,19,20,22,21,22,19,25,21.0,3.777,1.432,2.0506,3495.0
W,23,20,20,20,21,19,20,19,21,22,22,20,21,23,21,21,20,21,21,20,20,21,20,21,20,21,23,21,19,20,19,19,20,22,21,19,21,21,22,19,19,20,20,20,22,20,21,20,20,21,19,23,20.0,3.5971,1.073,1.1514,2471.0
B,22,23,21,21,21,20,20,21,20,19,22,19,20,19,20,20,19,21,21,22,22,21,21,20,19,23,19,22,20,22,22,21,20,19,20,18,21,19,23,20,21,22,20,22,20,20,22,21,23,19,18,23,20.0,3.5971,1.2715,1.6167,2471.0
F,19,20,19,19,21,18,19,20,20,19,20,19,19,19,19,20,19,20,20,20,18,22,21,18,20,18,19,19,18,20,21,18,18,19,19,18,22,17,19,18,19,20,20,19,21,20,20,21,18,21,17,22,19.0,3.4173,1.1249,1.2653,1747.0
K,20,20,18,19,19,20,18,18,17,19,19,17,19,21,16,18,18,21,19,20,20,20,18,18,19,19,21,18,18,20,19,18,19,20,17,19,20,20,18,19,17,20,21,18,20,20,19,18,19,18,16,21,18.0,3.2374,1.1753,1.3812,1235.0
Z,17,17,21,19,19,17,17,18,20,18,18,19,18,19,18,19,20,17,18,17,20,18,19,18,20,21,19,21,19,19,19,19,18,19,20,19,19,21,18,19,17,21,20,20,20,18,19,18,19,19,17,21,18.0,3.2374,1.1669,1.3616,1235.0
