letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,19776.0,19776.0,19776.0,19776.0,39553.0,27968.0,27968.0,19776.0,27968.0,39553.0,39553.0,19776.0,27968.0,55937.0,13983.0,39553.0,19776.0,19776.0,27968.0,39553.0,19776.0,13983.0,13983.0,13983.0,19776.0,39553.0,39553.0,19776.0,19776.0,27968.0,27968.0,39553.0,19776.0,27968.0,27968.0,19776.0,39553.0,19776.0,19776.0,27968.0,27968.0,19776.0,19776.0,27968.0,19776.0,19776.0,27968.0,27968.0,39553.0,19776.0,13983.0,55937.0,26284.0,15.741,9229.8979,85191014.4249
N,19776.0,19776.0,19776.0,13983.0,9887.0,13983.0,13983.0,6991.0,27968.0,6991.0,39553.0,6991.0,19776.0,27968.0,27968.0,13983.0,6991.0,13983.0,19776.0,27968.0,9887.0,19776.0,13983.0,27968.0,19776.0,27968.0,9887.0,6991.0,19776.0,13983.0,9887.0,13983.0,13983.0,39553.0,27968.0,13983.0,13983.0,19776.0,27968.0,9887.0,19776.0,19776.0,13983.0,27968.0,19776.0,19776.0,13983.0,19776.0,9887.0,19776.0,6991.0,39553.0,18070.0,10.8218,7929.6206,62878883.3894
I,13983.0,19776.0,13983.0,9887.0,19776.0,9887.0,19776.0,13983.0,19776.0,9887.0,9887.0,19776.0,19776.0,6991.0,6991.0,6991.0,13983.0,19776.0,9887.0,6991.0,6991.0,3495.0,19776.0,6991.0,9887.0,19776.0,13983.0,9887.0,13983.0,19776.0,9887.0,27968.0,13983.0,13983.0,13983.0,39553.0,6991.0,4943.0,6991.0,9887.0,19776.0,9887.0,13983.0,13983.0,9887.0,9887.0,6991.0,19776.0,6991.0,19776.0,3495.0,39553.0,13508.0,8.0897,6633.756,44006718.0424
R,9887.0,6991.0,6991.0,6991.0,9887.0,13983.0,6991.0,9887.0,19776.0,9887.0,6991.0,9887.0,4943.0,9887.0,13983.0,13983.0,19776.0,13983.0,9887.0,4943.0,9887.0,27968.0,6991.0,13983.0,27968.0,9887.0,6991.0,6991.0,6991.0,9887.0,9887.0,9887.0,9887.0,9887.0,19776.0,19776.0,9887.0,9887.0,9887.0,6991.0,6991.0,6991.0,13983.0,19776.0,9887.0,9887.0,13983.0,13983.0,19776.0,13983.0,4943.0,27968.0,11641.0,6.9716,5320.7834,28310736.4898
S,13983.0,4943.0,13983.0,9887.0,9887.0,13983.0,6991.0,6991.0,6991.0,13983.0,6991.0,6991.0,13983.0,4943.0,9887.0,9887.0,13983.0,19776.0,13983.0,13983.0,9887.0,4943.0,9887.0,13983.0,13983.0,13983.0,13983.0,6991.0,9887.0,13983.0,19776.0,19776.0,9887.0,13983.0,6991.0,19776.0,6991.0,9887.0,6991.0,9887.0,6991.0,9887.0,9887.0,6991.0,13983.0,6991.0,6991.0,6991.0,13983.0,6991.0,4943.0,19776.0,10823.0,6.4817,4078.0501,16630492.6531
H,3495.0,6991.0,13983.0,9887.0,6991.0,9887.0,9887.0,27968.0,9887.0,13983.0,9887.0,13983.0,9887.0,9887.0,9887.0,9887.0,13983.0,13983.0,9887.0,9887.0,4943.0,9887.0,9887.0,13983.0,9887.0,6991.0,9887.0,19776.0,6991.0,6991.0,9887.0,13983.0,6991.0,3495.0,9887.0,6991.0,13983.0,4943.0,6991.0,3495.0,13983.0,13983.0,4943.0,9887.0,6991.0,6991.0,9887.0,9887.0,6991.0,9887.0,3495.0,27968.0,9948.0,5.9577,4238.9265,17968498.1812
T,6991.0,6991.0,4943.0,9887.0,6991.0,6991.0,6991.0,9887.0,13983.0,9887.0,6991.0,9887.0,9887.0,6991.0,13983.0,9887.0,4943.0,9887.0,6991.0,13983.0,9887.0,9887.0,9887.0,6991.0,3495.0,9887.0,6991.0,9887.0,4943.0,9887.0,9887.0,9887.0,9887.0,19776.0,13983.0,6991.0,9887.0,9887.0,9887.0,6991.0,9887.0,9887.0,6991.0,13983.0,9887.0,6991.0,6991.0,4943.0,27968.0,4943.0,3495.0,27968.0,9364.0,5.6079,3999.618,15996944.0392
A,9887.0,9887.0,13983.0,9887.0,4943.0,9887.0,9887.0,4943.0,9887.0,13983.0,9887.0,13983.0,13983.0,13983.0,9887.0,4943.0,13983.0,6991.0,13983.0,3495.0,9887.0,4943.0,9887.0,9887.0,6991.0,6991.0,6991.0,9887.0,19776.0,6991.0,9887.0,4943.0,3495.0,9887.0,6991.0,13983.0,6991.0,3495.0,6991.0,6991.0,9887.0,9887.0,6991.0,6991.0,9887.0,4943.0,6991.0,6991.0,9887.0,9887.0,3495.0,19776.0,9010.0,5.3959,3416.1899,11670353.7506
D,4943.0,6991.0,9887.0,6991.0,4943.0,9887.0,6991.0,4943.0,4943.0,4943.0,6991.0,4943.0,9887.0,9887.0,6991.0,13983.0,6991.0,6991.0,4943.0,6991.0,9887.0,6991.0,4943.0,9887.0,9887.0,4943.0,6991.0,4943.0,13983.0,9887.0,6991.0,4943.0,6991.0,6991.0,2471.0,4943.0,4943.0,6991.0,4943.0,9887.0,3495.0,6991.0,4943.0,6991.0,6991.0,4943.0,4943.0,3495.0,9887.0,4943.0,2471.0,13983.0,6882.0,4.1215,2480.2323,6151552.2351
L,4943.0,9887.0,9887.0,6991.0,9887.0,3495.0,9887.0,3495.0,4943.0,13983.0,9887.0,6991.0,4943.0,6991.0,4943.0,4943.0,9887.0,3495.0,4943.0,4943.0,4943.0,4943.0,9887.0,6991.0,6991.0,6991.0,6991.0,3495.0,4943.0,4943.0,6991.0,4943.0,6991.0,6991.0,4943.0,4943.0,13983.0,9887.0,4943.0,4943.0,9887.0,4943.0,9887.0,4943.0,6991.0,4943.0,2471.0,4943.0,4943.0,13983.0,2471.0,13983.0,6759.0,4.0478,2803.9736,7862267.8465
