letter,exp 1,minimum,maximum,average,average_percent,STD,VAR,estimate
E,28300,28300,28300,28300.0,16.6556,,,28300.0
N,17178,17178,17178,17178.0,10.1099,,,17178.0
I,13710,13710,13710,13710.0,8.0688,,,13710.0
S,12046,12046,12046,12046.0,7.0895,,,12046.0
R,11479,11479,11479,11479.0,6.7558,,,11479.0
H,10050,10050,10050,10050.0,5.9148,,,10050.0
T,9775,9775,9775,9775.0,5.7529,,,9775.0
A,8630,8630,8630,8630.0,5.0791,,,8630.0
D,7670,7670,7670,7670.0,4.5141,,,7670.0
L,6762,6762,6762,6762.0,3.9797,,,6762.0
U,6266,6266,6266,6266.0,3.6878,,,6266.0
G,5422,5422,5422,5422.0,3.191,,,5422.0
C,5209,5209,5209,5209.0,3.0657,,,5209.0
M,4916,4916,4916,4916.0,2.8932,,,4916.0
O,4429,4429,4429,4429.0,2.6066,,,4429.0
W,3254,3254,3254,3254.0,1.9151,,,3254.0
B,3086,3086,3086,3086.0,1.8162,,,3086.0
F,2220,2220,2220,2220.0,1.3066,,,2220.0
K,1999,1999,1999,1999.0,1.1765,,,1999.0
Z,1758,1758,1758,1758.0,1.0346,,,1758.0
V,1238,1238,1238,1238.0,0.7286,,,1238.0
Ü,1049,1049,1049,1049.0,0.6174,,,1049.0
Ä,999,999,999,999.0,0.5879,,,999.0
P,876,876,876,876.0,0.5156,,,876.0
Ö,822,822,822,822.0,0.4838,,,822.0
Y,517,517,517,517.0,0.3043,,,517.0
J,224,224,224,224.0,0.1318,,,224.0
X,18,18,18,18.0,0.0106,,,18.0
Q,11,11,11,11.0,0.0065,,,11.0
