letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,14166,14124,14313,14038,14131,14045,14267,14049,14131,14043,14101,14231,14126,14128,14159,14106,14081,14010,14029,14149,14257,14287,14161,14275,14092,14147,14176,14094,14089,14048,14290,14304,14211,13967,14177,14088,14120,14083,14079,14118,14192,14223,14220,14123,14148,14031,14219,14105,14114,14250,13967,14313,14142.0,16.6472,83.7884,7020.5,28284.0
N,8605,8558,8588,8639,8601,8446,8547,8670,8568,8504,8600,8553,8582,8579,8643,8687,8643,8572,8563,8598,8569,8519,8674,8717,8559,8719,8544,8556,8654,8592,8563,8518,8644,8585,8607,8583,8656,8465,8629,8497,8609,8601,8466,8584,8652,8602,8515,8643,8608,8476,8446,8719,8587.0,10.1082,62.6978,3931.0188,17174.0
I,6820,6826,6790,6831,6927,6922,6860,6890,6887,6806,6957,6905,6866,6829,6947,6909,6821,6883,6806,6855,6909,6918,6865,6894,6947,6889,6788,6947,6912,6801,6839,6906,6927,6862,6812,6889,6894,6912,6746,6719,6866,6847,6776,6812,6843,6865,6878,6783,6857,6773,6719,6957,6860.0,8.0752,56.0065,3136.7269,13720.0
S,6099,6084,6007,6043,6063,6016,6084,5994,5929,6014,6081,5954,5966,6064,6003,6035,6063,6000,5939,5965,6084,6019,6113,6116,6005,6080,5931,5994,6133,6012,6036,6163,6094,6144,6001,6085,6049,6065,6110,6089,5994,6058,6043,5999,6032,6003,6047,6065,5949,6121,5929,6163,6040.0,7.11,57.2081,3272.7678,12080.0
R,5756,5734,5759,5711,5766,5783,5775,5745,5741,5700,5683,5764,5706,5829,5721,5792,5791,5811,5751,5794,5711,5740,5687,5668,5759,5715,5791,5748,5679,5703,5791,5719,5757,5689,5687,5765,5828,5736,5671,5776,5760,5781,5808,5771,5755,5627,5740,5781,5714,5751,5627,5829,5744.0,6.7615,44.3649,1968.2449,11488.0
H,5054,4993,5054,5039,4968,5065,5024,4964,5015,5067,5061,4981,4989,4968,5072,5036,4991,5007,4965,4966,5080,5048,4994,5051,4953,4996,5004,5008,5006,5013,5009,5030,5030,4965,5065,5088,5085,5019,4952,5076,5111,5038,4993,5006,5023,4869,5009,4969,4969,5026,4869,5111,5015.0,5.9034,45.3089,2052.8996,10030.0
T,4908,4831,4812,4893,4849,4924,4761,4851,4834,4841,4953,4821,4838,4881,4912,4885,4862,4891,4952,4948,4861,4841,4796,4850,4860,4823,4804,4869,4921,4909,4880,4983,4912,4853,4929,4870,4862,4899,4840,4846,4864,4893,4906,4865,4864,4928,4854,4834,4872,4924,4761,4983,4873.0,5.7362,44.7107,1999.0486,9746.0
A,4258,4237,4309,4276,4361,4250,4305,4326,4420,4344,4315,4311,4308,4276,4395,4242,4320,4292,4266,4330,4286,4398,4324,4275,4302,4287,4320,4268,4286,4280,4323,4281,4258,4302,4214,4243,4294,4306,4262,4417,4285,4306,4282,4259,4394,4320,4336,4314,4354,4262,4214,4420,4303.0,5.0653,46.0608,2121.5955,8606.0
D,3695,3835,3792,3849,3804,3847,3773,3852,3802,3761,3780,3845,3833,3915,3791,3816,3840,3818,3907,3771,3802,3862,3841,3798,3868,3898,3803,3788,3762,3880,3823,3863,3831,3832,3932,3823,3870,3874,3835,3786,3850,3857,3835,3880,3814,3884,3823,3829,3846,3938,3695,3938,3833.0,4.512,46.4422,2156.8739,7666.0
L,3379,3388,3335,3293,3312,3414,3451,3346,3380,3293,3371,3416,3417,3355,3360,3308,3367,3429,3399,3405,3366,3392,3296,3347,3357,3474,3364,3378,3357,3361,3494,3394,3401,3398,3419,3429,3400,3451,3359,3407,3342,3457,3384,3450,3344,3421,3355,3411,3406,3346,3293,3494,3383.0,3.9823,45.905,2107.2718,6766.0
