letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,28332.0,28248.0,28626.0,28076.0,28262.0,28090.0,28534.0,28098.0,28262.0,28086.0,28202.0,28462.0,28252.0,28256.0,28318.0,28212.0,28162.0,28020.0,28058.0,28298.0,28514.0,28574.0,28322.0,28550.0,28184.0,28294.0,28352.0,28188.0,28178.0,28096.0,28580.0,28608.0,28422.0,27934.0,28354.0,28176.0,28240.0,28166.0,28158.0,28236.0,28384.0,28446.0,28440.0,28246.0,28296.0,28062.0,28438.0,28210.0,28228.0,28500.0,27934.0,28626.0,28284.0,16.6461,167.5768,28082.0
N,17210.0,17116.0,17176.0,17278.0,17202.0,16892.0,17094.0,17340.0,17136.0,17008.0,17200.0,17106.0,17164.0,17158.0,17286.0,17374.0,17286.0,17144.0,17126.0,17196.0,17138.0,17038.0,17348.0,17434.0,17118.0,17438.0,17088.0,17112.0,17308.0,17184.0,17126.0,17036.0,17288.0,17170.0,17214.0,17166.0,17312.0,16930.0,17258.0,16994.0,17218.0,17202.0,16932.0,17168.0,17304.0,17204.0,17030.0,17286.0,17216.0,16952.0,16892.0,17438.0,17174.0,10.1075,125.3957,15724.0751
I,13640.0,13652.0,13580.0,13662.0,13854.0,13844.0,13720.0,13780.0,13774.0,13612.0,13914.0,13810.0,13732.0,13658.0,13894.0,13818.0,13642.0,13766.0,13612.0,13710.0,13818.0,13836.0,13730.0,13788.0,13894.0,13778.0,13576.0,13894.0,13824.0,13602.0,13678.0,13812.0,13854.0,13724.0,13624.0,13778.0,13788.0,13824.0,13492.0,13438.0,13732.0,13694.0,13552.0,13624.0,13686.0,13730.0,13756.0,13566.0,13714.0,13546.0,13438.0,13914.0,13720.0,8.0747,112.013,12546.9078
S,12198.0,12168.0,12014.0,12086.0,12126.0,12032.0,12168.0,11988.0,11858.0,12028.0,12162.0,11908.0,11932.0,12128.0,12006.0,12070.0,12126.0,12000.0,11878.0,11930.0,12168.0,12038.0,12226.0,12232.0,12010.0,12160.0,11862.0,11988.0,12266.0,12024.0,12072.0,12326.0,12188.0,12288.0,12002.0,12170.0,12098.0,12130.0,12220.0,12178.0,11988.0,12116.0,12086.0,11998.0,12064.0,12006.0,12094.0,12130.0,11898.0,12242.0,11858.0,12326.0,12081.0,7.1101,114.4162,13091.071
R,11512.0,11468.0,11518.0,11422.0,11532.0,11566.0,11550.0,11490.0,11482.0,11400.0,11366.0,11528.0,11412.0,11658.0,11442.0,11584.0,11582.0,11622.0,11502.0,11588.0,11422.0,11480.0,11374.0,11336.0,11518.0,11430.0,11582.0,11496.0,11358.0,11406.0,11582.0,11438.0,11514.0,11378.0,11374.0,11530.0,11656.0,11472.0,11342.0,11552.0,11520.0,11562.0,11616.0,11542.0,11510.0,11254.0,11480.0,11562.0,11428.0,11502.0,11254.0,11658.0,11488.0,6.7611,88.7298,7872.9796
H,10108.0,9986.0,10108.0,10078.0,9936.0,10130.0,10048.0,9928.0,10030.0,10134.0,10122.0,9962.0,9978.0,9936.0,10144.0,10072.0,9982.0,10014.0,9930.0,9932.0,10160.0,10096.0,9988.0,10102.0,9906.0,9992.0,10008.0,10016.0,10012.0,10026.0,10018.0,10060.0,10060.0,9930.0,10130.0,10176.0,10170.0,10038.0,9904.0,10152.0,10222.0,10076.0,9986.0,10012.0,10046.0,9738.0,10018.0,9938.0,9938.0,10052.0,9738.0,10222.0,10030.0,5.903,90.6179,8211.5984
T,9816.0,9662.0,9624.0,9786.0,9698.0,9848.0,9522.0,9702.0,9668.0,9682.0,9906.0,9642.0,9676.0,9762.0,9824.0,9770.0,9724.0,9782.0,9904.0,9896.0,9722.0,9682.0,9592.0,9700.0,9720.0,9646.0,9608.0,9738.0,9842.0,9818.0,9760.0,9966.0,9824.0,9706.0,9858.0,9740.0,9724.0,9798.0,9680.0,9692.0,9728.0,9786.0,9812.0,9730.0,9728.0,9856.0,9708.0,9668.0,9744.0,9848.0,9522.0,9966.0,9746.0,5.7358,89.4214,7996.1943
A,8516.0,8474.0,8618.0,8552.0,8722.0,8500.0,8610.0,8652.0,8840.0,8688.0,8630.0,8622.0,8616.0,8552.0,8790.0,8484.0,8640.0,8584.0,8532.0,8660.0,8572.0,8796.0,8648.0,8550.0,8604.0,8574.0,8640.0,8536.0,8572.0,8560.0,8646.0,8562.0,8516.0,8604.0,8428.0,8486.0,8588.0,8612.0,8524.0,8834.0,8570.0,8612.0,8564.0,8518.0,8788.0,8640.0,8672.0,8628.0,8708.0,8524.0,8428.0,8840.0,8607.0,5.0655,92.1216,8486.382
D,7390.0,7670.0,7584.0,7698.0,7608.0,7694.0,7546.0,7704.0,7604.0,7522.0,7560.0,7690.0,7666.0,7830.0,7582.0,7632.0,7680.0,7636.0,7814.0,7542.0,7604.0,7724.0,7682.0,7596.0,7736.0,7796.0,7606.0,7576.0,7524.0,7760.0,7646.0,7726.0,7662.0,7664.0,7864.0,7646.0,7740.0,7748.0,7670.0,7572.0,7700.0,7714.0,7670.0,7760.0,7628.0,7768.0,7646.0,7658.0,7692.0,7876.0,7390.0,7876.0,7666.0,4.5117,92.8843,8627.4955
L,6758.0,6776.0,6670.0,6586.0,6624.0,6828.0,6902.0,6692.0,6760.0,6586.0,6742.0,6832.0,6834.0,6710.0,6720.0,6616.0,6734.0,6858.0,6798.0,6810.0,6732.0,6784.0,6592.0,6694.0,6714.0,6948.0,6728.0,6756.0,6714.0,6722.0,6988.0,6788.0,6802.0,6796.0,6838.0,6858.0,6800.0,6902.0,6718.0,6814.0,6684.0,6914.0,6768.0,6900.0,6688.0,6842.0,6710.0,6822.0,6812.0,6692.0,6586.0,6988.0,6767.0,3.9826,91.8101,8429.0873
