letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
T,23,24,24,21,23,24,23,22,22,24,24,25,23,22,23,25,23,22,23,23,23,22,24,20,22,23,24,22,23,23,23,25,25,24,24,24,23,24,24,23,22,22,23,22,23,24,26,24,21,22,20,26,23.0,4.8832,1.1608,1.3473,6991.0
E,24,26,26,25,24,22,24,23,25,24,22,24,24,24,23,24,23,25,24,22,24,25,23,23,26,23,24,24,24,22,23,23,24,24,23,23,24,22,26,22,23,23,24,22,23,23,24,24,24,24,22,26,23.0,4.8832,1.0774,1.1608,6991.0
O,23,24,23,22,25,23,22,23,21,23,20,23,22,22,22,23,21,25,23,26,21,22,24,23,22,23,21,23,24,22,22,22,24,22,23,21,26,24,24,25,24,22,24,23,21,22,23,22,20,21,20,26,22.0,4.6709,1.3856,1.92,4943.0
S,24,24,22,23,21,23,23,21,24,23,23,25,23,23,21,22,24,23,21,22,20,21,25,23,21,23,22,22,25,24,24,21,23,22,22,22,24,22,22,22,23,23,23,24,23,24,21,25,24,22,20,25,22.0,4.6709,1.2423,1.5433,4943.0
H,21,21,23,20,21,21,23,23,23,25,22,24,22,21,23,22,20,22,23,20,23,22,21,23,23,24,23,23,22,21,21,22,20,23,23,22,22,21,20,23,25,22,20,23,23,25,24,23,22,22,20,25,22.0,4.6709,1.3293,1.7669,4943.0
I,21,23,21,23,24,23,21,21,22,23,20,22,23,22,22,21,21,23,21,23,20,24,23,22,21,25,21,23,23,24,22,23,21,23,23,24,22,22,22,23,23,22,22,21,23,23,24,22,23,23,20,25,22.0,4.6709,1.1178,1.2494,4943.0
A,22,23,22,22,23,24,23,23,22,21,23,24,22,22,20,23,22,24,23,23,22,21,24,23,24,20,24,23,20,24,23,22,24,23,23,22,25,22,20,22,24,23,24,24,22,23,22,23,22,23,20,25,22.0,4.6709,1.1739,1.378,4943.0
R,22,22,25,21,22,23,24,22,23,23,20,22,25,21,22,21,22,22,23,23,21,23,22,22,22,22,21,22,21,21,24,22,21,24,22,24,23,22,21,22,23,24,22,20,21,21,20,21,20,21,20,25,22.0,4.6709,1.2357,1.5269,4943.0
N,19,21,22,25,22,21,24,21,23,22,22,20,22,23,21,21,21,22,22,20,23,25,22,23,22,22,20,21,23,23,22,23,21,23,20,22,25,23,24,23,22,23,21,21,19,23,22,20,22,21,19,25,21.0,4.4586,1.3991,1.9576,3495.0
U,22,22,21,21,21,21,22,20,21,22,21,20,21,21,18,21,21,20,24,20,22,20,22,22,21,22,21,21,22,22,20,21,21,21,26,22,22,20,21,22,21,22,20,22,20,21,20,22,20,18,18,26,21.0,4.4586,1.2618,1.5922,3495.0
D,21,20,22,20,21,19,20,22,20,20,18,18,23,20,19,21,20,21,21,20,21,22,18,22,21,21,20,20,20,21,20,20,19,23,19,20,21,19,20,22,21,21,21,22,20,20,19,19,23,22,18,23,20.0,4.2463,1.2488,1.5596,2471.0
L,20,21,23,22,19,21,20,20,21,21,20,19,19,21,21,22,22,21,19,19,18,20,19,20,22,23,21,22,22,21,22,20,20,21,20,21,20,22,20,21,19,23,20,23,23,20,20,19,20,22,18,23,20.0,4.2463,1.2817,1.6429,2471.0
Y,21,19,20,19,19,20,21,18,19,20,18,20,20,20,20,19,18,19,23,18,19,19,20,18,21,19,19,20,21,19,17,19,18,18,22,19,18,20,20,20,21,19,19,18,18,18,19,20,17,21,17,23,19.0,4.034,1.239,1.5351,1747.0
M,20,20,20,21,19,19,19,18,19,18,19,18,18,21,21,19,19,18,18,20,19,20,22,20,19,18,17,22,19,18,17,19,21,21,18,21,20,18,19,20,20,20,20,22,18,21,18,18,21,20,17,22,19.0,4.034,1.3093,1.7143,1747.0
C,21,21,20,19,21,19,18,21,19,20,19,20,21,18,19,18,19,20,19,20,18,17,20,21,21,22,19,21,19,22,18,19,21,20,20,19,19,18,21,20,21,18,19,18,20,20,21,18,20,19,17,22,19.0,4.034,1.2103,1.4649,1747.0
W,19,18,19,18,19,19,19,17,18,19,20,18,19,16,18,20,19,18,20,20,19,18,18,18,19,19,19,20,18,20,19,18,19,22,17,20,18,20,20,19,19,19,20,19,20,18,19,18,18,20,16,22,18.0,3.8217,1.0304,1.0616,1235.0
B,18,19,17,19,19,18,18,19,20,20,17,20,16,17,17,17,18,19,16,19,22,17,18,20,19,19,20,19,19,18,18,20,18,21,17,20,20,17,18,19,20,17,19,18,19,20,18,19,18,17,16,22,18.0,3.8217,1.2969,1.682,1235.0
F,16,17,18,19,19,18,17,19,19,18,20,19,18,16,18,18,18,17,18,18,20,18,19,19,17,19,17,20,19,18,16,20,18,19,19,19,18,17,19,21,19,18,21,18,18,20,20,18,19,19,16,21,18.0,3.8217,1.1634,1.3535,1235.0
P,18,18,17,18,18,17,16,17,15,16,18,17,18,17,17,17,16,17,20,19,19,18,17,18,17,19,18,18,18,18,18,16,17,18,19,18,20,19,17,17,20,16,18,17,18,17,17,16,17,18,15,20,17.0,3.6093,1.0897,1.1873,873.0
G,17,18,18,19,18,17,14,17,17,18,16,20,18,17,18,16,16,18,18,17,16,18,20,19,16,18,15,19,18,19,18,17,17,18,16,16,17,19,20,19,16,18,20,17,16,15,16,19,18,18,14,20,17.0,3.6093,1.3887,1.9286,873.0
K,15,14,18,17,16,18,14,17,16,16,15,14,16,15,15,13,18,16,17,18,17,16,18,16,15,14,16,16,14,15,14,16,18,17,16,16,15,16,15,17,16,17,15,15,17,17,17,18,18,18,13,18,16.0,3.397,1.3463,1.8127,617.0
V,15,17,15,17,16,18,16,17,19,17,15,15,17,14,16,16,16,17,15,19,16,17,18,17,18,19,17,17,17,17,17,18,17,17,14,20,20,19,17,15,16,15,16,17,16,16,15,15,17,19,14,20,16.0,3.397,1.4434,2.0833,617.0
Z,11,11,11,11,11,11,11,11,11,11,11,9,11,10,10,12,10,10,12,11,10,13,11,11,9,11,10,9,10,11,12,9,9,9,11,10,7,12,10,10,14,11,13,11,14,9,11,10,11,11,7,14,10.0,2.1231,1.2817,1.6429,76.0
X,9,11,10,11,8,9,10,10,7,9,9,11,11,12,13,8,10,11,11,10,9,10,10,10,8,9,11,12,9,8,8,9,9,11,10,9,10,10,13,11,8,10,9,10,9,10,10,12,11,10,7,13,9.0,1.9108,1.3132,1.7245,53.0
J,8,9,7,6,6,9,6,8,8,9,8,8,7,7,7,8,6,7,8,7,8,8,7,6,7,9,7,8,6,8,7,9,7,8,7,8,10,8,9,6,7,8,7,9,8,7,7,9,8,7,6,10,7.0,1.4862,0.9916,0.9833,26.0
Q,9,7,8,9,6,7,7,8,7,9,9,6,7,6,8,6,11,8,7,9,9,9,8,6,6,6,7,7,9,8,9,7,6,7,9,7,6,6,9,8,6,9,8,6,7,7,9,8,8,8,6,11,7.0,1.4862,1.2304,1.5139,26.0
Æ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.2123,0.0,0.0,2.0
