letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,9887.0,19776.0,19776.0,13983.0,9887.0,4943.0,9887.0,6991.0,13983.0,9887.0,4943.0,9887.0,9887.0,9887.0,6991.0,9887.0,6991.0,13983.0,9887.0,4943.0,9887.0,13983.0,6991.0,6991.0,19776.0,6991.0,9887.0,9887.0,9887.0,4943.0,6991.0,6991.0,9887.0,9887.0,6991.0,6991.0,9887.0,4943.0,19776.0,4943.0,6991.0,6991.0,9887.0,4943.0,6991.0,6991.0,9887.0,9887.0,9887.0,9887.0,4943.0,19776.0,9502.0,10.8239,3884.5941,15090071.5331
T,6991.0,9887.0,9887.0,3495.0,6991.0,9887.0,6991.0,4943.0,4943.0,9887.0,9887.0,13983.0,6991.0,4943.0,6991.0,13983.0,6991.0,4943.0,6991.0,6991.0,6991.0,4943.0,9887.0,2471.0,4943.0,6991.0,9887.0,4943.0,6991.0,6991.0,6991.0,13983.0,13983.0,9887.0,9887.0,9887.0,6991.0,9887.0,9887.0,6991.0,4943.0,4943.0,6991.0,4943.0,6991.0,9887.0,19776.0,9887.0,3495.0,4943.0,2471.0,19776.0,7936.0,9.0401,3266.3129,10668800.0004
O,6991.0,9887.0,6991.0,4943.0,13983.0,6991.0,4943.0,6991.0,3495.0,6991.0,2471.0,6991.0,4943.0,4943.0,4943.0,6991.0,3495.0,13983.0,6991.0,19776.0,3495.0,4943.0,9887.0,6991.0,4943.0,6991.0,3495.0,6991.0,9887.0,4943.0,4943.0,4943.0,9887.0,4943.0,6991.0,3495.0,19776.0,9887.0,9887.0,13983.0,9887.0,4943.0,9887.0,6991.0,3495.0,4943.0,6991.0,4943.0,2471.0,3495.0,2471.0,19776.0,7141.0,8.1345,3845.6769,14789231.0204
S,9887.0,9887.0,4943.0,6991.0,3495.0,6991.0,6991.0,3495.0,9887.0,6991.0,6991.0,13983.0,6991.0,6991.0,3495.0,4943.0,9887.0,6991.0,3495.0,4943.0,2471.0,3495.0,13983.0,6991.0,3495.0,6991.0,4943.0,4943.0,13983.0,9887.0,9887.0,3495.0,6991.0,4943.0,4943.0,4943.0,9887.0,4943.0,4943.0,4943.0,6991.0,6991.0,6991.0,9887.0,6991.0,9887.0,3495.0,13983.0,9887.0,4943.0,2471.0,13983.0,6988.0,7.9602,3023.5748,9142004.5322
A,4943.0,6991.0,4943.0,4943.0,6991.0,9887.0,6991.0,6991.0,4943.0,3495.0,6991.0,9887.0,4943.0,4943.0,2471.0,6991.0,4943.0,9887.0,6991.0,6991.0,4943.0,3495.0,9887.0,6991.0,9887.0,2471.0,9887.0,6991.0,2471.0,9887.0,6991.0,4943.0,9887.0,6991.0,6991.0,4943.0,13983.0,4943.0,2471.0,4943.0,9887.0,6991.0,9887.0,9887.0,4943.0,6991.0,4943.0,6991.0,4943.0,6991.0,2471.0,13983.0,6652.0,7.5774,2492.7702,6213903.0465
I,3495.0,6991.0,3495.0,6991.0,9887.0,6991.0,3495.0,3495.0,4943.0,6991.0,2471.0,4943.0,6991.0,4943.0,4943.0,3495.0,3495.0,6991.0,3495.0,6991.0,2471.0,9887.0,6991.0,4943.0,3495.0,13983.0,3495.0,6991.0,6991.0,9887.0,4943.0,6991.0,3495.0,6991.0,6991.0,9887.0,4943.0,4943.0,4943.0,6991.0,6991.0,4943.0,4943.0,3495.0,6991.0,6991.0,9887.0,4943.0,6991.0,6991.0,2471.0,13983.0,5979.0,6.8108,2326.6406,5413256.4898
H,3495.0,3495.0,6991.0,2471.0,3495.0,3495.0,6991.0,6991.0,6991.0,13983.0,4943.0,9887.0,4943.0,3495.0,6991.0,4943.0,2471.0,4943.0,6991.0,2471.0,6991.0,4943.0,3495.0,6991.0,6991.0,9887.0,6991.0,6991.0,4943.0,3495.0,3495.0,4943.0,2471.0,6991.0,6991.0,4943.0,4943.0,3495.0,2471.0,6991.0,13983.0,4943.0,2471.0,6991.0,6991.0,13983.0,9887.0,6991.0,4943.0,4943.0,2471.0,13983.0,5921.0,6.7447,2848.2017,8112252.8914
R,4943.0,4943.0,13983.0,3495.0,4943.0,6991.0,9887.0,4943.0,6991.0,6991.0,2471.0,4943.0,13983.0,3495.0,4943.0,3495.0,4943.0,4943.0,6991.0,6991.0,3495.0,6991.0,4943.0,4943.0,4943.0,4943.0,3495.0,4943.0,3495.0,3495.0,9887.0,4943.0,3495.0,9887.0,4943.0,9887.0,6991.0,4943.0,3495.0,4943.0,6991.0,9887.0,4943.0,2471.0,3495.0,3495.0,2471.0,3495.0,2471.0,3495.0,2471.0,13983.0,5552.0,6.3244,2681.5421,7190668.2514
N,1747.0,3495.0,4943.0,13983.0,4943.0,3495.0,9887.0,3495.0,6991.0,4943.0,4943.0,2471.0,4943.0,6991.0,3495.0,3495.0,3495.0,4943.0,4943.0,2471.0,6991.0,13983.0,4943.0,6991.0,4943.0,4943.0,2471.0,3495.0,6991.0,6991.0,4943.0,6991.0,3495.0,6991.0,2471.0,4943.0,13983.0,6991.0,9887.0,6991.0,4943.0,6991.0,3495.0,3495.0,1747.0,6991.0,4943.0,2471.0,4943.0,3495.0,1747.0,13983.0,5481.0,6.2435,2871.225,8243932.8914
U,4943.0,4943.0,3495.0,3495.0,3495.0,3495.0,4943.0,2471.0,3495.0,4943.0,3495.0,2471.0,3495.0,3495.0,1235.0,3495.0,3495.0,2471.0,9887.0,2471.0,4943.0,2471.0,4943.0,4943.0,3495.0,4943.0,3495.0,3495.0,4943.0,4943.0,2471.0,3495.0,3495.0,3495.0,19776.0,4943.0,4943.0,2471.0,3495.0,4943.0,3495.0,4943.0,2471.0,4943.0,2471.0,3495.0,2471.0,4943.0,2471.0,1235.0,1235.0,19776.0,4096.0,4.6658,2646.3566,7003203.2657
L,2471.0,3495.0,6991.0,4943.0,1747.0,3495.0,2471.0,2471.0,3495.0,3495.0,2471.0,1747.0,1747.0,3495.0,3495.0,4943.0,4943.0,3495.0,1747.0,1747.0,1235.0,2471.0,1747.0,2471.0,4943.0,6991.0,3495.0,4943.0,4943.0,3495.0,4943.0,2471.0,2471.0,3495.0,2471.0,3495.0,2471.0,4943.0,2471.0,3495.0,1747.0,6991.0,2471.0,6991.0,6991.0,2471.0,2471.0,1747.0,2471.0,4943.0,1235.0,6991.0,3473.0,3.9562,1598.7038,2555853.8514
D,3495.0,2471.0,4943.0,2471.0,3495.0,1747.0,2471.0,4943.0,2471.0,2471.0,1235.0,1235.0,6991.0,2471.0,1747.0,3495.0,2471.0,3495.0,3495.0,2471.0,3495.0,4943.0,1235.0,4943.0,3495.0,3495.0,2471.0,2471.0,2471.0,3495.0,2471.0,2471.0,1747.0,6991.0,1747.0,2471.0,3495.0,1747.0,2471.0,4943.0,3495.0,3495.0,3495.0,4943.0,2471.0,2471.0,1747.0,1747.0,6991.0,4943.0,1235.0,6991.0,3179.0,3.6213,1434.8953,2058924.4082
