letter,exp 1,minimum,maximum,average,average_percent,STD,VAR
E,9679,9679,9679,9679.0,11.0116,,
T,7845,7845,7845,7845.0,8.9251,,
A,7120,7120,7120,7120.0,8.1003,,
S,6969,6969,6969,6969.0,7.9285,,
O,6890,6890,6890,6890.0,7.8386,,
I,6057,6057,6057,6057.0,6.8909,,
R,5449,5449,5449,5449.0,6.1992,,
N,5406,5406,5406,5406.0,6.1503,,
H,5078,5078,5078,5078.0,5.7772,,
U,3999,3999,3999,3999.0,4.5496,,
L,3651,3651,3651,3651.0,4.1537,,
D,3346,3346,3346,3346.0,3.8067,,
C,2484,2484,2484,2484.0,2.826,,
M,2425,2425,2425,2425.0,2.7589,,
Y,2068,2068,2068,2068.0,2.3527,,
W,1972,1972,1972,1972.0,2.2435,,
F,1682,1682,1682,1682.0,1.9136,,
B,1610,1610,1610,1610.0,1.8317,,
G,1235,1235,1235,1235.0,1.405,,
P,1185,1185,1185,1185.0,1.3482,,
V,836,836,836,836.0,0.9511,,
K,662,662,662,662.0,0.7531,,
Z,105,105,105,105.0,0.1195,,
X,79,79,79,79.0,0.0899,,
J,35,35,35,35.0,0.0398,,
Q,30,30,30,30.0,0.0341,,
Æ,1,1,1,1.0,0.0011,,
