letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,4828,4840,4863,4877,4846,4790,4865,4890,4836,4842,4886,4837,4777,4785,4810,4875,4888,4880,4846,4809,4824,4788,4844,4843,4908,4806,4793,4866,4814,4805,4843,4848,4903,4793,4880,4834,4822,4855,4908,4816,4830,4829,4794,4878,4850,4763,4902,4831,4790,4821,4763,4908,4839.0,11.0188,37.1437,1379.6527,9678.0
T,3940,3937,3936,3915,3925,3844,3996,3949,3939,3956,3832,3899,3911,3923,3937,3785,3969,3946,3912,3955,3841,3942,3905,3872,3884,3999,3952,3956,3870,4007,3954,3940,4003,3916,3947,4015,4001,3965,3908,3957,3897,3898,3873,3868,3961,3974,3931,3965,3876,3956,3785,4015,3928.0,8.9443,48.601,2362.0527,7856.0
A,3649,3588,3658,3539,3560,3550,3606,3481,3467,3586,3557,3545,3467,3583,3522,3622,3582,3595,3457,3534,3510,3512,3559,3594,3470,3510,3541,3536,3532,3579,3498,3524,3618,3537,3544,3519,3510,3521,3566,3599,3543,3559,3536,3611,3549,3523,3631,3537,3600,3597,3457,3658,3552.0,8.0882,47.3626,2243.2167,7104.0
S,3415,3431,3450,3433,3540,3471,3445,3481,3523,3510,3537,3548,3530,3497,3513,3582,3480,3474,3496,3473,3527,3425,3459,3468,3462,3476,3441,3426,3487,3464,3446,3478,3480,3496,3432,3494,3435,3491,3449,3524,3430,3477,3471,3400,3514,3549,3478,3512,3490,3491,3400,3582,3480.0,7.9242,39.3579,1549.0404,6960.0
O,3465,3448,3456,3433,3433,3428,3456,3445,3468,3427,3498,3472,3385,3445,3468,3431,3414,3429,3528,3402,3442,3471,3365,3451,3384,3393,3434,3402,3471,3513,3439,3445,3436,3430,3396,3421,3450,3459,3436,3480,3461,3479,3454,3483,3542,3397,3452,3432,3461,3457,3365,3542,3445.0,7.8445,35.2319,1241.2902,6890.0
I,2992,3064,3028,2983,3012,3040,3020,3052,3062,3067,3070,3122,3051,3005,3029,3049,3048,3056,2987,2982,3007,3040,3014,2977,2966,3024,3028,3005,3100,3064,3008,3007,3043,3057,3024,3015,3076,3014,3033,3046,3034,2958,2987,3013,3031,2975,2964,3032,3046,3020,2958,3122,3026.0,6.8904,34.5999,1197.1514,6052.0
R,2745,2693,2777,2708,2784,2742,2692,2673,2714,2770,2724,2720,2717,2777,2648,2730,2703,2667,2762,2818,2691,2741,2723,2739,2730,2714,2829,2672,2663,2711,2728,2788,2769,2687,2678,2736,2742,2690,2702,2675,2689,2724,2765,2685,2698,2759,2778,2771,2727,2673,2648,2829,2724.0,6.2028,41.5042,1722.5996,5448.0
N,2715,2731,2761,2736,2674,2760,2677,2729,2710,2716,2740,2729,2694,2720,2754,2689,2734,2755,2710,2700,2727,2684,2645,2677,2708,2693,2669,2673,2706,2617,2719,2656,2667,2646,2750,2707,2705,2697,2727,2671,2687,2728,2715,2745,2714,2735,2683,2714,2703,2754,2617,2761,2707.0,6.164,32.4576,1053.4955,5414.0
H,2629,2536,2562,2572,2538,2505,2482,2474,2539,2502,2621,2554,2537,2532,2551,2551,2457,2464,2535,2561,2608,2504,2544,2490,2523,2589,2522,2601,2533,2529,2581,2553,2511,2522,2508,2542,2502,2504,2538,2502,2557,2517,2561,2607,2536,2552,2529,2568,2482,2544,2457,2629,2537.0,5.7769,38.7089,1498.3792,5074.0
U,2090,2053,2026,1960,2037,1996,1988,2048,1952,1988,1978,1987,1976,1974,1997,2008,1985,1982,2005,2032,1930,2022,1977,2038,2005,2001,2018,1991,1997,1999,2011,2015,2018,2006,2051,2022,2002,1955,2019,2031,1988,2002,2006,1980,1965,2020,1975,1963,2021,1999,1930,2090,2001.0,4.5564,29.4399,866.7057,4002.0
L,1864,1823,1761,1860,1805,1823,1815,1793,1826,1836,1807,1845,1831,1799,1805,1787,1798,1871,1808,1757,1811,1798,1836,1800,1784,1810,1801,1816,1869,1788,1879,1850,1882,1813,1775,1827,1839,1850,1806,1849,1797,1811,1844,1790,1797,1873,1850,1855,1877,1813,1757,1882,1822.0,4.1488,31.2559,976.9322,3644.0
D,1677,1706,1693,1682,1670,1626,1652,1669,1677,1676,1667,1693,1664,1673,1725,1647,1703,1646,1685,1638,1665,1668,1668,1694,1745,1648,1697,1620,1666,1650,1633,1651,1703,1652,1651,1643,1648,1667,1717,1676,1656,1650,1697,1721,1684,1680,1675,1657,1656,1664,1620,1745,1671.0,3.805,26.0675,679.5139,3342.0
C,1244,1254,1268,1201,1265,1210,1238,1235,1252,1226,1248,1241,1285,1225,1248,1293,1239,1230,1218,1252,1229,1236,1267,1221,1250,1270,1234,1259,1236,1264,1255,1244,1241,1232,1292,1250,1256,1216,1264,1274,1178,1229,1258,1247,1215,1214,1260,1278,1242,1239,1178,1293,1244.0,2.8327,22.9108,524.9045,2488.0
M,1171,1254,1235,1193,1247,1168,1205,1223,1190,1195,1238,1193,1233,1175,1258,1299,1231,1243,1243,1224,1193,1203,1185,1175,1215,1229,1238,1237,1168,1249,1172,1239,1234,1184,1211,1217,1169,1190,1214,1171,1221,1178,1193,1202,1178,1183,1212,1202,1220,1201,1168,1299,1210.0,2.7553,29.3699,862.5914,2420.0
Y,1035,999,1023,1022,1049,1041,1024,1052,1015,1016,1011,1036,1012,1026,1058,1024,1039,1047,1084,1032,1043,1014,1021,1050,1042,1029,1042,1075,1013,1012,1039,954,981,1013,1018,1047,1017,1014,1037,1059,1025,1035,1048,1005,1037,1041,1059,1011,1030,1026,954,1084,1029.0,2.3431,22.0748,487.2963,2058.0
W,990,992,983,1023,976,997,1004,989,998,1003,983,1000,1005,978,998,1000,1016,961,1017,1000,977,963,1002,982,1012,949,1003,1014,963,994,947,979,981,1006,1010,1034,948,970,1000,990,995,970,1029,977,994,988,1011,1017,989,998,947,1034,992.0,2.2589,20.0319,401.2755,1984.0
F,822,840,808,855,820,829,816,834,830,858,828,834,827,797,841,844,856,827,845,825,859,814,780,864,822,820,844,844,808,810,853,850,874,841,884,842,820,801,824,863,859,820,818,819,840,837,826,834,839,865,780,884,834.0,1.8991,20.6309,425.6327,1668.0
B,815,793,790,796,798,827,788,798,820,790,806,818,834,785,813,815,845,776,809,807,804,780,810,773,803,794,769,783,776,797,804,779,823,806,811,793,822,844,793,806,819,799,809,788,810,799,794,786,814,793,769,845,802.0,1.8262,17.1474,294.0343,1604.0
G,621,595,621,639,612,605,591,623,641,602,616,618,614,627,628,586,590,617,614,612,621,581,620,633,623,660,615,616,619,603,602,624,591,625,638,633,630,619,611,640,665,620,598,644,607,631,593,602,620,622,581,665,617.0,1.405,17.6545,311.68,1234.0
P,594,548,591,613,602,588,590,613,582,582,582,591,589,584,591,600,589,620,580,556,593,606,567,598,631,574,567,607,591,579,575,581,599,576,635,609,579,604,587,588,583,618,592,607,605,591,598,586,579,593,548,635,591.0,1.3458,16.8627,284.3514,1182.0
V,422,401,427,429,396,394,439,430,430,434,423,424,398,409,431,423,423,421,419,423,422,428,428,411,442,410,417,411,380,409,405,418,425,410,403,383,406,407,407,401,399,419,415,402,434,418,406,416,414,379,379,442,414.0,0.9427,14.4011,207.3914,828.0
K,317,336,338,353,315,332,309,311,328,329,337,315,345,338,327,339,315,339,345,321,322,320,330,312,328,333,320,332,355,340,329,320,310,337,338,332,306,327,341,359,334,320,323,325,321,324,322,342,323,319,306,359,328.0,0.7469,12.1128,146.7188,656.0
Z,60,60,58,55,53,52,53,50,56,45,59,52,54,53,51,54,61,50,56,55,53,50,55,48,56,45,50,58,53,53,54,60,53,53,55,59,51,49,47,47,58,49,53,58,45,57,53,50,62,64,45,64,53.0,0.1207,4.5142,20.3776,106.0
X,41,28,37,43,42,35,40,36,41,34,45,32,40,42,36,36,40,39,42,48,40,49,42,44,35,36,38,37,36,37,40,53,42,45,38,36,47,36,40,36,45,38,39,44,36,31,39,37,36,35,28,53,39.0,0.0888,4.708,22.1649,78.0
J,24,19,20,13,20,15,18,19,13,23,15,16,17,15,18,19,16,18,19,16,19,15,25,15,16,14,19,19,19,15,20,13,19,21,13,18,16,19,21,19,22,19,18,14,17,15,22,19,16,16,13,25,17.0,0.0387,2.8788,8.2873,34.0
Q,13,14,15,19,15,20,16,14,13,14,14,12,14,10,16,18,20,17,18,18,12,15,16,16,13,17,10,17,17,17,14,14,10,17,15,15,16,13,14,14,10,15,14,16,13,12,16,9,15,17,9,20,14.0,0.0319,2.5498,6.5016,28.0
Æ,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0.0,0.0,0.4849,0.2351,0.0
