letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,9656.0,9680.0,9726.0,9754.0,9692.0,9580.0,9730.0,9780.0,9672.0,9684.0,9772.0,9674.0,9554.0,9570.0,9620.0,9750.0,9776.0,9760.0,9692.0,9618.0,9648.0,9576.0,9688.0,9686.0,9816.0,9612.0,9586.0,9732.0,9628.0,9610.0,9686.0,9696.0,9806.0,9586.0,9760.0,9668.0,9644.0,9710.0,9816.0,9632.0,9660.0,9658.0,9588.0,9756.0,9700.0,9526.0,9804.0,9662.0,9580.0,9642.0,9526.0,9816.0,9678.0,11.0173,74.2874,5518.6106
T,7880.0,7874.0,7872.0,7830.0,7850.0,7688.0,7992.0,7898.0,7878.0,7912.0,7664.0,7798.0,7822.0,7846.0,7874.0,7570.0,7938.0,7892.0,7824.0,7910.0,7682.0,7884.0,7810.0,7744.0,7768.0,7998.0,7904.0,7912.0,7740.0,8014.0,7908.0,7880.0,8006.0,7832.0,7894.0,8030.0,8002.0,7930.0,7816.0,7914.0,7794.0,7796.0,7746.0,7736.0,7922.0,7948.0,7862.0,7930.0,7752.0,7912.0,7570.0,8030.0,7857.0,8.9443,97.2019,9448.2106
A,7298.0,7176.0,7316.0,7078.0,7120.0,7100.0,7212.0,6962.0,6934.0,7172.0,7114.0,7090.0,6934.0,7166.0,7044.0,7244.0,7164.0,7190.0,6914.0,7068.0,7020.0,7024.0,7118.0,7188.0,6940.0,7020.0,7082.0,7072.0,7064.0,7158.0,6996.0,7048.0,7236.0,7074.0,7088.0,7038.0,7020.0,7042.0,7132.0,7198.0,7086.0,7118.0,7072.0,7222.0,7098.0,7046.0,7262.0,7074.0,7200.0,7194.0,6914.0,7316.0,7104.0,8.0871,94.7252,8972.8669
S,6830.0,6862.0,6900.0,6866.0,7080.0,6942.0,6890.0,6962.0,7046.0,7020.0,7074.0,7096.0,7060.0,6994.0,7026.0,7164.0,6960.0,6948.0,6992.0,6946.0,7054.0,6850.0,6918.0,6936.0,6924.0,6952.0,6882.0,6852.0,6974.0,6928.0,6892.0,6956.0,6960.0,6992.0,6864.0,6988.0,6870.0,6982.0,6898.0,7048.0,6860.0,6954.0,6942.0,6800.0,7028.0,7098.0,6956.0,7024.0,6980.0,6982.0,6800.0,7164.0,6960.0,7.9231,78.7157,6196.1616
O,6930.0,6896.0,6912.0,6866.0,6866.0,6856.0,6912.0,6890.0,6936.0,6854.0,6996.0,6944.0,6770.0,6890.0,6936.0,6862.0,6828.0,6858.0,7056.0,6804.0,6884.0,6942.0,6730.0,6902.0,6768.0,6786.0,6868.0,6804.0,6942.0,7026.0,6878.0,6890.0,6872.0,6860.0,6792.0,6842.0,6900.0,6918.0,6872.0,6960.0,6922.0,6958.0,6908.0,6966.0,7084.0,6794.0,6904.0,6864.0,6922.0,6914.0,6730.0,7084.0,6890.0,7.8434,70.4639,4965.1608
I,5984.0,6128.0,6056.0,5966.0,6024.0,6080.0,6040.0,6104.0,6124.0,6134.0,6140.0,6244.0,6102.0,6010.0,6058.0,6098.0,6096.0,6112.0,5974.0,5964.0,6014.0,6080.0,6028.0,5954.0,5932.0,6048.0,6056.0,6010.0,6200.0,6128.0,6016.0,6014.0,6086.0,6114.0,6048.0,6030.0,6152.0,6028.0,6066.0,6092.0,6068.0,5916.0,5974.0,6026.0,6062.0,5950.0,5928.0,6064.0,6092.0,6040.0,5916.0,6244.0,6053.0,6.8906,69.1998,4788.6057
R,5490.0,5386.0,5554.0,5416.0,5568.0,5484.0,5384.0,5346.0,5428.0,5540.0,5448.0,5440.0,5434.0,5554.0,5296.0,5460.0,5406.0,5334.0,5524.0,5636.0,5382.0,5482.0,5446.0,5478.0,5460.0,5428.0,5658.0,5344.0,5326.0,5422.0,5456.0,5576.0,5538.0,5374.0,5356.0,5472.0,5484.0,5380.0,5404.0,5350.0,5378.0,5448.0,5530.0,5370.0,5396.0,5518.0,5556.0,5542.0,5454.0,5346.0,5296.0,5658.0,5449.0,6.203,83.0084,6890.3984
N,5430.0,5462.0,5522.0,5472.0,5348.0,5520.0,5354.0,5458.0,5420.0,5432.0,5480.0,5458.0,5388.0,5440.0,5508.0,5378.0,5468.0,5510.0,5420.0,5400.0,5454.0,5368.0,5290.0,5354.0,5416.0,5386.0,5338.0,5346.0,5412.0,5234.0,5438.0,5312.0,5334.0,5292.0,5500.0,5414.0,5410.0,5394.0,5454.0,5342.0,5374.0,5456.0,5430.0,5490.0,5428.0,5470.0,5366.0,5428.0,5406.0,5508.0,5234.0,5522.0,5414.0,6.1632,64.9152,4213.982
H,5258.0,5072.0,5124.0,5144.0,5076.0,5010.0,4964.0,4948.0,5078.0,5004.0,5242.0,5108.0,5074.0,5064.0,5102.0,5102.0,4914.0,4928.0,5070.0,5122.0,5216.0,5008.0,5088.0,4980.0,5046.0,5178.0,5044.0,5202.0,5066.0,5058.0,5162.0,5106.0,5022.0,5044.0,5016.0,5084.0,5004.0,5008.0,5076.0,5004.0,5114.0,5034.0,5122.0,5214.0,5072.0,5104.0,5058.0,5136.0,4964.0,5088.0,4914.0,5258.0,5074.0,5.7761,77.4178,5993.5167
U,4180.0,4106.0,4052.0,3920.0,4074.0,3992.0,3976.0,4096.0,3904.0,3976.0,3956.0,3974.0,3952.0,3948.0,3994.0,4016.0,3970.0,3964.0,4010.0,4064.0,3860.0,4044.0,3954.0,4076.0,4010.0,4002.0,4036.0,3982.0,3994.0,3998.0,4022.0,4030.0,4036.0,4012.0,4102.0,4044.0,4004.0,3910.0,4038.0,4062.0,3976.0,4004.0,4012.0,3960.0,3930.0,4040.0,3950.0,3926.0,4042.0,3998.0,3860.0,4180.0,4003.0,4.5569,58.8797,3466.8229
