letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,24,27,26,26,26,25,24,25,27,23,26,26,26,25,27,24,24,27,24,28,24,25,24,24,28,27,26,25,25,26,27,27,25,27,25,26,24,27,27,26,25,27,24,26,26,23,24,25,25,23,23,28,25.0,4.0388,1.328,1.7637,13983.0
S,24,23,23,22,23,24,25,23,24,23,24,25,27,24,24,24,24,27,22,25,26,24,25,25,26,23,24,23,25,23,25,27,25,23,25,25,24,26,25,25,23,25,24,22,24,25,22,24,26,24,22,27,24.0,3.8772,1.2747,1.6249,9887.0
U,23,23,23,23,25,24,23,23,23,24,23,23,24,23,24,25,24,22,22,23,25,24,23,21,23,24,25,24,25,22,23,21,22,23,23,22,23,25,23,25,23,22,23,22,21,24,22,24,23,23,21,25,23.0,3.7157,1.069,1.1429,6991.0
A,23,23,22,23,23,22,23,27,24,22,23,23,25,22,25,21,24,25,23,24,24,23,23,24,23,24,23,24,24,23,21,22,24,24,23,23,23,23,24,24,24,21,23,22,25,24,24,24,24,24,21,27,23.0,3.7157,1.1205,1.2555,6991.0
R,24,23,23,21,22,24,24,24,25,25,23,24,22,23,25,24,25,21,24,26,23,21,24,25,23,24,23,25,23,25,26,26,24,24,23,22,25,24,25,23,22,25,22,23,24,23,24,22,23,23,21,26,23.0,3.7157,1.276,1.6282,6991.0
T,25,23,24,21,25,23,24,26,24,25,24,23,23,24,23,24,23,23,24,23,25,23,25,23,24,25,22,22,23,23,23,22,23,24,22,24,25,24,23,25,25,22,23,25,23,25,22,23,24,25,21,26,23.0,3.7157,1.1045,1.22,6991.0
I,21,24,24,23,24,26,24,25,23,24,23,24,22,25,24,23,24,21,23,23,23,24,24,24,25,23,25,22,24,21,23,22,24,24,23,22,23,23,24,24,22,22,24,24,24,24,24,25,21,24,21,26,23.0,3.7157,1.1445,1.3098,6991.0
N,23,26,23,23,24,24,23,22,24,24,25,25,24,25,24,26,22,23,23,25,22,23,23,23,22,23,22,25,23,23,25,23,26,24,23,26,25,24,24,21,23,23,24,23,23,23,23,24,24,23,21,26,23.0,3.7157,1.1586,1.3424,6991.0
O,23,21,23,23,23,22,23,23,22,22,22,25,21,24,24,24,23,22,23,22,22,22,22,24,23,23,25,21,22,23,25,23,23,22,22,23,23,24,25,24,22,22,23,23,24,22,23,25,21,20,20,25,22.0,3.5541,1.1551,1.3343,4943.0
L,22,21,23,25,23,21,23,21,22,25,22,26,25,22,21,20,23,22,22,23,22,22,22,24,22,23,21,21,22,21,23,23,22,22,22,23,22,23,22,21,23,23,24,22,22,22,21,24,22,22,20,26,22.0,3.5541,1.2122,1.4694,4943.0
