letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,9887.0,27968.0,19776.0,19776.0,19776.0,13983.0,9887.0,13983.0,27968.0,6991.0,19776.0,19776.0,19776.0,13983.0,27968.0,9887.0,9887.0,27968.0,9887.0,39553.0,9887.0,13983.0,9887.0,9887.0,39553.0,27968.0,19776.0,13983.0,13983.0,19776.0,27968.0,27968.0,13983.0,27968.0,13983.0,19776.0,9887.0,27968.0,27968.0,19776.0,13983.0,27968.0,9887.0,19776.0,19776.0,6991.0,9887.0,13983.0,13983.0,6991.0,6991.0,39553.0,18152.0,14.1276,8236.1187,67833651.7833
S,9887.0,6991.0,6991.0,4943.0,6991.0,9887.0,13983.0,6991.0,9887.0,6991.0,9887.0,13983.0,27968.0,9887.0,9887.0,9887.0,9887.0,27968.0,4943.0,13983.0,19776.0,9887.0,13983.0,13983.0,19776.0,6991.0,9887.0,6991.0,13983.0,6991.0,13983.0,27968.0,13983.0,6991.0,13983.0,13983.0,9887.0,19776.0,13983.0,13983.0,6991.0,13983.0,9887.0,4943.0,9887.0,13983.0,4943.0,9887.0,19776.0,9887.0,4943.0,27968.0,11935.0,9.2889,5676.1492,32218669.8371
R,9887.0,6991.0,6991.0,3495.0,4943.0,9887.0,9887.0,9887.0,13983.0,13983.0,6991.0,9887.0,4943.0,6991.0,13983.0,9887.0,13983.0,3495.0,9887.0,19776.0,6991.0,3495.0,9887.0,13983.0,6991.0,9887.0,6991.0,13983.0,6991.0,13983.0,19776.0,19776.0,9887.0,9887.0,6991.0,4943.0,13983.0,9887.0,13983.0,6991.0,4943.0,13983.0,4943.0,6991.0,9887.0,6991.0,9887.0,4943.0,6991.0,6991.0,3495.0,19776.0,9511.0,7.4024,4142.2656,17158364.3678
N,6991.0,19776.0,6991.0,6991.0,9887.0,9887.0,6991.0,4943.0,9887.0,9887.0,13983.0,13983.0,9887.0,13983.0,9887.0,19776.0,4943.0,6991.0,6991.0,13983.0,4943.0,6991.0,6991.0,6991.0,4943.0,6991.0,4943.0,13983.0,6991.0,6991.0,13983.0,6991.0,19776.0,9887.0,6991.0,19776.0,13983.0,9887.0,9887.0,3495.0,6991.0,6991.0,9887.0,6991.0,6991.0,6991.0,6991.0,9887.0,9887.0,6991.0,3495.0,19776.0,9413.0,7.3261,4131.9375,17072907.6735
T,13983.0,6991.0,9887.0,3495.0,13983.0,6991.0,9887.0,19776.0,9887.0,13983.0,9887.0,6991.0,6991.0,9887.0,6991.0,9887.0,6991.0,6991.0,9887.0,6991.0,13983.0,6991.0,13983.0,6991.0,9887.0,13983.0,4943.0,4943.0,6991.0,6991.0,6991.0,4943.0,6991.0,9887.0,4943.0,9887.0,13983.0,9887.0,6991.0,13983.0,13983.0,4943.0,6991.0,13983.0,6991.0,13983.0,4943.0,6991.0,9887.0,13983.0,3495.0,19776.0,9304.0,7.2413,3558.8687,12665546.7759
I,3495.0,9887.0,9887.0,6991.0,9887.0,19776.0,9887.0,13983.0,6991.0,9887.0,6991.0,9887.0,4943.0,13983.0,9887.0,6991.0,9887.0,3495.0,6991.0,6991.0,6991.0,9887.0,9887.0,9887.0,13983.0,6991.0,13983.0,4943.0,9887.0,3495.0,6991.0,4943.0,9887.0,9887.0,6991.0,4943.0,6991.0,6991.0,9887.0,9887.0,4943.0,4943.0,9887.0,9887.0,9887.0,9887.0,9887.0,13983.0,3495.0,9887.0,3495.0,19776.0,8694.0,6.7665,3261.8096,10639402.051
A,6991.0,6991.0,4943.0,6991.0,6991.0,4943.0,6991.0,27968.0,9887.0,4943.0,6991.0,6991.0,13983.0,4943.0,13983.0,3495.0,9887.0,13983.0,6991.0,9887.0,9887.0,6991.0,6991.0,9887.0,6991.0,9887.0,6991.0,9887.0,9887.0,6991.0,3495.0,4943.0,9887.0,9887.0,6991.0,6991.0,6991.0,6991.0,9887.0,9887.0,9887.0,3495.0,6991.0,4943.0,13983.0,9887.0,9887.0,9887.0,9887.0,9887.0,3495.0,27968.0,8556.0,6.6591,3848.5962,14811692.6698
U,6991.0,6991.0,6991.0,6991.0,13983.0,9887.0,6991.0,6991.0,6991.0,9887.0,6991.0,6991.0,9887.0,6991.0,9887.0,13983.0,9887.0,4943.0,4943.0,6991.0,13983.0,9887.0,6991.0,3495.0,6991.0,9887.0,13983.0,9887.0,13983.0,4943.0,6991.0,3495.0,4943.0,6991.0,6991.0,4943.0,6991.0,13983.0,6991.0,13983.0,6991.0,4943.0,6991.0,4943.0,3495.0,9887.0,4943.0,9887.0,6991.0,6991.0,3495.0,13983.0,8011.0,6.2349,3010.9317,9065709.9494
O,6991.0,3495.0,6991.0,6991.0,6991.0,4943.0,6991.0,6991.0,4943.0,4943.0,4943.0,13983.0,3495.0,9887.0,9887.0,9887.0,6991.0,4943.0,6991.0,4943.0,4943.0,4943.0,4943.0,9887.0,6991.0,6991.0,13983.0,3495.0,4943.0,6991.0,13983.0,6991.0,6991.0,4943.0,4943.0,6991.0,6991.0,9887.0,13983.0,9887.0,4943.0,4943.0,6991.0,6991.0,9887.0,4943.0,6991.0,13983.0,3495.0,2471.0,2471.0,13983.0,7111.0,5.5345,2978.3543,8870594.5861
L,4943.0,3495.0,6991.0,13983.0,6991.0,3495.0,6991.0,3495.0,4943.0,13983.0,4943.0,19776.0,13983.0,4943.0,3495.0,2471.0,6991.0,4943.0,4943.0,6991.0,4943.0,4943.0,4943.0,9887.0,4943.0,6991.0,3495.0,3495.0,4943.0,3495.0,6991.0,6991.0,4943.0,4943.0,4943.0,6991.0,4943.0,6991.0,4943.0,3495.0,6991.0,6991.0,9887.0,4943.0,4943.0,4943.0,3495.0,9887.0,4943.0,4943.0,2471.0,19776.0,6260.0,4.8721,3279.7523,10756775.0208
