letter,exp 1,minimum,maximum,average,average_percent,STD,VAR
E,18365,18365,18365,18365.0,14.1477,,
S,12104,12104,12104,12104.0,9.3245,,
U,9497,9497,9497,9497.0,7.3161,,
A,9144,9144,9144,9144.0,7.0442,,
R,9030,9030,9030,9030.0,6.9564,,
N,9005,9005,9005,9005.0,6.9371,,
I,8997,8997,8997,8997.0,6.931,,
T,8937,8937,8937,8937.0,6.8847,,
O,7909,7909,7909,7909.0,6.0928,,
L,6020,6020,6020,6020.0,4.6376,,
C,4642,4642,4642,4642.0,3.576,,
D,3977,3977,3977,3977.0,3.0637,,
M,3924,3924,3924,3924.0,3.0229,,
P,3336,3336,3336,3336.0,2.5699,,
V,2429,2429,2429,2429.0,1.8712,,
É,2304,2304,2304,2304.0,1.7749,,
Q,1628,1628,1628,1628.0,1.2542,,
B,1401,1401,1401,1401.0,1.0793,,
F,1160,1160,1160,1160.0,0.8936,,
H,1020,1020,1020,1020.0,0.7858,,
G,951,951,951,951.0,0.7326,,
J,946,946,946,946.0,0.7288,,
À,648,648,648,648.0,0.4992,,
Z,512,512,512,512.0,0.3944,,
X,427,427,427,427.0,0.3289,,
È,376,376,376,376.0,0.2897,,
Y,362,362,362,362.0,0.2789,,
Ê,276,276,276,276.0,0.2126,,
Â,98,98,98,98.0,0.0755,,
Î,85,85,85,85.0,0.0655,,
Ç,54,54,54,54.0,0.0416,,
Ù,54,54,54,54.0,0.0416,,
Û,50,50,50,50.0,0.0385,,
Ô,49,49,49,49.0,0.0377,,
K,32,32,32,32.0,0.0247,,
W,20,20,20,20.0,0.0154,,
Ï,18,18,18,18.0,0.0139,,
Ë,15,15,15,15.0,0.0116,,
Æ,6,6,6,6.0,0.0046,,
Ü,1,1,1,1.0,0.0008,,
