letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,9150,9231,9216,9308,9167,9127,9116,9192,9210,9070,9260,9302,9168,9240,9073,9101,9272,9089,9215,9095,9129,9221,9141,9164,9154,9110,9260,9147,9127,9214,9151,9087,9227,9214,9227,9312,9098,9329,9123,9150,9203,9190,9217,9155,9303,9194,9197,9084,9159,9085,9070,9329,9179.0,14.1437,69.2332,4793.2343,18358.0
S,6153,6045,6141,6096,6078,6146,6098,6088,6069,6060,6048,6043,6058,6092,5998,5991,6017,5993,6076,6045,6004,6055,6160,6045,6043,6081,6099,5973,6061,6026,6092,6122,6093,6088,6041,6045,6099,6056,6146,6040,6060,6027,6027,6064,6042,6051,6000,6085,5931,5992,5931,6160,6059.0,9.3362,47.9692,2301.0453,12118.0
U,4792,4762,4667,4799,4812,4755,4836,4799,4816,4675,4765,4709,4763,4696,4717,4780,4792,4659,4752,4812,4827,4751,4808,4729,4814,4731,4834,4741,4705,4783,4742,4787,4715,4756,4702,4719,4748,4599,4771,4671,4729,4804,4759,4751,4792,4708,4779,4745,4748,4671,4599,4836,4751.0,7.3207,51.4219,2644.2127,9502.0
A,4608,4594,4567,4544,4576,4552,4560,4551,4501,4491,4521,4527,4601,4580,4579,4564,4471,4616,4601,4624,4560,4545,4544,4502,4545,4581,4617,4614,4556,4535,4596,4549,4596,4512,4535,4561,4569,4571,4564,4623,4558,4578,4560,4581,4519,4617,4512,4590,4456,4574,4456,4624,4560.0,7.0264,39.208,1537.2637,9120.0
R,4525,4532,4468,4538,4517,4534,4498,4575,4514,4530,4492,4475,4573,4486,4570,4431,4449,4476,4567,4597,4478,4466,4500,4456,4523,4467,4521,4523,4534,4550,4503,4567,4530,4496,4464,4488,4537,4569,4535,4498,4487,4377,4525,4522,4520,4590,4505,4521,4463,4541,4377,4597,4512.0,6.9524,42.9572,1845.3229,9024.0
N,4452,4548,4477,4567,4534,4589,4461,4446,4502,4451,4475,4563,4477,4545,4518,4471,4442,4463,4584,4474,4516,4504,4608,4447,4487,4549,4553,4558,4388,4408,4516,4464,4539,4581,4527,4471,4462,4523,4438,4549,4524,4470,4447,4536,4460,4489,4455,4498,4416,4510,4388,4608,4498.0,6.9309,50.837,2584.3984,8996.0
I,4464,4480,4501,4548,4484,4506,4523,4565,4509,4406,4423,4484,4450,4487,4490,4437,4465,4478,4582,4528,4487,4570,4532,4610,4485,4558,4489,4487,4586,4482,4497,4534,4475,4442,4425,4552,4461,4525,4509,4619,4483,4593,4392,4431,4530,4469,4459,4381,4529,4496,4381,4619,4497.0,6.9293,54.1129,2928.2024,8994.0
T,4438,4462,4431,4532,4500,4523,4428,4550,4444,4480,4449,4413,4505,4509,4366,4515,4435,4555,4512,4485,4560,4486,4479,4430,4484,4457,4442,4495,4521,4433,4561,4530,4454,4475,4321,4488,4464,4547,4467,4438,4410,4419,4457,4500,4452,4425,4445,4380,4479,4530,4321,4561,4471.0,6.8893,51.1569,2617.0322,8942.0
O,3975,3909,3992,3862,3949,3932,3967,3904,3903,3985,4013,3913,3934,3966,3947,3929,3962,3920,3889,3861,3936,3987,3980,3906,3914,3887,3953,3933,3961,3951,3925,4064,3907,4063,3989,3915,3998,4007,3996,3970,3944,3959,3982,3961,3979,4029,4029,4030,3988,3932,3861,4064,3955.0,6.0942,46.7755,2187.9514,7910.0
L,3048,3097,2977,3034,3022,3002,2978,2981,3051,2990,3002,2999,2960,3032,2947,2970,3013,3036,3016,3035,2992,3052,2952,3028,2976,2997,2928,3072,3002,2952,2992,3022,3044,3037,3039,3015,3000,2977,2958,3019,3022,3025,3010,2990,2967,2985,2937,2987,2980,3037,2928,3097,3003.0,4.6273,35.5536,1264.0588,6006.0
C,2324,2319,2261,2330,2335,2347,2339,2377,2321,2342,2367,2346,2343,2338,2406,2327,2296,2326,2353,2357,2351,2347,2334,2339,2290,2308,2305,2357,2321,2304,2293,2312,2322,2336,2318,2302,2343,2329,2370,2369,2323,2243,2325,2281,2310,2302,2328,2281,2333,2265,2243,2406,2325.0,3.5825,30.5996,936.3367,4650.0
D,1970,1999,2023,1977,1994,2029,1956,1934,1992,1980,2008,1995,1915,2014,1984,1980,1963,2047,1986,1969,1942,2014,1924,1959,2008,1942,2017,1979,1969,2001,1959,2042,2025,2025,2010,1981,2049,1973,1989,1994,1959,1977,2027,1964,2026,2000,1971,1958,1966,2058,1915,2058,1988.0,3.0633,32.7172,1070.4167,3976.0
M,1983,1974,1982,1980,1979,1962,1968,1969,1961,1978,1967,1900,1933,2010,1922,1981,2024,2026,1909,1998,1963,1981,1941,1937,1975,1946,2024,1986,1987,1991,2036,1972,2007,1933,1942,1962,1964,1973,1982,2027,1941,1917,1972,1959,1938,1962,1999,1966,1943,1980,1900,2036,1970.0,3.0355,30.6784,941.1657,3940.0
P,1687,1658,1637,1649,1691,1626,1711,1700,1662,1610,1698,1691,1656,1661,1704,1618,1673,1677,1693,1663,1643,1665,1650,1653,1674,1669,1651,1650,1705,1677,1653,1634,1687,1639,1700,1674,1684,1671,1695,1688,1668,1693,1600,1660,1660,1644,1665,1670,1693,1655,1600,1711,1666.0,2.5671,25.3621,643.2347,3332.0
V,1181,1194,1234,1231,1198,1266,1184,1227,1219,1164,1195,1192,1211,1249,1251,1209,1182,1235,1225,1189,1239,1245,1234,1224,1221,1189,1196,1226,1236,1208,1248,1188,1203,1229,1245,1214,1211,1225,1209,1243,1171,1189,1235,1224,1237,1202,1199,1280,1233,1225,1164,1280,1217.0,1.8753,24.9539,622.6955,2434.0
É,1224,1177,1189,1129,1123,1137,1156,1148,1121,1126,1170,1165,1175,1161,1167,1139,1140,1114,1185,1179,1142,1151,1164,1143,1149,1135,1124,1127,1197,1156,1174,1159,1185,1191,1177,1138,1173,1190,1158,1140,1113,1142,1177,1192,1173,1126,1166,1132,1115,1142,1113,1224,1155.0,1.7797,25.4977,650.1322,2310.0
Q,850,801,791,820,791,823,830,808,824,821,805,781,818,837,813,776,825,777,818,784,825,826,796,843,803,821,812,786,809,792,797,843,841,823,808,807,813,848,827,824,788,800,835,797,793,806,808,803,826,818,776,850,812.0,1.2512,18.7685,352.2567,1624.0
B,672,739,704,716,724,707,708,700,692,691,693,706,683,719,696,700,688,724,716,681,703,746,700,691,731,715,710,712,705,698,723,721,680,698,683,680,723,727,692,725,707,693,718,714,699,707,728,686,682,675,672,746,704.0,1.0848,17.3227,300.0771,1408.0
F,590,582,600,594,557,578,589,557,587,584,555,584,606,586,590,609,599,574,603,608,584,550,586,566,581,590,609,604,543,590,606,582,596,579,585,546,567,602,583,570,535,579,559,578,580,565,601,582,603,581,535,609,582.0,0.8968,18.2601,333.4302,1164.0
H,467,507,535,514,483,535,525,517,508,484,511,496,502,514,486,489,524,534,504,515,541,512,511,520,490,509,542,528,502,501,532,493,502,506,501,513,499,504,510,475,523,496,508,492,513,523,511,515,494,506,467,542,508.0,0.7828,16.4542,270.7412,1016.0
G,458,482,478,477,484,499,463,484,483,470,479,476,488,463,473,478,445,473,477,483,484,482,489,462,457,486,470,494,447,476,462,497,498,470,473,479,474,491,498,482,503,478,504,458,464,471,512,471,478,467,445,512,477.0,0.735,14.2399,202.7755,954.0
J,502,477,471,485,455,473,476,471,493,495,474,513,478,489,483,459,483,473,487,490,469,464,460,464,462,473,480,484,484,465,489,483,467,460,479,470,449,459,486,490,478,476,452,481,463,457,459,467,468,453,449,513,474.0,0.7304,13.6333,185.8678,948.0
À,336,340,332,347,330,322,305,325,326,333,321,327,333,333,326,317,312,311,332,350,302,324,318,334,334,330,342,322,312,342,335,336,312,312,324,320,331,323,292,298,331,323,351,298,324,339,309,339,342,345,292,351,326.0,0.5023,13.7943,190.2841,652.0
Z,252,256,264,262,236,263,244,254,268,264,261,262,275,256,264,269,273,269,252,249,266,247,265,287,244,259,268,257,251,259,233,255,257,282,258,242,248,263,258,263,258,276,254,263,272,246,263,246,237,260,233,287,258.0,0.3975,11.274,127.102,516.0
X,234,218,223,210,194,221,222,203,208,233,233,215,213,221,222,214,212,209,207,204,212,216,227,225,202,208,200,207,216,210,211,212,201,191,210,207,208,212,209,206,226,198,221,192,213,220,214,220,219,207,191,234,212.0,0.3267,9.9428,98.8588,424.0
È,175,171,179,189,178,191,183,190,172,176,190,209,201,194,194,175,165,170,187,193,204,197,181,206,175,177,185,203,177,196,187,180,184,189,199,166,196,196,195,199,188,183,195,180,168,185,198,195,187,173,165,209,186.0,0.2866,11.0919,123.0302,372.0
Y,168,180,176,191,184,192,172,170,181,193,184,183,195,204,180,181,163,178,176,203,178,162,176,179,170,183,194,183,164,163,188,185,187,197,191,186,193,165,173,185,167,195,162,182,172,172,190,185,183,187,162,204,181.0,0.2789,10.7637,115.8567,362.0
Ê,143,128,140,140,150,137,142,146,137,136,130,145,139,135,124,128,124,142,131,153,157,140,123,143,145,133,138,137,123,131,121,132,140,127,129,147,132,150,137,136,137,132,144,133,128,124,136,135,130,135,121,157,136.0,0.2096,8.2419,67.9286,272.0
Â,54,46,52,52,52,42,49,55,53,41,49,47,42,56,58,52,42,42,59,40,52,44,49,53,46,40,50,55,60,55,47,52,42,47,49,45,46,45,47,48,53,56,46,50,46,50,44,59,41,54,40,60,49.0,0.0755,5.4242,29.422,98.0
Î,46,42,38,48,35,45,45,42,48,44,40,44,45,43,38,37,46,43,43,42,45,42,44,43,50,42,46,42,41,42,41,46,36,45,51,39,41,37,42,52,42,39,33,43,43,40,48,40,41,46,33,52,42.0,0.0647,3.9177,15.3486,84.0
Ù,28,28,29,23,30,30,28,25,27,33,29,29,24,27,31,30,28,21,27,24,28,25,23,23,32,33,32,25,26,28,25,27,25,25,27,22,31,28,18,30,31,25,30,18,27,28,25,30,30,29,18,33,27.0,0.0416,3.4346,11.7963,54.0
Ç,23,30,28,25,24,29,27,24,30,32,29,28,21,23,27,27,25,23,20,31,29,25,36,30,31,24,24,20,28,27,29,24,27,23,28,29,26,29,26,20,26,26,26,21,17,28,27,27,29,21,17,36,26.0,0.0401,3.6292,13.171,52.0
Ô,16,19,23,24,22,25,23,26,22,32,27,28,25,32,22,22,22,30,25,19,25,20,31,23,27,24,26,27,25,24,26,32,21,25,26,23,20,31,22,23,29,24,27,25,24,23,26,21,25,24,16,32,24.0,0.037,3.5086,12.3106,48.0
Û,21,26,23,23,27,27,27,28,21,27,24,19,24,24,23,26,24,21,26,21,23,25,22,23,24,25,21,28,29,29,25,29,26,23,26,22,23,24,27,29,21,28,32,23,22,24,24,20,29,21,19,32,24.0,0.037,2.9003,8.4118,48.0
K,15,14,11,19,17,14,24,19,15,19,9,16,15,17,14,10,18,20,17,14,19,15,14,18,19,13,15,18,17,20,18,19,18,10,17,13,17,17,19,13,14,17,17,16,16,17,16,15,19,20,9,24,16.0,0.0247,2.9054,8.4412,32.0
Ï,8,9,13,9,7,11,7,8,10,13,8,5,10,7,11,6,11,11,11,8,12,13,11,11,11,13,6,8,11,7,10,11,7,6,10,13,7,9,8,6,13,11,9,10,8,7,14,10,8,8,5,14,9.0,0.0139,2.3043,5.3098,18.0
W,11,10,10,8,10,8,13,11,6,9,8,10,10,13,8,9,10,14,7,7,9,11,14,7,6,9,12,8,8,9,12,11,12,10,9,10,13,7,12,11,10,9,15,11,12,10,10,12,8,9,6,15,9.0,0.0139,2.1089,4.4473,18.0
Ë,6,9,12,8,8,6,10,9,6,6,10,8,8,5,9,9,7,5,10,10,7,4,10,7,5,6,7,6,6,8,9,4,9,8,6,8,6,9,10,9,7,7,8,7,7,10,3,9,8,6,3,12,7.0,0.0108,1.8867,3.5596,14.0
Æ,4,4,5,1,2,3,4,4,4,3,5,3,2,5,2,2,4,3,2,4,4,2,1,2,2,5,3,2,2,5,5,3,2,4,4,4,1,3,2,2,2,6,5,3,5,0,3,1,4,4,0,6,3.0,0.0046,1.3704,1.878,6.0
Ü,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0.0,0.0,0.5047,0.2547,0.0
