letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,18300.0,18462.0,18432.0,18616.0,18334.0,18254.0,18232.0,18384.0,18420.0,18140.0,18520.0,18604.0,18336.0,18480.0,18146.0,18202.0,18544.0,18178.0,18430.0,18190.0,18258.0,18442.0,18282.0,18328.0,18308.0,18220.0,18520.0,18294.0,18254.0,18428.0,18302.0,18174.0,18454.0,18428.0,18454.0,18624.0,18196.0,18658.0,18246.0,18300.0,18406.0,18380.0,18434.0,18310.0,18606.0,18388.0,18394.0,18168.0,18318.0,18170.0,18140.0,18658.0,18358.0,14.1414,138.4664,19172.9371
S,12306.0,12090.0,12282.0,12192.0,12156.0,12292.0,12196.0,12176.0,12138.0,12120.0,12096.0,12086.0,12116.0,12184.0,11996.0,11982.0,12034.0,11986.0,12152.0,12090.0,12008.0,12110.0,12320.0,12090.0,12086.0,12162.0,12198.0,11946.0,12122.0,12052.0,12184.0,12244.0,12186.0,12176.0,12082.0,12090.0,12198.0,12112.0,12292.0,12080.0,12120.0,12054.0,12054.0,12128.0,12084.0,12102.0,12000.0,12170.0,11862.0,11984.0,11862.0,12320.0,12119.0,9.3354,95.9384,9204.1812
U,9584.0,9524.0,9334.0,9598.0,9624.0,9510.0,9672.0,9598.0,9632.0,9350.0,9530.0,9418.0,9526.0,9392.0,9434.0,9560.0,9584.0,9318.0,9504.0,9624.0,9654.0,9502.0,9616.0,9458.0,9628.0,9462.0,9668.0,9482.0,9410.0,9566.0,9484.0,9574.0,9430.0,9512.0,9404.0,9438.0,9496.0,9198.0,9542.0,9342.0,9458.0,9608.0,9518.0,9502.0,9584.0,9416.0,9558.0,9490.0,9496.0,9342.0,9198.0,9672.0,9503.0,7.3203,102.8438,10576.8506
A,9216.0,9188.0,9134.0,9088.0,9152.0,9104.0,9120.0,9102.0,9002.0,8982.0,9042.0,9054.0,9202.0,9160.0,9158.0,9128.0,8942.0,9232.0,9202.0,9248.0,9120.0,9090.0,9088.0,9004.0,9090.0,9162.0,9234.0,9228.0,9112.0,9070.0,9192.0,9098.0,9192.0,9024.0,9070.0,9122.0,9138.0,9142.0,9128.0,9246.0,9116.0,9156.0,9120.0,9162.0,9038.0,9234.0,9024.0,9180.0,8912.0,9148.0,8912.0,9248.0,9121.0,7.026,78.4159,6149.0547
R,9050.0,9064.0,8936.0,9076.0,9034.0,9068.0,8996.0,9150.0,9028.0,9060.0,8984.0,8950.0,9146.0,8972.0,9140.0,8862.0,8898.0,8952.0,9134.0,9194.0,8956.0,8932.0,9000.0,8912.0,9046.0,8934.0,9042.0,9046.0,9068.0,9100.0,9006.0,9134.0,9060.0,8992.0,8928.0,8976.0,9074.0,9138.0,9070.0,8996.0,8974.0,8754.0,9050.0,9044.0,9040.0,9180.0,9010.0,9042.0,8926.0,9082.0,8754.0,9194.0,9024.0,6.9513,85.9144,7381.2914
N,8904.0,9096.0,8954.0,9134.0,9068.0,9178.0,8922.0,8892.0,9004.0,8902.0,8950.0,9126.0,8954.0,9090.0,9036.0,8942.0,8884.0,8926.0,9168.0,8948.0,9032.0,9008.0,9216.0,8894.0,8974.0,9098.0,9106.0,9116.0,8776.0,8816.0,9032.0,8928.0,9078.0,9162.0,9054.0,8942.0,8924.0,9046.0,8876.0,9098.0,9048.0,8940.0,8894.0,9072.0,8920.0,8978.0,8910.0,8996.0,8832.0,9020.0,8776.0,9216.0,8997.0,6.9305,101.674,10337.5935
I,8928.0,8960.0,9002.0,9096.0,8968.0,9012.0,9046.0,9130.0,9018.0,8812.0,8846.0,8968.0,8900.0,8974.0,8980.0,8874.0,8930.0,8956.0,9164.0,9056.0,8974.0,9140.0,9064.0,9220.0,8970.0,9116.0,8978.0,8974.0,9172.0,8964.0,8994.0,9068.0,8950.0,8884.0,8850.0,9104.0,8922.0,9050.0,9018.0,9238.0,8966.0,9186.0,8784.0,8862.0,9060.0,8938.0,8918.0,8762.0,9058.0,8992.0,8762.0,9238.0,8995.0,6.929,108.2257,11712.8098
T,8876.0,8924.0,8862.0,9064.0,9000.0,9046.0,8856.0,9100.0,8888.0,8960.0,8898.0,8826.0,9010.0,9018.0,8732.0,9030.0,8870.0,9110.0,9024.0,8970.0,9120.0,8972.0,8958.0,8860.0,8968.0,8914.0,8884.0,8990.0,9042.0,8866.0,9122.0,9060.0,8908.0,8950.0,8642.0,8976.0,8928.0,9094.0,8934.0,8876.0,8820.0,8838.0,8914.0,9000.0,8904.0,8850.0,8890.0,8760.0,8958.0,9060.0,8642.0,9122.0,8942.0,6.8882,102.3139,10468.129
O,7950.0,7818.0,7984.0,7724.0,7898.0,7864.0,7934.0,7808.0,7806.0,7970.0,8026.0,7826.0,7868.0,7932.0,7894.0,7858.0,7924.0,7840.0,7778.0,7722.0,7872.0,7974.0,7960.0,7812.0,7828.0,7774.0,7906.0,7866.0,7922.0,7902.0,7850.0,8128.0,7814.0,8126.0,7978.0,7830.0,7996.0,8014.0,7992.0,7940.0,7888.0,7918.0,7964.0,7922.0,7958.0,8058.0,8058.0,8060.0,7976.0,7864.0,7722.0,8128.0,7911.0,6.094,93.5511,8751.8057
L,6096.0,6194.0,5954.0,6068.0,6044.0,6004.0,5956.0,5962.0,6102.0,5980.0,6004.0,5998.0,5920.0,6064.0,5894.0,5940.0,6026.0,6072.0,6032.0,6070.0,5984.0,6104.0,5904.0,6056.0,5952.0,5994.0,5856.0,6144.0,6004.0,5904.0,5984.0,6044.0,6088.0,6074.0,6078.0,6030.0,6000.0,5954.0,5916.0,6038.0,6044.0,6050.0,6020.0,5980.0,5934.0,5970.0,5874.0,5974.0,5960.0,6074.0,5856.0,6194.0,6007.0,4.6273,71.1072,5056.2351
