letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,25,25,25,24,25,24,24,23,25,25,24,23,23,24,27,22,24,26,25,24,21,25,27,25,24,22,27,24,25,26,26,22,23,25,24,24,25,26,24,25,25,27,24,24,25,22,26,25,26,25,21,27,24.0,4.8387,1.3738,1.8873,9887.0
I,24,24,25,21,23,23,24,22,23,22,25,25,24,24,22,23,23,23,26,23,23,23,26,23,23,25,23,22,23,23,26,23,25,24,23,24,23,24,25,23,24,23,22,22,24,22,25,21,23,22,21,26,23.0,4.6371,1.2137,1.4731,6991.0
S,24,24,22,24,23,23,24,24,21,23,24,22,25,24,22,26,24,22,23,22,23,23,23,24,24,25,23,23,24,22,24,22,22,24,23,23,25,22,25,24,22,22,24,23,22,24,23,24,25,23,21,26,23.0,4.6371,1.0774,1.1608,6991.0
N,22,23,23,25,24,23,24,22,25,24,23,23,23,23,23,23,24,24,22,25,23,24,24,23,23,23,22,21,23,24,24,22,21,24,23,22,23,23,24,24,26,22,26,22,23,22,24,23,24,19,19,26,23.0,4.6371,1.2403,1.5384,6991.0
T,23,22,22,21,23,22,22,23,21,24,22,24,22,21,23,22,24,21,22,23,22,22,23,23,23,24,22,24,22,24,22,22,21,21,24,20,22,23,22,22,21,23,23,23,23,23,20,21,22,23,20,24,22.0,4.4355,1.0422,1.0861,4943.0
R,21,24,25,22,25,21,22,23,22,21,22,25,22,23,23,22,23,24,23,23,24,25,22,22,24,25,22,22,20,24,22,22,21,23,22,20,23,23,24,25,22,20,24,22,23,22,22,21,24,24,20,25,22.0,4.4355,1.374,1.8878,4943.0
C,21,22,20,22,21,21,23,22,21,21,20,21,21,20,20,22,19,20,20,22,22,22,21,23,22,23,23,22,20,21,22,22,21,23,23,21,23,22,20,21,21,21,22,23,22,20,22,20,19,20,19,23,21.0,4.2339,1.1147,1.2424,3495.0
D,21,21,22,21,22,21,22,21,20,21,18,19,24,22,20,23,21,21,20,23,23,20,21,23,22,23,22,22,22,20,20,22,22,21,21,21,21,21,21,22,20,19,19,21,21,22,20,22,21,20,18,24,21.0,4.2339,1.2014,1.4433,3495.0
A,23,23,21,21,23,21,20,22,21,23,24,24,21,21,21,21,20,21,21,23,23,21,22,23,22,21,21,22,21,20,21,23,22,21,22,23,21,22,22,24,23,22,24,22,23,21,22,23,22,22,20,24,21.0,4.2339,1.085,1.1771,3495.0
H,22,20,21,22,25,22,21,21,22,21,22,21,24,23,20,22,20,23,21,21,21,23,21,21,23,23,20,25,21,23,22,22,21,20,21,22,21,20,23,20,24,20,21,21,23,23,23,20,23,22,20,25,21.0,4.2339,1.3219,1.7473,3495.0
U,22,22,19,22,21,22,21,20,21,24,21,24,22,21,21,20,21,23,22,21,21,21,21,21,23,23,24,20,21,21,22,22,19,20,22,22,21,23,22,22,21,21,20,21,22,22,24,22,21,21,19,24,21.0,4.2339,1.1648,1.3567,3495.0
L,21,20,21,23,23,20,21,21,21,21,20,22,20,23,19,21,19,20,22,20,23,21,21,21,20,23,20,20,22,22,20,21,19,17,21,20,22,21,21,20,19,21,21,21,21,21,19,20,19,19,17,23,20.0,4.0323,1.2526,1.569,2471.0
B,18,18,19,19,20,19,21,18,18,20,19,19,21,19,19,18,17,19,20,18,22,22,19,17,20,18,20,20,20,22,20,19,18,18,19,19,18,19,19,20,19,17,18,18,19,18,20,21,19,18,17,22,19.0,3.8306,1.233,1.5204,1747.0
O,20,21,18,21,20,20,17,21,19,20,18,20,18,17,20,19,19,21,21,21,20,20,18,19,20,18,19,20,20,20,19,19,21,19,18,20,19,19,19,19,20,19,19,20,18,21,22,20,21,20,17,22,19.0,3.8306,1.1287,1.2739,1747.0
M,25,19,18,21,19,19,21,20,19,19,20,20,20,20,18,20,20,21,21,21,19,19,19,18,19,20,21,19,20,21,23,21,19,20,21,19,20,18,24,19,20,20,19,20,17,20,22,19,19,21,17,25,19.0,3.8306,1.4626,2.1392,1747.0
G,20,20,20,20,22,22,19,18,19,19,20,19,18,19,19,21,19,20,19,21,18,19,19,19,18,19,20,21,18,19,19,18,20,19,20,19,20,20,19,18,18,18,22,19,22,19,19,19,18,19,18,22,19.0,3.8306,1.1229,1.2608,1747.0
W,19,19,17,19,18,20,17,20,18,17,21,18,18,16,18,19,20,17,18,20,18,18,17,19,18,17,19,18,20,19,19,20,20,21,18,19,18,19,18,20,20,19,17,17,21,19,18,20,18,19,16,21,18.0,3.629,1.2081,1.4596,1235.0
F,17,17,18,17,17,19,18,19,18,17,17,18,19,16,18,17,16,17,18,17,17,19,17,18,19,19,16,19,19,19,18,16,17,16,19,18,18,16,18,17,18,17,16,19,17,18,17,19,16,18,16,19,17.0,3.4274,1.0302,1.0612,873.0
K,16,14,16,17,17,16,18,19,15,16,17,18,16,16,17,16,15,17,16,17,17,16,17,14,17,20,15,15,18,16,15,16,15,14,16,16,16,17,17,17,16,18,17,16,16,16,17,18,16,16,14,20,16.0,3.2258,1.1933,1.4241,617.0
Z,15,18,15,15,18,17,17,17,17,17,18,18,14,18,15,15,18,17,14,16,18,16,18,17,16,16,18,16,17,19,15,19,18,17,15,17,16,17,14,18,18,18,18,17,18,17,18,18,18,17,14,19,16.0,3.2258,1.325,1.7555,617.0
V,16,17,14,16,14,14,16,14,16,14,15,14,16,16,15,15,18,16,18,16,15,18,16,14,17,19,14,15,19,16,15,15,18,16,15,16,17,17,17,15,15,15,16,15,17,16,15,17,16,15,14,19,15.0,3.0242,1.32,1.7424,436.0
Ü,16,17,15,17,15,15,15,17,15,19,15,16,18,16,15,17,15,16,15,14,16,15,15,17,17,16,17,14,14,17,16,17,14,15,15,15,16,18,14,16,17,18,15,15,16,14,16,18,20,16,14,20,15.0,3.0242,1.3614,1.8535,436.0
Ä,15,18,17,16,16,16,17,17,15,17,15,16,14,15,16,15,14,17,16,18,15,16,14,15,14,17,17,15,17,17,15,15,15,16,15,17,16,17,16,16,15,15,16,17,18,14,15,15,15,15,14,18,15.0,3.0242,1.1066,1.2245,436.0
P,14,14,14,15,15,16,14,15,14,16,14,15,15,15,16,16,15,17,14,15,13,16,15,18,16,15,15,15,16,15,16,14,15,12,15,13,15,14,14,15,17,14,13,17,15,17,16,14,15,13,12,18,14.0,2.8226,1.2022,1.4453,308.0
Ö,13,13,15,15,15,15,14,13,14,14,15,14,12,13,13,11,14,15,15,13,12,13,12,14,14,14,12,14,15,12,15,14,14,14,14,13,11,14,14,13,14,14,12,12,13,13,14,16,15,14,11,16,13.0,2.621,1.1409,1.3016,217.0
