letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,13983.0,13983.0,13983.0,9887.0,13983.0,9887.0,9887.0,6991.0,13983.0,13983.0,9887.0,6991.0,6991.0,9887.0,27968.0,4943.0,9887.0,19776.0,13983.0,9887.0,3495.0,13983.0,27968.0,13983.0,9887.0,4943.0,27968.0,9887.0,13983.0,19776.0,19776.0,4943.0,6991.0,13983.0,9887.0,9887.0,13983.0,19776.0,9887.0,13983.0,13983.0,27968.0,9887.0,9887.0,13983.0,4943.0,19776.0,13983.0,19776.0,13983.0,3495.0,27968.0,13157.0,13.9179,6089.3697,37080423.778
I,9887.0,9887.0,13983.0,3495.0,6991.0,6991.0,9887.0,4943.0,6991.0,4943.0,13983.0,13983.0,9887.0,9887.0,4943.0,6991.0,6991.0,6991.0,19776.0,6991.0,6991.0,6991.0,19776.0,6991.0,6991.0,13983.0,6991.0,4943.0,6991.0,6991.0,19776.0,6991.0,13983.0,9887.0,6991.0,9887.0,6991.0,9887.0,13983.0,6991.0,9887.0,6991.0,4943.0,4943.0,9887.0,4943.0,13983.0,3495.0,6991.0,4943.0,3495.0,19776.0,8848.0,9.3597,4045.4225,16365443.1269
S,9887.0,9887.0,4943.0,9887.0,6991.0,6991.0,9887.0,9887.0,3495.0,6991.0,9887.0,4943.0,13983.0,9887.0,4943.0,19776.0,9887.0,4943.0,6991.0,4943.0,6991.0,6991.0,6991.0,9887.0,9887.0,13983.0,6991.0,6991.0,9887.0,4943.0,9887.0,4943.0,4943.0,9887.0,6991.0,6991.0,13983.0,4943.0,13983.0,9887.0,4943.0,4943.0,9887.0,6991.0,4943.0,9887.0,6991.0,9887.0,13983.0,6991.0,3495.0,19776.0,8369.0,8.853,3251.5871,10572818.3776
N,4943.0,6991.0,6991.0,13983.0,9887.0,6991.0,9887.0,4943.0,13983.0,9887.0,6991.0,6991.0,6991.0,6991.0,6991.0,6991.0,9887.0,9887.0,4943.0,13983.0,6991.0,9887.0,9887.0,6991.0,6991.0,6991.0,4943.0,3495.0,6991.0,9887.0,9887.0,4943.0,3495.0,9887.0,6991.0,4943.0,6991.0,6991.0,9887.0,9887.0,19776.0,4943.0,19776.0,4943.0,6991.0,4943.0,9887.0,6991.0,9887.0,1747.0,1747.0,19776.0,8119.0,8.5885,3548.5425,12592153.6392
R,3495.0,9887.0,13983.0,4943.0,13983.0,3495.0,4943.0,6991.0,4943.0,3495.0,4943.0,13983.0,4943.0,6991.0,6991.0,4943.0,6991.0,9887.0,6991.0,6991.0,9887.0,13983.0,4943.0,4943.0,9887.0,13983.0,4943.0,4943.0,2471.0,9887.0,4943.0,4943.0,3495.0,6991.0,4943.0,2471.0,6991.0,6991.0,9887.0,13983.0,4943.0,2471.0,9887.0,4943.0,6991.0,4943.0,4943.0,3495.0,9887.0,9887.0,2471.0,13983.0,7034.0,7.4408,3387.9163,11477976.8163
T,6991.0,4943.0,4943.0,3495.0,6991.0,4943.0,4943.0,6991.0,3495.0,9887.0,4943.0,9887.0,4943.0,3495.0,6991.0,4943.0,9887.0,3495.0,4943.0,6991.0,4943.0,4943.0,6991.0,6991.0,6991.0,9887.0,4943.0,9887.0,4943.0,9887.0,4943.0,4943.0,3495.0,3495.0,9887.0,2471.0,4943.0,6991.0,4943.0,4943.0,3495.0,6991.0,6991.0,6991.0,6991.0,6991.0,2471.0,3495.0,4943.0,6991.0,2471.0,9887.0,5919.0,6.2613,2096.5614,4395569.6327
A,6991.0,6991.0,3495.0,3495.0,6991.0,3495.0,2471.0,4943.0,3495.0,6991.0,9887.0,9887.0,3495.0,3495.0,3495.0,3495.0,2471.0,3495.0,3495.0,6991.0,6991.0,3495.0,4943.0,6991.0,4943.0,3495.0,3495.0,4943.0,3495.0,2471.0,3495.0,6991.0,4943.0,3495.0,4943.0,6991.0,3495.0,4943.0,4943.0,9887.0,6991.0,4943.0,9887.0,4943.0,6991.0,3495.0,4943.0,6991.0,4943.0,4943.0,2471.0,9887.0,5160.0,5.4584,2029.4425,4118636.9045
H,4943.0,2471.0,3495.0,4943.0,13983.0,4943.0,3495.0,3495.0,4943.0,3495.0,4943.0,3495.0,9887.0,6991.0,2471.0,4943.0,2471.0,6991.0,3495.0,3495.0,3495.0,6991.0,3495.0,3495.0,6991.0,6991.0,2471.0,13983.0,3495.0,6991.0,4943.0,4943.0,3495.0,2471.0,3495.0,4943.0,3495.0,2471.0,6991.0,2471.0,9887.0,2471.0,3495.0,3495.0,6991.0,6991.0,6991.0,2471.0,6991.0,4943.0,2471.0,13983.0,5044.0,5.3357,2659.1966,7071326.6939
U,4943.0,4943.0,1747.0,4943.0,3495.0,4943.0,3495.0,2471.0,3495.0,9887.0,3495.0,9887.0,4943.0,3495.0,3495.0,2471.0,3495.0,6991.0,4943.0,3495.0,3495.0,3495.0,3495.0,3495.0,6991.0,6991.0,9887.0,2471.0,3495.0,3495.0,4943.0,4943.0,1747.0,2471.0,4943.0,4943.0,3495.0,6991.0,4943.0,4943.0,3495.0,3495.0,2471.0,3495.0,4943.0,4943.0,9887.0,4943.0,3495.0,3495.0,1747.0,9887.0,4548.0,4.811,2018.6381,4074899.618
C,3495.0,4943.0,2471.0,4943.0,3495.0,3495.0,6991.0,4943.0,3495.0,3495.0,2471.0,3495.0,3495.0,2471.0,2471.0,4943.0,1747.0,2471.0,2471.0,4943.0,4943.0,4943.0,3495.0,6991.0,4943.0,6991.0,6991.0,4943.0,2471.0,3495.0,4943.0,4943.0,3495.0,6991.0,6991.0,3495.0,6991.0,4943.0,2471.0,3495.0,3495.0,3495.0,4943.0,6991.0,4943.0,2471.0,4943.0,2471.0,1747.0,2471.0,1747.0,6991.0,4193.0,4.4355,1580.9628,2499443.4351
