letter,exp 1,minimum,maximum,average,average_percent,STD,VAR
E,12852,12852,12852,12852.0,13.7076,,
N,8290,8290,8290,8290.0,8.8419,,
S,7894,7894,7894,7894.0,8.4195,,
I,7861,7861,7861,7861.0,8.3844,,
R,7054,7054,7054,7054.0,7.5236,,
T,6095,6095,6095,6095.0,6.5008,,
H,5346,5346,5346,5346.0,5.7019,,
U,4969,4969,4969,4969.0,5.2998,,
A,4932,4932,4932,4932.0,5.2604,,
D,4137,4137,4137,4137.0,4.4124,,
C,4111,4111,4111,4111.0,4.3847,,
L,3335,3335,3335,3335.0,3.557,,
M,2672,2672,2672,2672.0,2.8499,,
G,2223,2223,2223,2223.0,2.371,,
O,2147,2147,2147,2147.0,2.2899,,
B,1992,1992,1992,1992.0,2.1246,,
W,1800,1800,1800,1800.0,1.9198,,
F,1249,1249,1249,1249.0,1.3322,,
Z,933,933,933,933.0,0.9951,,
K,895,895,895,895.0,0.9546,,
Ä,691,691,691,691.0,0.737,,
Ü,653,653,653,653.0,0.6965,,
V,627,627,627,627.0,0.6687,,
P,477,477,477,477.0,0.5088,,
Ö,290,290,290,290.0,0.3093,,
J,216,216,216,216.0,0.2304,,
Y,11,11,11,11.0,0.0117,,
Q,6,6,6,6.0,0.0064,,
