letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,6525,6406,6398,6410,6530,6400,6445,6429,6404,6431,6326,6453,6445,6485,6332,6383,6508,6408,6418,6430,6283,6384,6437,6410,6504,6510,6343,6384,6501,6348,6415,6461,6491,6454,6494,6434,6422,6395,6350,6415,6493,6440,6362,6419,6376,6430,6421,6421,6442,6425,6283,6530,6424.0,13.7121,53.7492,2888.9796,12848.0
N,4129,4141,4150,4172,4099,4140,4159,4165,4056,4114,4043,4075,4169,4201,4129,4114,4087,4172,4171,4121,4059,4090,4053,4165,4133,4110,4118,4165,4118,4117,4153,4114,4148,4117,4124,4078,4231,4153,4131,4170,4134,4150,4136,4154,4179,4154,4095,4162,4175,4122,4043,4231,4132.0,8.8198,38.926,1515.2347,8264.0
S,3997,3908,4001,3936,3981,4016,3967,3973,3939,3963,3908,3982,3922,4000,3887,3897,3895,3916,3969,3946,3945,3937,3890,3894,3933,3917,3972,3919,3932,3956,3954,3985,4014,4017,3948,3935,3914,3953,3982,3967,3987,3900,3978,4056,3933,3900,3796,3960,3912,3922,3796,4056,3946.0,8.4228,44.5835,1987.6853,7892.0
I,3986,3960,3927,3868,4040,3917,3924,3812,3931,4020,3944,3963,3860,3957,3923,3952,3873,4002,3967,3895,3930,3919,3922,3917,3919,3989,3932,3901,3945,3941,4044,3915,3919,3924,3971,3923,3973,3833,3884,3966,3883,3979,3887,3878,3977,3862,3898,3971,3924,3970,3812,4044,3932.0,8.3929,48.5885,2360.8412,7864.0
R,3477,3571,3556,3508,3477,3487,3505,3428,3527,3531,3527,3512,3579,3518,3585,3567,3488,3586,3543,3449,3505,3554,3504,3480,3538,3489,3503,3560,3573,3498,3502,3600,3566,3489,3545,3515,3524,3535,3538,3586,3496,3599,3538,3613,3583,3514,3505,3581,3547,3595,3428,3613,3531.0,7.537,42.0727,1770.1159,7062.0
T,2994,3128,3001,2977,3009,2946,3098,3074,3067,3023,3086,3020,3003,3093,3088,3059,3071,3005,3024,3090,3057,3071,3049,3111,3053,3085,3046,3119,3085,3030,3108,3025,3051,3044,2977,3064,3009,3003,3008,3022,3060,3086,3063,3066,3009,3068,3042,3078,3026,3109,2946,3128,3049.0,6.5081,41.0142,1682.1633,6098.0
H,2666,2720,2699,2708,2663,2642,2693,2673,2684,2680,2621,2722,2667,2660,2701,2667,2644,2689,2729,2649,2674,2756,2647,2692,2663,2622,2717,2722,2619,2761,2669,2702,2698,2683,2719,2655,2695,2687,2694,2635,2607,2633,2650,2700,2676,2768,2688,2677,2657,2657,2607,2768,2680.0,5.7205,35.9966,1295.7551,5360.0
U,2495,2528,2444,2463,2547,2537,2445,2508,2481,2493,2480,2592,2517,2519,2454,2458,2480,2453,2467,2450,2473,2485,2528,2465,2503,2490,2530,2422,2493,2488,2404,2475,2474,2534,2490,2454,2486,2482,2506,2433,2484,2476,2483,2507,2502,2517,2456,2485,2502,2479,2404,2592,2486.0,5.3064,33.7775,1140.9229,4972.0
A,2492,2433,2428,2557,2428,2505,2496,2454,2474,2470,2443,2447,2430,2498,2476,2419,2485,2451,2467,2452,2483,2480,2445,2462,2453,2472,2532,2470,2435,2370,2465,2420,2444,2533,2451,2453,2450,2449,2415,2484,2466,2472,2462,2419,2468,2512,2513,2477,2450,2437,2370,2557,2462.0,5.2552,33.7672,1140.2208,4924.0
D,2016,2115,2033,2076,2040,2078,2045,2091,2088,2064,2008,2085,2072,2111,2067,2054,2044,2078,2073,2075,2047,2018,2038,2121,2059,2085,2084,2048,2078,2105,2055,2114,2053,2103,2103,2007,2074,2035,2079,2022,2093,2074,2026,2100,1999,2004,2109,2092,2030,2086,1999,2121,2065.0,4.4078,32.687,1068.4424,4130.0
C,2032,2071,2043,2086,2058,2027,2010,2034,2023,2095,2030,2037,2038,2101,2057,2059,2056,2059,2086,2051,2086,2039,2040,2125,2001,2034,2078,2072,2017,2066,2087,2044,2041,2091,2063,2061,2083,2024,2035,2006,2023,2076,2017,2101,2081,2079,2059,2093,2056,2024,2001,2125,2055.0,4.3864,28.6444,820.5,4110.0
L,1627,1548,1643,1657,1723,1690,1629,1693,1673,1624,1662,1635,1666,1708,1645,1712,1656,1637,1651,1695,1717,1660,1642,1657,1697,1716,1640,1670,1643,1682,1659,1680,1687,1697,1701,1674,1625,1668,1700,1612,1631,1625,1660,1678,1674,1643,1666,1725,1675,1643,1548,1725,1664.0,3.5518,33.7053,1136.0445,3328.0
M,1322,1347,1326,1357,1382,1363,1360,1323,1323,1347,1332,1367,1369,1350,1363,1318,1348,1296,1313,1341,1335,1383,1319,1358,1377,1289,1329,1332,1352,1335,1323,1287,1323,1318,1315,1295,1327,1332,1327,1359,1331,1368,1318,1301,1340,1406,1338,1329,1337,1315,1287,1406,1336.0,2.8517,25.317,640.949,2672.0
