letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,13050.0,12812.0,12796.0,12820.0,13060.0,12800.0,12890.0,12858.0,12808.0,12862.0,12652.0,12906.0,12890.0,12970.0,12664.0,12766.0,13016.0,12816.0,12836.0,12860.0,12566.0,12768.0,12874.0,12820.0,13008.0,13020.0,12686.0,12768.0,13002.0,12696.0,12830.0,12922.0,12982.0,12908.0,12988.0,12868.0,12844.0,12790.0,12700.0,12830.0,12986.0,12880.0,12724.0,12838.0,12752.0,12860.0,12842.0,12842.0,12884.0,12850.0,12566.0,13060.0,12849.0,13.7109,107.4985,11555.9184
N,8258.0,8282.0,8300.0,8344.0,8198.0,8280.0,8318.0,8330.0,8112.0,8228.0,8086.0,8150.0,8338.0,8402.0,8258.0,8228.0,8174.0,8344.0,8342.0,8242.0,8118.0,8180.0,8106.0,8330.0,8266.0,8220.0,8236.0,8330.0,8236.0,8234.0,8306.0,8228.0,8296.0,8234.0,8248.0,8156.0,8462.0,8306.0,8262.0,8340.0,8268.0,8300.0,8272.0,8308.0,8358.0,8308.0,8190.0,8324.0,8350.0,8244.0,8086.0,8462.0,8264.0,8.8183,77.852,6060.9388
S,7994.0,7816.0,8002.0,7872.0,7962.0,8032.0,7934.0,7946.0,7878.0,7926.0,7816.0,7964.0,7844.0,8000.0,7774.0,7794.0,7790.0,7832.0,7938.0,7892.0,7890.0,7874.0,7780.0,7788.0,7866.0,7834.0,7944.0,7838.0,7864.0,7912.0,7908.0,7970.0,8028.0,8034.0,7896.0,7870.0,7828.0,7906.0,7964.0,7934.0,7974.0,7800.0,7956.0,8112.0,7866.0,7800.0,7592.0,7920.0,7824.0,7844.0,7592.0,8112.0,7892.0,8.4214,89.1669,7950.7412
I,7972.0,7920.0,7854.0,7736.0,8080.0,7834.0,7848.0,7624.0,7862.0,8040.0,7888.0,7926.0,7720.0,7914.0,7846.0,7904.0,7746.0,8004.0,7934.0,7790.0,7860.0,7838.0,7844.0,7834.0,7838.0,7978.0,7864.0,7802.0,7890.0,7882.0,8088.0,7830.0,7838.0,7848.0,7942.0,7846.0,7946.0,7666.0,7768.0,7932.0,7766.0,7958.0,7774.0,7756.0,7954.0,7724.0,7796.0,7942.0,7848.0,7940.0,7624.0,8088.0,7864.0,8.3915,97.177,9443.3649
R,6954.0,7142.0,7112.0,7016.0,6954.0,6974.0,7010.0,6856.0,7054.0,7062.0,7054.0,7024.0,7158.0,7036.0,7170.0,7134.0,6976.0,7172.0,7086.0,6898.0,7010.0,7108.0,7008.0,6960.0,7076.0,6978.0,7006.0,7120.0,7146.0,6996.0,7004.0,7200.0,7132.0,6978.0,7090.0,7030.0,7048.0,7070.0,7076.0,7172.0,6992.0,7198.0,7076.0,7226.0,7166.0,7028.0,7010.0,7162.0,7094.0,7190.0,6856.0,7226.0,7063.0,7.5368,84.1455,7080.4637
T,5988.0,6256.0,6002.0,5954.0,6018.0,5892.0,6196.0,6148.0,6134.0,6046.0,6172.0,6040.0,6006.0,6186.0,6176.0,6118.0,6142.0,6010.0,6048.0,6180.0,6114.0,6142.0,6098.0,6222.0,6106.0,6170.0,6092.0,6238.0,6170.0,6060.0,6216.0,6050.0,6102.0,6088.0,5954.0,6128.0,6018.0,6006.0,6016.0,6044.0,6120.0,6172.0,6126.0,6132.0,6018.0,6136.0,6084.0,6156.0,6052.0,6218.0,5892.0,6256.0,6099.0,6.5081,82.0284,6728.6531
H,5332.0,5440.0,5398.0,5416.0,5326.0,5284.0,5386.0,5346.0,5368.0,5360.0,5242.0,5444.0,5334.0,5320.0,5402.0,5334.0,5288.0,5378.0,5458.0,5298.0,5348.0,5512.0,5294.0,5384.0,5326.0,5244.0,5434.0,5444.0,5238.0,5522.0,5338.0,5404.0,5396.0,5366.0,5438.0,5310.0,5390.0,5374.0,5388.0,5270.0,5214.0,5266.0,5300.0,5400.0,5352.0,5536.0,5376.0,5354.0,5314.0,5314.0,5214.0,5536.0,5360.0,5.7195,71.9932,5183.0204
U,4990.0,5056.0,4888.0,4926.0,5094.0,5074.0,4890.0,5016.0,4962.0,4986.0,4960.0,5184.0,5034.0,5038.0,4908.0,4916.0,4960.0,4906.0,4934.0,4900.0,4946.0,4970.0,5056.0,4930.0,5006.0,4980.0,5060.0,4844.0,4986.0,4976.0,4808.0,4950.0,4948.0,5068.0,4980.0,4908.0,4972.0,4964.0,5012.0,4866.0,4968.0,4952.0,4966.0,5014.0,5004.0,5034.0,4912.0,4970.0,5004.0,4958.0,4808.0,5184.0,4972.0,5.3055,67.5551,4563.6914
A,4984.0,4866.0,4856.0,5114.0,4856.0,5010.0,4992.0,4908.0,4948.0,4940.0,4886.0,4894.0,4860.0,4996.0,4952.0,4838.0,4970.0,4902.0,4934.0,4904.0,4966.0,4960.0,4890.0,4924.0,4906.0,4944.0,5064.0,4940.0,4870.0,4740.0,4930.0,4840.0,4888.0,5066.0,4902.0,4906.0,4900.0,4898.0,4830.0,4968.0,4932.0,4944.0,4924.0,4838.0,4936.0,5024.0,5026.0,4954.0,4900.0,4874.0,4740.0,5114.0,4925.0,5.2554,67.5343,4560.8833
D,4032.0,4230.0,4066.0,4152.0,4080.0,4156.0,4090.0,4182.0,4176.0,4128.0,4016.0,4170.0,4144.0,4222.0,4134.0,4108.0,4088.0,4156.0,4146.0,4150.0,4094.0,4036.0,4076.0,4242.0,4118.0,4170.0,4168.0,4096.0,4156.0,4210.0,4110.0,4228.0,4106.0,4206.0,4206.0,4014.0,4148.0,4070.0,4158.0,4044.0,4186.0,4148.0,4052.0,4200.0,3998.0,4008.0,4218.0,4184.0,4060.0,4172.0,3998.0,4242.0,4130.0,4.407,65.3741,4273.7698
