letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,26,27,25,25,24,24,26,27,26,27,25,26,24,26,26,25,25,25,25,25,24,26,26,25,24,24,26,25,25,23,26,24,25,25,28,27,25,24,25,26,29,26,26,26,24,26,28,26,26,24,23,29,25.0,4.8733,1.1988,1.4371,13983.0
T,24,22,23,25,25,25,25,23,25,24,25,25,25,28,23,24,24,25,26,26,27,23,23,24,24,26,25,23,24,25,23,24,25,26,24,24,22,25,24,25,23,25,25,24,25,24,24,24,23,22,22,28,24.0,4.6784,1.2224,1.4943,9887.0
S,24,23,24,25,21,25,22,23,22,23,25,21,24,22,23,22,26,22,22,22,23,22,24,24,22,26,23,24,24,26,23,24,24,22,22,23,22,22,23,21,23,24,24,22,22,24,22,23,22,21,21,26,23.0,4.4834,1.3087,1.7127,6991.0
I,22,24,21,25,25,24,24,24,22,22,24,24,24,22,24,23,24,23,24,24,22,22,22,23,23,24,25,23,22,24,24,25,22,23,24,23,24,22,23,24,25,22,24,22,24,23,22,23,26,22,21,26,23.0,4.4834,1.1147,1.2424,6991.0
H,24,24,26,23,23,21,23,23,24,22,23,23,23,21,26,25,22,24,23,23,23,24,23,23,23,23,22,22,23,22,26,23,23,22,23,24,25,22,24,22,26,25,25,22,23,25,23,23,23,23,21,26,23.0,4.4834,1.2362,1.5282,6991.0
R,24,24,23,23,22,25,26,23,24,24,24,25,25,23,25,26,23,23,23,25,21,24,24,23,24,24,22,23,24,24,21,23,25,24,24,23,23,23,23,23,25,23,24,23,23,23,25,23,23,22,21,26,23.0,4.4834,1.0897,1.1873,6991.0
O,25,25,21,24,22,24,24,23,25,25,23,26,26,25,21,25,23,23,23,23,23,25,21,26,26,24,25,25,22,24,23,22,24,23,23,22,23,24,24,25,25,22,25,24,23,24,22,21,25,23,21,26,23.0,4.4834,1.4061,1.9771,6991.0
A,24,24,21,24,25,25,23,23,24,23,23,23,23,24,26,23,26,24,25,25,23,23,24,22,24,22,23,25,25,25,23,25,24,25,24,23,25,22,24,24,23,25,24,23,24,24,23,24,23,25,21,26,23.0,4.4834,1.0631,1.1302,6991.0
N,23,22,23,23,24,25,24,22,21,23,21,23,24,21,23,22,23,22,22,22,24,26,22,23,23,25,23,23,23,25,24,23,26,23,23,23,23,23,23,22,23,24,23,21,25,24,24,24,26,23,21,26,23.0,4.4834,1.2289,1.5102,6991.0
D,22,24,21,21,23,22,23,24,21,24,21,22,25,23,23,22,19,22,25,24,21,22,25,21,23,22,25,23,21,22,21,22,22,23,21,23,22,23,24,22,21,23,21,20,23,23,24,22,23,20,19,25,22.0,4.2885,1.3834,1.9139,4943.0
L,21,22,20,20,23,24,22,21,23,21,23,22,22,22,22,24,24,21,21,25,22,22,23,23,21,23,24,20,23,22,24,22,22,22,24,23,24,20,21,23,21,22,22,23,23,22,25,24,21,22,20,25,22.0,4.2885,1.2848,1.6506,4943.0
U,20,23,20,21,21,22,20,24,22,22,22,23,22,20,22,20,21,21,20,22,22,21,22,21,21,20,22,22,22,21,23,22,19,24,21,20,20,19,23,21,23,21,21,20,21,22,22,23,21,21,19,24,21.0,4.0936,1.1761,1.3833,3495.0
F,19,19,19,21,22,19,21,19,22,19,19,22,21,18,20,22,20,21,19,19,22,21,20,19,21,20,21,19,19,23,19,22,22,20,22,20,20,21,19,19,20,20,22,20,20,19,20,20,20,20,18,23,20.0,3.8986,1.2002,1.4404,2471.0
Y,20,21,20,21,23,20,20,23,19,19,20,21,21,21,21,19,20,19,19,21,21,23,19,20,20,21,21,21,19,19,21,20,19,20,21,20,21,23,22,23,21,20,21,22,21,20,21,20,21,22,19,23,20.0,3.8986,1.1586,1.3424,2471.0
M,22,21,21,22,22,23,21,21,22,21,20,22,20,21,22,20,22,20,22,19,22,21,22,19,22,21,21,20,22,17,22,21,20,19,22,20,20,21,20,19,21,20,22,22,22,21,23,21,20,20,17,23,20.0,3.8986,1.1851,1.4045,2471.0
W,20,18,21,20,19,20,20,21,20,20,20,21,20,20,21,21,22,20,21,20,22,20,22,21,20,21,19,19,21,21,20,21,21,20,21,19,18,23,20,22,20,21,20,23,19,20,19,22,20,18,18,23,20.0,3.8986,1.1386,1.2963,2471.0
C,22,20,21,21,20,19,19,22,20,20,20,23,19,21,22,20,21,22,24,21,21,23,21,20,22,20,20,20,20,21,21,18,19,21,21,21,22,21,20,19,20,23,21,22,21,22,20,22,20,21,18,24,20.0,3.8986,1.2122,1.4694,2471.0
G,19,22,20,20,20,21,22,22,19,24,21,22,19,21,20,18,23,22,20,21,22,21,19,21,23,18,20,20,22,20,21,19,21,22,21,21,21,23,20,21,19,20,21,22,22,21,20,21,19,21,18,24,20.0,3.8986,1.318,1.7371,2471.0
B,17,20,21,20,20,19,20,20,21,19,18,21,18,21,22,20,18,20,21,20,20,20,20,20,17,22,19,20,22,21,19,17,21,20,20,19,18,21,19,18,20,20,19,19,20,22,22,18,20,19,17,22,19.0,3.7037,1.318,1.7371,1747.0
K,18,18,18,17,18,17,19,17,16,18,18,18,20,19,19,18,19,18,18,19,18,18,19,19,17,18,17,20,16,19,17,19,18,18,21,18,19,18,19,18,18,20,18,18,14,18,16,18,18,17,14,21,18.0,3.5088,1.1678,1.3637,1235.0
P,17,19,17,20,20,20,19,18,19,18,18,19,20,20,18,20,18,17,20,19,18,21,18,17,20,18,20,18,20,18,19,17,19,20,20,19,18,17,19,18,20,17,21,20,21,19,20,19,20,19,17,21,18.0,3.5088,1.1753,1.3812,1235.0
V,19,17,17,18,17,19,20,18,18,19,18,17,17,19,17,19,16,18,19,18,16,18,16,18,17,19,18,17,18,19,17,18,17,17,17,18,18,21,19,20,19,19,17,18,17,18,17,15,18,17,15,21,17.0,3.3138,1.143,1.3065,873.0
Q,14,13,14,14,14,12,14,11,11,13,14,13,13,13,13,11,13,17,14,14,13,13,14,12,12,14,14,13,12,14,13,14,14,15,12,13,12,13,14,12,12,12,14,12,12,14,14,13,13,13,11,17,13.0,2.5341,1.1068,1.2249,217.0
J,12,10,10,12,10,10,11,11,11,14,13,12,9,11,14,10,11,10,13,10,11,10,10,13,12,11,14,14,11,13,13,11,13,12,12,11,12,11,9,11,11,16,10,14,13,10,12,12,11,11,9,16,11.0,2.1442,1.5005,2.2514,108.0
Z,11,11,11,13,11,13,12,14,10,13,11,13,12,13,13,11,11,13,11,12,11,11,14,13,12,11,11,12,15,13,10,11,12,12,12,11,9,11,11,11,13,12,11,11,11,11,11,13,10,13,9,15,11.0,2.1442,1.1877,1.4106,108.0
