letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,19776.0,27968.0,13983.0,13983.0,9887.0,9887.0,19776.0,27968.0,19776.0,27968.0,13983.0,19776.0,9887.0,19776.0,19776.0,13983.0,13983.0,13983.0,13983.0,13983.0,9887.0,19776.0,19776.0,13983.0,9887.0,9887.0,19776.0,13983.0,13983.0,6991.0,19776.0,9887.0,13983.0,13983.0,39553.0,27968.0,13983.0,9887.0,13983.0,19776.0,55937.0,19776.0,19776.0,19776.0,9887.0,19776.0,39553.0,19776.0,19776.0,9887.0,6991.0,55937.0,17974.0,13.1432,8853.4113,78382890.8902
T,9887.0,4943.0,6991.0,13983.0,13983.0,13983.0,13983.0,6991.0,13983.0,9887.0,13983.0,13983.0,13983.0,39553.0,6991.0,9887.0,9887.0,13983.0,19776.0,19776.0,27968.0,6991.0,6991.0,9887.0,9887.0,19776.0,13983.0,6991.0,9887.0,13983.0,6991.0,9887.0,13983.0,19776.0,9887.0,9887.0,4943.0,13983.0,9887.0,13983.0,6991.0,13983.0,13983.0,9887.0,13983.0,9887.0,9887.0,9887.0,6991.0,4943.0,4943.0,39553.0,12207.0,8.9262,5998.1049,35977261.9302
A,9887.0,9887.0,3495.0,9887.0,13983.0,13983.0,6991.0,6991.0,9887.0,6991.0,6991.0,6991.0,6991.0,9887.0,19776.0,6991.0,19776.0,9887.0,13983.0,13983.0,6991.0,6991.0,9887.0,4943.0,9887.0,4943.0,6991.0,13983.0,13983.0,13983.0,6991.0,13983.0,9887.0,13983.0,9887.0,6991.0,13983.0,4943.0,9887.0,9887.0,6991.0,13983.0,9887.0,6991.0,9887.0,9887.0,6991.0,9887.0,6991.0,13983.0,3495.0,19776.0,9914.0,7.2495,3628.824,13168363.7551
O,13983.0,13983.0,3495.0,9887.0,4943.0,9887.0,9887.0,6991.0,13983.0,13983.0,6991.0,19776.0,19776.0,13983.0,3495.0,13983.0,6991.0,6991.0,6991.0,6991.0,6991.0,13983.0,3495.0,19776.0,19776.0,9887.0,13983.0,13983.0,4943.0,9887.0,6991.0,4943.0,9887.0,6991.0,6991.0,4943.0,6991.0,9887.0,9887.0,13983.0,13983.0,4943.0,13983.0,9887.0,6991.0,9887.0,4943.0,3495.0,13983.0,6991.0,3495.0,19776.0,9885.0,7.2283,4581.2196,20987572.5812
R,9887.0,9887.0,6991.0,6991.0,4943.0,13983.0,19776.0,6991.0,9887.0,9887.0,9887.0,13983.0,13983.0,6991.0,13983.0,19776.0,6991.0,6991.0,6991.0,13983.0,3495.0,9887.0,9887.0,6991.0,9887.0,9887.0,4943.0,6991.0,9887.0,9887.0,3495.0,6991.0,13983.0,9887.0,9887.0,6991.0,6991.0,6991.0,6991.0,6991.0,13983.0,6991.0,9887.0,6991.0,6991.0,6991.0,13983.0,6991.0,6991.0,4943.0,3495.0,19776.0,9169.0,6.7047,3600.4936,12963553.92
H,9887.0,9887.0,19776.0,6991.0,6991.0,3495.0,6991.0,6991.0,9887.0,4943.0,6991.0,6991.0,6991.0,3495.0,19776.0,13983.0,4943.0,9887.0,6991.0,6991.0,6991.0,9887.0,6991.0,6991.0,6991.0,6991.0,4943.0,4943.0,6991.0,4943.0,19776.0,6991.0,6991.0,4943.0,6991.0,9887.0,13983.0,4943.0,9887.0,4943.0,19776.0,13983.0,13983.0,4943.0,6991.0,13983.0,6991.0,6991.0,6991.0,6991.0,3495.0,19776.0,8609.0,6.2952,4257.3205,18124778.08
I,4943.0,9887.0,3495.0,13983.0,13983.0,9887.0,9887.0,9887.0,4943.0,4943.0,9887.0,9887.0,9887.0,4943.0,9887.0,6991.0,9887.0,6991.0,9887.0,9887.0,4943.0,4943.0,4943.0,6991.0,6991.0,9887.0,13983.0,6991.0,4943.0,9887.0,9887.0,13983.0,4943.0,6991.0,9887.0,6991.0,9887.0,4943.0,6991.0,9887.0,13983.0,4943.0,9887.0,4943.0,9887.0,6991.0,4943.0,6991.0,19776.0,4943.0,3495.0,19776.0,8403.0,6.1446,3315.0809,10989761.1629
N,6991.0,4943.0,6991.0,6991.0,9887.0,13983.0,9887.0,4943.0,3495.0,6991.0,3495.0,6991.0,9887.0,3495.0,6991.0,4943.0,6991.0,4943.0,4943.0,4943.0,9887.0,19776.0,4943.0,6991.0,6991.0,13983.0,6991.0,6991.0,6991.0,13983.0,9887.0,6991.0,19776.0,6991.0,6991.0,6991.0,6991.0,6991.0,6991.0,4943.0,6991.0,9887.0,6991.0,3495.0,13983.0,9887.0,9887.0,9887.0,19776.0,6991.0,3495.0,19776.0,8231.0,6.0188,3956.1826,15651380.4853
S,9887.0,6991.0,9887.0,13983.0,3495.0,13983.0,4943.0,6991.0,4943.0,6991.0,13983.0,3495.0,9887.0,4943.0,6991.0,4943.0,19776.0,4943.0,4943.0,4943.0,6991.0,4943.0,9887.0,9887.0,4943.0,19776.0,6991.0,9887.0,9887.0,19776.0,6991.0,9887.0,9887.0,4943.0,4943.0,6991.0,4943.0,4943.0,6991.0,3495.0,6991.0,9887.0,9887.0,4943.0,4943.0,9887.0,4943.0,6991.0,4943.0,3495.0,3495.0,19776.0,7896.0,5.7738,4082.9533,16670507.9433
D,4943.0,9887.0,3495.0,3495.0,6991.0,4943.0,6991.0,9887.0,3495.0,9887.0,3495.0,4943.0,13983.0,6991.0,6991.0,4943.0,1747.0,4943.0,13983.0,9887.0,3495.0,4943.0,13983.0,3495.0,6991.0,4943.0,13983.0,6991.0,3495.0,4943.0,3495.0,4943.0,4943.0,6991.0,3495.0,6991.0,4943.0,6991.0,9887.0,4943.0,3495.0,6991.0,3495.0,2471.0,6991.0,6991.0,9887.0,4943.0,6991.0,2471.0,1747.0,13983.0,6310.0,4.6141,3130.0206,9797028.7347
L,3495.0,4943.0,2471.0,2471.0,6991.0,9887.0,4943.0,3495.0,6991.0,3495.0,6991.0,4943.0,4943.0,4943.0,4943.0,9887.0,9887.0,3495.0,3495.0,13983.0,4943.0,4943.0,6991.0,6991.0,3495.0,6991.0,9887.0,2471.0,6991.0,4943.0,9887.0,4943.0,4943.0,4943.0,9887.0,6991.0,9887.0,2471.0,3495.0,6991.0,3495.0,4943.0,4943.0,6991.0,6991.0,4943.0,13983.0,9887.0,3495.0,4943.0,2471.0,13983.0,6087.0,4.451,2795.4436,7814505.1429
U,2471.0,6991.0,2471.0,3495.0,3495.0,4943.0,2471.0,9887.0,4943.0,4943.0,4943.0,6991.0,4943.0,2471.0,4943.0,2471.0,3495.0,3495.0,2471.0,4943.0,4943.0,3495.0,4943.0,3495.0,3495.0,2471.0,4943.0,4943.0,4943.0,3495.0,6991.0,4943.0,1747.0,9887.0,3495.0,2471.0,2471.0,1747.0,6991.0,3495.0,6991.0,3495.0,3495.0,2471.0,3495.0,4943.0,4943.0,6991.0,3495.0,3495.0,1747.0,9887.0,4329.0,3.1655,1852.9817,3433541.2506
M,4943.0,3495.0,3495.0,4943.0,4943.0,6991.0,3495.0,3495.0,4943.0,3495.0,2471.0,4943.0,2471.0,3495.0,4943.0,2471.0,4943.0,2471.0,4943.0,1747.0,4943.0,3495.0,4943.0,1747.0,4943.0,3495.0,3495.0,2471.0,4943.0,873.0,4943.0,3495.0,2471.0,1747.0,4943.0,2471.0,2471.0,3495.0,2471.0,1747.0,3495.0,2471.0,4943.0,4943.0,4943.0,3495.0,6991.0,3495.0,2471.0,2471.0,873.0,6991.0,3689.0,2.6975,1354.3858,1834360.8833
C,4943.0,2471.0,3495.0,3495.0,2471.0,1747.0,1747.0,4943.0,2471.0,2471.0,2471.0,6991.0,1747.0,3495.0,4943.0,2471.0,3495.0,4943.0,9887.0,3495.0,3495.0,6991.0,3495.0,2471.0,4943.0,2471.0,2471.0,2471.0,2471.0,3495.0,3495.0,1235.0,1747.0,3495.0,3495.0,3495.0,4943.0,3495.0,2471.0,1747.0,2471.0,6991.0,3495.0,4943.0,3495.0,4943.0,2471.0,4943.0,2471.0,3495.0,1235.0,9887.0,3566.0,2.6076,1642.8911,2699091.3045
