letter,exp 1,minimum,maximum,average,average_percent,STD,VAR
E,16214,16214,16214,16214.0,12.0406,,
T,11570,11570,11570,11570.0,8.5919,,
O,10638,10638,10638,10638.0,7.8998,,
A,9605,9605,9605,9605.0,7.1327,,
R,9088,9088,9088,9088.0,6.7488,,
H,8556,8556,8556,8556.0,6.3537,,
I,8482,8482,8482,8482.0,6.2988,,
N,8450,8450,8450,8450.0,6.275,,
S,8131,8131,8131,8131.0,6.0381,,
D,6094,6094,6094,6094.0,4.5254,,
L,5941,5941,5941,5941.0,4.4118,,
U,4610,4610,4610,4610.0,3.4234,,
M,3983,3983,3983,3983.0,2.9578,,
Y,3657,3657,3657,3657.0,2.7157,,
C,3514,3514,3514,3514.0,2.6095,,
W,2997,2997,2997,2997.0,2.2256,,
G,2954,2954,2954,2954.0,2.1937,,
F,2681,2681,2681,2681.0,1.9909,,
B,2376,2376,2376,2376.0,1.7644,,
P,1760,1760,1760,1760.0,1.307,,
K,1421,1421,1421,1421.0,1.0552,,
V,1221,1221,1221,1221.0,0.9067,,
Q,266,266,266,266.0,0.1975,,
Z,172,172,172,172.0,0.1277,,
X,149,149,149,149.0,0.1106,,
J,131,131,131,131.0,0.0973,,
