letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,8116,8083,8048,8232,8137,8111,8167,8044,8200,8108,8085,8074,8218,8045,8143,8097,8105,8128,8171,8107,8079,7995,8048,8040,8048,8180,8041,8089,8155,8099,8173,8086,8069,8078,8058,8164,8086,8040,8144,8069,8188,8055,8101,8091,8145,8034,8122,8067,8119,8178,7995,8232,8105.0,12.044,53.7154,2885.3469,16210.0
T,5778,5730,5746,5841,5789,5838,5771,5754,5730,5784,5843,5776,5833,5844,5711,5764,5782,5800,5745,5769,5716,5733,5820,5679,5851,5797,5718,5698,5809,5799,5740,5812,5839,5814,5800,5832,5783,5953,5747,5764,5705,5731,5795,5854,5891,5807,5780,5795,5756,5908,5679,5953,5787.0,8.5995,55.3404,3062.5649,11574.0
O,5296,5289,5227,5289,5232,5289,5371,5238,5338,5392,5350,5413,5259,5368,5302,5274,5381,5273,5379,5273,5333,5358,5316,5346,5337,5314,5346,5318,5363,5279,5377,5271,5273,5293,5252,5304,5259,5322,5243,5374,5419,5429,5358,5318,5404,5415,5350,5310,5281,5351,5227,5429,5322.0,7.9085,53.3498,2846.1976,10644.0
A,4787,4831,4816,4774,4752,4746,4860,4753,4844,4917,4797,4914,4767,4897,4817,4756,4836,4904,4759,4749,4843,4851,4814,4833,4808,4755,4815,4809,4857,4788,4819,4821,4847,4764,4838,4815,4776,4764,4812,4791,4848,4740,4818,4797,4850,4796,4814,4743,4859,4757,4740,4917,4810.0,7.1476,45.7579,2093.7861,9620.0
R,4567,4583,4573,4524,4611,4525,4525,4441,4431,4524,4569,4473,4440,4512,4492,4570,4563,4516,4573,4536,4563,4479,4549,4583,4605,4577,4546,4479,4530,4572,4542,4554,4568,4568,4496,4603,4529,4529,4539,4557,4579,4594,4464,4536,4510,4538,4682,4482,4491,4576,4431,4682,4539.0,6.7449,48.6716,2368.929,9078.0
H,4188,4257,4230,4298,4266,4294,4355,4271,4305,4361,4277,4200,4292,4317,4352,4270,4255,4209,4236,4257,4251,4245,4263,4249,4340,4172,4305,4252,4180,4232,4319,4309,4333,4213,4218,4226,4356,4272,4283,4331,4211,4176,4297,4235,4252,4292,4334,4276,4277,4254,4172,4361,4268.0,6.3422,49.4525,2445.5514,8536.0
I,4212,4317,4267,4198,4244,4176,4258,4211,4172,4151,4287,4245,4233,4279,4161,4222,4260,4290,4168,4333,4240,4286,4323,4158,4226,4133,4240,4288,4325,4277,4291,4233,4232,4240,4162,4292,4243,4256,4252,4229,4164,4271,4242,4210,4212,4368,4196,4211,4256,4127,4127,4368,4237.0,6.2962,54.3404,2952.882,8474.0
N,4209,4148,4272,4237,4223,4252,4274,4224,4251,4171,4229,4197,4210,4175,4174,4289,4221,4226,4133,4222,4270,4191,4159,4180,4156,4225,4203,4236,4225,4293,4270,4164,4188,4203,4288,4231,4264,4185,4276,4202,4262,4242,4279,4251,4181,4208,4229,4255,4175,4335,4133,4335,4223.0,6.2754,43.8512,1922.931,8446.0
S,4014,4089,4026,4013,4024,4026,4096,4031,3958,4010,4093,4050,4076,4027,4061,4020,4048,4067,4082,4064,3934,3975,4042,4079,4094,3991,4031,4061,4011,4050,4068,3990,4071,4025,4083,4010,4077,4068,4086,4088,4097,4058,4062,4102,4108,4130,4017,4012,4063,4150,3934,4150,4050.0,6.0183,43.0014,1849.1167,8100.0
D,3027,2996,2993,3070,2963,3049,3114,3102,2944,3012,3065,3006,3025,3025,3020,2981,3059,3049,3005,3077,3008,3032,3125,3007,3054,3096,3026,3114,3009,2995,3082,3027,3047,3035,3050,3005,3064,3056,3040,3061,3045,3087,3087,3079,3040,3031,2987,2974,3079,3029,2944,3125,3039.0,4.5159,40.5314,1642.7922,6078.0
L,2986,3041,2957,2978,2955,2955,2936,3029,2989,3027,2956,2963,3024,3027,2974,2934,3002,2910,2926,2939,2940,2969,2934,2916,2957,3028,2872,2958,2920,2989,2947,2955,2954,2942,2934,2996,2901,2979,2911,2996,2925,3015,2999,2977,2971,2992,3025,2990,2993,2993,2872,3041,2967.0,4.4089,38.6344,1492.6139,5934.0
