letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,16232.0,16166.0,16096.0,16464.0,16274.0,16222.0,16334.0,16088.0,16400.0,16216.0,16170.0,16148.0,16436.0,16090.0,16286.0,16194.0,16210.0,16256.0,16342.0,16214.0,16158.0,15990.0,16096.0,16080.0,16096.0,16360.0,16082.0,16178.0,16310.0,16198.0,16346.0,16172.0,16138.0,16156.0,16116.0,16328.0,16172.0,16080.0,16288.0,16138.0,16376.0,16110.0,16202.0,16182.0,16290.0,16068.0,16244.0,16134.0,16238.0,16356.0,15990.0,16464.0,16210.0,12.0431,107.4309,11541.3878
T,11556.0,11460.0,11492.0,11682.0,11578.0,11676.0,11542.0,11508.0,11460.0,11568.0,11686.0,11552.0,11666.0,11688.0,11422.0,11528.0,11564.0,11600.0,11490.0,11538.0,11432.0,11466.0,11640.0,11358.0,11702.0,11594.0,11436.0,11396.0,11618.0,11598.0,11480.0,11624.0,11678.0,11628.0,11600.0,11664.0,11566.0,11906.0,11494.0,11528.0,11410.0,11462.0,11590.0,11708.0,11782.0,11614.0,11560.0,11590.0,11512.0,11816.0,11358.0,11906.0,11574.0,8.5988,110.6809,12250.2596
O,10592.0,10578.0,10454.0,10578.0,10464.0,10578.0,10742.0,10476.0,10676.0,10784.0,10700.0,10826.0,10518.0,10736.0,10604.0,10548.0,10762.0,10546.0,10758.0,10546.0,10666.0,10716.0,10632.0,10692.0,10674.0,10628.0,10692.0,10636.0,10726.0,10558.0,10754.0,10542.0,10546.0,10586.0,10504.0,10608.0,10518.0,10644.0,10486.0,10748.0,10838.0,10858.0,10716.0,10636.0,10808.0,10830.0,10700.0,10620.0,10562.0,10702.0,10454.0,10858.0,10645.0,7.9086,106.6995,11384.7902
A,9574.0,9662.0,9632.0,9548.0,9504.0,9492.0,9720.0,9506.0,9688.0,9834.0,9594.0,9828.0,9534.0,9794.0,9634.0,9512.0,9672.0,9808.0,9518.0,9498.0,9686.0,9702.0,9628.0,9666.0,9616.0,9510.0,9630.0,9618.0,9714.0,9576.0,9638.0,9642.0,9694.0,9528.0,9676.0,9630.0,9552.0,9528.0,9624.0,9582.0,9696.0,9480.0,9636.0,9594.0,9700.0,9592.0,9628.0,9486.0,9718.0,9514.0,9480.0,9834.0,9620.0,7.1471,91.5158,8375.1445
R,9134.0,9166.0,9146.0,9048.0,9222.0,9050.0,9050.0,8882.0,8862.0,9048.0,9138.0,8946.0,8880.0,9024.0,8984.0,9140.0,9126.0,9032.0,9146.0,9072.0,9126.0,8958.0,9098.0,9166.0,9210.0,9154.0,9092.0,8958.0,9060.0,9144.0,9084.0,9108.0,9136.0,9136.0,8992.0,9206.0,9058.0,9058.0,9078.0,9114.0,9158.0,9188.0,8928.0,9072.0,9020.0,9076.0,9364.0,8964.0,8982.0,9152.0,8862.0,9364.0,9078.0,6.7444,97.3433,9475.7159
H,8376.0,8514.0,8460.0,8596.0,8532.0,8588.0,8710.0,8542.0,8610.0,8722.0,8554.0,8400.0,8584.0,8634.0,8704.0,8540.0,8510.0,8418.0,8472.0,8514.0,8502.0,8490.0,8526.0,8498.0,8680.0,8344.0,8610.0,8504.0,8360.0,8464.0,8638.0,8618.0,8666.0,8426.0,8436.0,8452.0,8712.0,8544.0,8566.0,8662.0,8422.0,8352.0,8594.0,8470.0,8504.0,8584.0,8668.0,8552.0,8554.0,8508.0,8344.0,8722.0,8537.0,6.3425,98.905,9782.2057
I,8424.0,8634.0,8534.0,8396.0,8488.0,8352.0,8516.0,8422.0,8344.0,8302.0,8574.0,8490.0,8466.0,8558.0,8322.0,8444.0,8520.0,8580.0,8336.0,8666.0,8480.0,8572.0,8646.0,8316.0,8452.0,8266.0,8480.0,8576.0,8650.0,8554.0,8582.0,8466.0,8464.0,8480.0,8324.0,8584.0,8486.0,8512.0,8504.0,8458.0,8328.0,8542.0,8484.0,8420.0,8424.0,8736.0,8392.0,8422.0,8512.0,8254.0,8254.0,8736.0,8474.0,6.2957,108.6809,11811.5282
N,8418.0,8296.0,8544.0,8474.0,8446.0,8504.0,8548.0,8448.0,8502.0,8342.0,8458.0,8394.0,8420.0,8350.0,8348.0,8578.0,8442.0,8452.0,8266.0,8444.0,8540.0,8382.0,8318.0,8360.0,8312.0,8450.0,8406.0,8472.0,8450.0,8586.0,8540.0,8328.0,8376.0,8406.0,8576.0,8462.0,8528.0,8370.0,8552.0,8404.0,8524.0,8484.0,8558.0,8502.0,8362.0,8416.0,8458.0,8510.0,8350.0,8670.0,8266.0,8670.0,8446.0,6.2749,87.7025,7691.7241
S,8028.0,8178.0,8052.0,8026.0,8048.0,8052.0,8192.0,8062.0,7916.0,8020.0,8186.0,8100.0,8152.0,8054.0,8122.0,8040.0,8096.0,8134.0,8164.0,8128.0,7868.0,7950.0,8084.0,8158.0,8188.0,7982.0,8062.0,8122.0,8022.0,8100.0,8136.0,7980.0,8142.0,8050.0,8166.0,8020.0,8154.0,8136.0,8172.0,8176.0,8194.0,8116.0,8124.0,8204.0,8216.0,8260.0,8034.0,8024.0,8126.0,8300.0,7868.0,8300.0,8100.0,6.0178,86.0027,7396.4669
D,6054.0,5992.0,5986.0,6140.0,5926.0,6098.0,6228.0,6204.0,5888.0,6024.0,6130.0,6012.0,6050.0,6050.0,6040.0,5962.0,6118.0,6098.0,6010.0,6154.0,6016.0,6064.0,6250.0,6014.0,6108.0,6192.0,6052.0,6228.0,6018.0,5990.0,6164.0,6054.0,6094.0,6070.0,6100.0,6010.0,6128.0,6112.0,6080.0,6122.0,6090.0,6174.0,6174.0,6158.0,6080.0,6062.0,5974.0,5948.0,6158.0,6058.0,5888.0,6250.0,6078.0,4.5156,81.0627,6571.169
L,5972.0,6082.0,5914.0,5956.0,5910.0,5910.0,5872.0,6058.0,5978.0,6054.0,5912.0,5926.0,6048.0,6054.0,5948.0,5868.0,6004.0,5820.0,5852.0,5878.0,5880.0,5938.0,5868.0,5832.0,5914.0,6056.0,5744.0,5916.0,5840.0,5978.0,5894.0,5910.0,5908.0,5884.0,5868.0,5992.0,5802.0,5958.0,5822.0,5992.0,5850.0,6030.0,5998.0,5954.0,5942.0,5984.0,6050.0,5980.0,5986.0,5986.0,5744.0,6082.0,5935.0,4.4094,77.2687,5970.4555
U,4516.0,4594.0,4692.0,4594.0,4578.0,4566.0,4528.0,4526.0,4726.0,4602.0,4576.0,4492.0,4534.0,4604.0,4646.0,4600.0,4600.0,4680.0,4616.0,4528.0,4544.0,4546.0,4626.0,4660.0,4596.0,4590.0,4612.0,4646.0,4670.0,4608.0,4644.0,4632.0,4586.0,4558.0,4566.0,4616.0,4644.0,4626.0,4678.0,4642.0,4700.0,4556.0,4604.0,4700.0,4606.0,4634.0,4596.0,4676.0,4618.0,4656.0,4492.0,4726.0,4608.0,3.4235,52.9591,2804.671
M,4004.0,3886.0,4050.0,4048.0,3962.0,4008.0,4086.0,3898.0,3922.0,3966.0,3942.0,3974.0,3848.0,4044.0,3986.0,3890.0,3910.0,3936.0,3920.0,3954.0,3972.0,3976.0,3984.0,3952.0,3964.0,3950.0,4044.0,3954.0,4010.0,3978.0,3852.0,3940.0,4046.0,3986.0,4080.0,3952.0,3916.0,4000.0,3926.0,4150.0,4006.0,3964.0,3986.0,3972.0,3954.0,3878.0,3984.0,3970.0,4034.0,3996.0,3848.0,4150.0,3972.0,2.951,59.4797,3537.8367
Y,3572.0,3638.0,3680.0,3692.0,3560.0,3704.0,3640.0,3748.0,3656.0,3620.0,3730.0,3678.0,3614.0,3570.0,3600.0,3618.0,3654.0,3714.0,3710.0,3638.0,3588.0,3562.0,3640.0,3636.0,3592.0,3642.0,3658.0,3676.0,3732.0,3660.0,3626.0,3604.0,3644.0,3652.0,3638.0,3646.0,3666.0,3794.0,3740.0,3638.0,3718.0,3578.0,3678.0,3678.0,3670.0,3636.0,3656.0,3854.0,3648.0,3650.0,3560.0,3854.0,3656.0,2.7162,57.7083,3330.2465
C,3534.0,3470.0,3568.0,3602.0,3506.0,3508.0,3454.0,3530.0,3574.0,3548.0,3446.0,3466.0,3490.0,3570.0,3436.0,3532.0,3534.0,3460.0,3574.0,3562.0,3556.0,3532.0,3566.0,3468.0,3582.0,3564.0,3570.0,3488.0,3516.0,3508.0,3556.0,3540.0,3498.0,3444.0,3456.0,3420.0,3614.0,3532.0,3476.0,3594.0,3550.0,3526.0,3494.0,3548.0,3560.0,3582.0,3492.0,3644.0,3508.0,3468.0,3420.0,3644.0,3524.0,2.6181,51.0644,2607.569
W,2924.0,2996.0,2990.0,3034.0,3074.0,3016.0,3050.0,3000.0,3064.0,3072.0,3040.0,3004.0,2974.0,3066.0,3050.0,3004.0,2968.0,3038.0,3068.0,2930.0,3016.0,3054.0,2942.0,2938.0,3004.0,2930.0,2896.0,2950.0,3042.0,2990.0,3042.0,2980.0,2992.0,2988.0,3002.0,2960.0,2964.0,3030.0,3092.0,3046.0,2888.0,3064.0,3000.0,3002.0,3014.0,2942.0,3048.0,3018.0,2970.0,2928.0,2888.0,3092.0,3001.0,2.2296,49.833,2483.3322
G,2936.0,2860.0,3004.0,2908.0,2910.0,2876.0,3002.0,3022.0,2924.0,3010.0,3004.0,2998.0,3132.0,2960.0,2992.0,2930.0,2908.0,2932.0,2924.0,2992.0,2928.0,2968.0,2922.0,2900.0,2976.0,2846.0,2976.0,2930.0,2930.0,2988.0,3012.0,2904.0,2980.0,2922.0,3000.0,2942.0,2902.0,2958.0,2894.0,2912.0,2956.0,2914.0,2834.0,2988.0,2830.0,2928.0,2986.0,3006.0,2976.0,2996.0,2830.0,3132.0,2948.0,2.1902,55.5581,3086.7004
F,2604.0,2640.0,2660.0,2604.0,2672.0,2712.0,2728.0,2686.0,2674.0,2650.0,2626.0,2650.0,2708.0,2722.0,2636.0,2640.0,2684.0,2614.0,2650.0,2668.0,2634.0,2730.0,2602.0,2790.0,2728.0,2684.0,2732.0,2664.0,2652.0,2604.0,2772.0,2660.0,2750.0,2612.0,2690.0,2720.0,2694.0,2658.0,2630.0,2638.0,2658.0,2734.0,2726.0,2730.0,2684.0,2688.0,2636.0,2690.0,2612.0,2794.0,2602.0,2794.0,2676.0,1.9881,49.4947,2449.7241
