letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,26,26,28,24,25,28,26,26,27,27,26,27,27,26,28,27,28,26,28,26,26,27,26,25,27,27,27,26,28,28,27,28,29,27,26,28,27,28,28,29,24,27,27,27,28,27,27,25,26,27,24,29,26.0,3.9755,1.1192,1.2527,19776.0
N,26,25,25,24,24,26,24,26,21,24,25,27,24,24,22,24,25,23,24,24,24,23,24,23,25,24,26,24,24,26,25,25,25,24,21,24,21,23,23,24,24,26,25,25,25,24,24,25,25,25,21,27,24.0,3.6697,1.2747,1.6249,9887.0
A,23,24,24,24,26,26,24,24,23,23,25,24,22,25,25,23,22,24,25,24,25,25,24,25,25,26,24,24,22,25,23,25,25,24,22,24,25,26,23,24,24,25,22,22,25,26,23,26,23,23,22,26,24.0,3.6697,1.1995,1.4388,9887.0
I,24,26,25,23,25,23,24,23,24,24,24,25,21,26,27,24,25,25,24,25,25,24,25,26,24,24,24,24,23,24,24,24,26,26,24,26,25,26,24,23,25,26,24,24,22,23,23,23,26,24,21,27,24.0,3.6697,1.1911,1.4188,9887.0
T,25,25,25,23,27,23,25,25,23,24,24,24,22,24,23,25,25,24,24,24,27,24,26,24,24,23,25,25,23,22,25,24,25,25,25,24,24,23,25,25,26,24,24,24,24,25,23,23,26,23,22,27,24.0,3.6697,1.1073,1.2261,9887.0
O,23,23,24,26,24,25,21,25,25,22,25,23,24,24,23,25,25,24,24,23,23,23,23,25,25,23,25,23,24,26,26,25,24,24,23,24,23,23,24,26,26,23,24,22,24,24,25,24,24,24,21,26,24.0,3.6697,1.1249,1.2653,9887.0
R,26,25,25,23,26,25,24,26,25,27,27,25,24,25,22,24,24,25,25,24,23,25,25,24,26,26,25,27,24,24,25,27,24,24,24,25,25,25,22,24,25,25,25,24,26,22,24,24,23,26,22,27,24.0,3.6697,1.2164,1.4796,9887.0
U,25,26,25,25,23,25,26,24,25,24,25,27,24,25,26,23,25,25,25,24,23,24,24,25,23,24,26,23,25,26,24,24,24,23,23,25,24,27,25,24,23,23,25,23,27,23,20,24,25,24,20,27,24.0,3.6697,1.2936,1.6735,9887.0
S,26,24,25,22,25,25,25,25,25,24,24,26,26,24,27,26,25,23,24,25,27,24,26,27,25,24,24,25,26,25,23,23,24,25,25,24,25,26,26,24,26,24,27,25,25,25,26,23,23,24,22,27,24.0,3.6697,1.1669,1.3616,9887.0
L,22,21,24,24,23,24,24,25,24,24,24,23,26,25,26,21,24,23,24,24,26,24,24,24,25,21,24,24,23,25,24,22,24,22,23,24,22,26,23,25,24,20,24,21,22,23,23,25,23,24,20,26,23.0,3.5168,1.3864,1.922,6991.0
M,21,23,23,24,23,21,22,21,23,22,22,22,22,24,21,23,20,22,24,21,25,22,26,23,20,22,21,22,23,22,23,22,20,23,23,21,22,22,23,22,25,21,22,21,22,21,23,22,22,23,20,26,22.0,3.3639,1.2586,1.5841,4943.0
D,21,24,23,22,24,22,23,23,24,23,24,22,25,22,22,23,24,21,24,21,22,22,24,23,23,24,25,22,26,23,22,22,22,23,23,20,25,21,22,21,24,22,21,23,22,21,21,20,23,21,20,26,22.0,3.3639,1.3553,1.8367,4943.0
