letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,19776.0,19776.0,39553.0,9887.0,13983.0,39553.0,19776.0,19776.0,27968.0,27968.0,19776.0,27968.0,27968.0,19776.0,39553.0,27968.0,39553.0,19776.0,39553.0,19776.0,19776.0,27968.0,19776.0,13983.0,27968.0,27968.0,27968.0,19776.0,39553.0,39553.0,27968.0,39553.0,55937.0,27968.0,19776.0,39553.0,27968.0,39553.0,39553.0,55937.0,9887.0,27968.0,27968.0,27968.0,39553.0,27968.0,27968.0,13983.0,19776.0,27968.0,9887.0,55937.0,28174.0,15.6024,10386.3502,107876270.8265
S,19776.0,9887.0,13983.0,4943.0,13983.0,13983.0,13983.0,13983.0,13983.0,9887.0,9887.0,19776.0,19776.0,9887.0,27968.0,19776.0,13983.0,6991.0,9887.0,13983.0,27968.0,9887.0,19776.0,27968.0,13983.0,9887.0,9887.0,13983.0,19776.0,13983.0,6991.0,6991.0,9887.0,13983.0,13983.0,9887.0,13983.0,19776.0,19776.0,9887.0,19776.0,9887.0,27968.0,13983.0,13983.0,13983.0,19776.0,6991.0,6991.0,9887.0,4943.0,27968.0,14315.0,7.9275,5814.5653,33809169.3943
R,19776.0,13983.0,13983.0,6991.0,19776.0,13983.0,9887.0,19776.0,13983.0,27968.0,27968.0,13983.0,9887.0,13983.0,4943.0,9887.0,9887.0,13983.0,13983.0,9887.0,6991.0,13983.0,13983.0,9887.0,19776.0,19776.0,13983.0,27968.0,9887.0,9887.0,13983.0,27968.0,9887.0,9887.0,9887.0,13983.0,13983.0,13983.0,4943.0,9887.0,13983.0,13983.0,13983.0,9887.0,19776.0,4943.0,9887.0,9887.0,6991.0,19776.0,4943.0,27968.0,13722.0,7.5991,5815.7363,33822788.4592
U,13983.0,19776.0,13983.0,13983.0,6991.0,13983.0,19776.0,9887.0,13983.0,9887.0,13983.0,27968.0,9887.0,13983.0,19776.0,6991.0,13983.0,13983.0,13983.0,9887.0,6991.0,9887.0,9887.0,13983.0,6991.0,9887.0,19776.0,6991.0,13983.0,19776.0,9887.0,9887.0,9887.0,6991.0,6991.0,13983.0,9887.0,27968.0,13983.0,9887.0,6991.0,6991.0,13983.0,6991.0,27968.0,6991.0,2471.0,9887.0,13983.0,9887.0,2471.0,27968.0,12486.0,6.9146,5620.0558,31585027.1412
I,9887.0,19776.0,13983.0,6991.0,13983.0,6991.0,9887.0,6991.0,9887.0,9887.0,9887.0,13983.0,3495.0,19776.0,27968.0,9887.0,13983.0,13983.0,9887.0,13983.0,13983.0,9887.0,13983.0,19776.0,9887.0,9887.0,9887.0,9887.0,6991.0,9887.0,9887.0,9887.0,19776.0,19776.0,9887.0,19776.0,13983.0,19776.0,9887.0,6991.0,13983.0,19776.0,9887.0,9887.0,4943.0,6991.0,6991.0,6991.0,19776.0,9887.0,3495.0,27968.0,12157.0,6.7324,5049.5572,25498028.3494
N,19776.0,13983.0,13983.0,9887.0,9887.0,19776.0,9887.0,19776.0,3495.0,9887.0,13983.0,27968.0,9887.0,9887.0,4943.0,9887.0,13983.0,6991.0,9887.0,9887.0,9887.0,6991.0,9887.0,6991.0,13983.0,9887.0,19776.0,9887.0,9887.0,19776.0,13983.0,13983.0,13983.0,9887.0,3495.0,9887.0,3495.0,6991.0,6991.0,9887.0,9887.0,19776.0,13983.0,13983.0,13983.0,9887.0,9887.0,13983.0,13983.0,13983.0,3495.0,27968.0,11810.0,6.5402,4849.9456,23521972.518
T,13983.0,13983.0,13983.0,6991.0,27968.0,6991.0,13983.0,13983.0,6991.0,9887.0,9887.0,9887.0,4943.0,9887.0,6991.0,13983.0,13983.0,9887.0,9887.0,9887.0,27968.0,9887.0,19776.0,9887.0,9887.0,6991.0,13983.0,13983.0,6991.0,4943.0,13983.0,9887.0,13983.0,13983.0,13983.0,9887.0,9887.0,6991.0,13983.0,13983.0,19776.0,9887.0,9887.0,9887.0,9887.0,13983.0,6991.0,6991.0,19776.0,6991.0,4943.0,27968.0,11737.0,6.4998,4901.5284,24024980.9637
A,6991.0,9887.0,9887.0,9887.0,19776.0,19776.0,9887.0,9887.0,6991.0,6991.0,13983.0,9887.0,4943.0,13983.0,13983.0,6991.0,4943.0,9887.0,13983.0,9887.0,13983.0,13983.0,9887.0,13983.0,13983.0,19776.0,9887.0,9887.0,4943.0,13983.0,6991.0,13983.0,13983.0,9887.0,4943.0,9887.0,13983.0,19776.0,6991.0,9887.0,9887.0,13983.0,4943.0,4943.0,13983.0,19776.0,6991.0,19776.0,6991.0,6991.0,4943.0,19776.0,11106.0,6.1504,4448.0609,19785246.1224
O,6991.0,6991.0,9887.0,19776.0,9887.0,13983.0,3495.0,13983.0,13983.0,4943.0,13983.0,6991.0,9887.0,9887.0,6991.0,13983.0,13983.0,9887.0,9887.0,6991.0,6991.0,6991.0,6991.0,13983.0,13983.0,6991.0,13983.0,6991.0,9887.0,19776.0,19776.0,13983.0,9887.0,9887.0,6991.0,9887.0,6991.0,6991.0,9887.0,19776.0,19776.0,6991.0,9887.0,4943.0,9887.0,9887.0,13983.0,9887.0,9887.0,9887.0,3495.0,19776.0,10640.0,5.8923,4170.5459,17393453.3555
L,4943.0,3495.0,9887.0,9887.0,6991.0,9887.0,9887.0,13983.0,9887.0,9887.0,9887.0,6991.0,19776.0,13983.0,19776.0,3495.0,9887.0,6991.0,9887.0,9887.0,19776.0,9887.0,9887.0,9887.0,13983.0,3495.0,9887.0,9887.0,6991.0,13983.0,9887.0,4943.0,9887.0,4943.0,6991.0,9887.0,4943.0,19776.0,6991.0,13983.0,9887.0,2471.0,9887.0,3495.0,4943.0,6991.0,6991.0,13983.0,6991.0,9887.0,2471.0,19776.0,9494.0,5.2576,4286.2996,18372364.6139
