letter,exp 1,minimum,maximum,average,average_percent,STD,VAR,estimate
E,27362,27362,27362,27362.0,15.2208,,,27362.0
S,14613,14613,14613,14613.0,8.1289,,,14613.0
R,13527,13527,13527,13527.0,7.5247,,,13527.0
A,12369,12369,12369,12369.0,6.8806,,,12369.0
N,12222,12222,12222,12222.0,6.7988,,,12222.0
I,12200,12200,12200,12200.0,6.7866,,,12200.0
T,11732,11732,11732,11732.0,6.5262,,,11732.0
U,11186,11186,11186,11186.0,6.2225,,,11186.0
O,10956,10956,10956,10956.0,6.0946,,,10956.0
L,8904,8904,8904,8904.0,4.9531,,,8904.0
D,6481,6481,6481,6481.0,3.6052,,,6481.0
C,5874,5874,5874,5874.0,3.2676,,,5874.0
M,5786,5786,5786,5786.0,3.2186,,,5786.0
P,4489,4489,4489,4489.0,2.4971,,,4489.0
V,3353,3353,3353,3353.0,1.8652,,,3353.0
É,2915,2915,2915,2915.0,1.6215,,,2915.0
Q,2146,2146,2146,2146.0,1.1938,,,2146.0
H,2057,2057,2057,2057.0,1.1443,,,2057.0
G,2018,2018,2018,2018.0,1.1226,,,2018.0
F,1802,1802,1802,1802.0,1.0024,,,1802.0
B,1771,1771,1771,1771.0,0.9852,,,1771.0
J,1349,1349,1349,1349.0,0.7504,,,1349.0
À,839,839,839,839.0,0.4667,,,839.0
Y,751,751,751,751.0,0.4178,,,751.0
X,678,678,678,678.0,0.3772,,,678.0
È,550,550,550,550.0,0.306,,,550.0
Z,494,494,494,494.0,0.2748,,,494.0
Ê,375,375,375,375.0,0.2086,,,375.0
K,305,305,305,305.0,0.1697,,,305.0
Â,216,216,216,216.0,0.1202,,,216.0
Î,104,104,104,104.0,0.0579,,,104.0
Ô,97,97,97,97.0,0.054,,,97.0
Ù,74,74,74,74.0,0.0412,,,74.0
W,63,63,63,63.0,0.035,,,63.0
Û,58,58,58,58.0,0.0323,,,58.0
Ç,43,43,43,43.0,0.0239,,,43.0
Ï,6,6,6,6.0,0.0033,,,6.0
Ë,2,2,2,2.0,0.0011,,,2.0
