letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,13749,13701,13800,13627,13768,13675,13575,13697,13702,13567,13668,13732,13698,13749,13688,13733,13701,13625,13630,13659,13583,13784,13577,13743,13872,13651,13664,13662,13737,13563,13740,13724,13627,13647,13667,13760,13623,13616,13842,13525,13769,13592,13670,13713,13755,13802,13866,13778,13531,13862,13525,13872,13693.0,15.2414,86.0703,7408.0935,27386.0
S,7300,7327,7430,7342,7404,7273,7324,7344,7312,7335,7272,7311,7323,7379,7252,7253,7385,7200,7281,7352,7331,7204,7300,7287,7222,7265,7244,7295,7330,7317,7348,7342,7319,7329,7255,7161,7253,7380,7233,7274,7313,7242,7223,7217,7389,7265,7340,7285,7301,7325,7161,7430,7299.0,8.1244,56.7193,3217.0841,14598.0
R,6710,6802,6805,6722,6736,6729,6740,6779,6718,6848,6775,6834,6860,6792,6792,6731,6729,6672,6691,6875,6790,6769,6764,6738,6745,6752,6739,6725,6845,6857,6758,6766,6775,6809,6769,6848,6775,6880,6681,6709,6786,6740,6927,6765,6799,6828,6784,6849,6697,6752,6672,6927,6775.0,7.5411,56.2303,3161.8486,13550.0
A,6176,6185,6214,6219,6178,6201,6179,6126,6287,6207,6109,6220,6134,6183,6174,6153,6132,6183,6155,6255,6200,6135,6120,6252,6229,6216,6202,6123,6144,6076,6243,6215,6217,6110,6205,6160,6235,6269,6235,6241,6116,6248,6197,6180,6115,6120,6180,6150,6138,6134,6076,6287,6181.0,6.8799,49.2359,2424.1735,12362.0
N,6066,6122,6142,6135,6126,6149,6172,6039,6093,6086,6099,6107,6118,6146,6075,6063,6158,6245,6064,6079,6099,6044,6037,6084,6177,6096,6063,5961,6117,6152,6138,6126,6119,6035,6096,6093,6145,6037,6114,6018,6163,6198,6032,6167,6038,6187,6079,6141,6154,6011,5961,6245,6104.0,6.7942,55.3944,3068.5408,12208.0
I,6089,6142,6103,6064,6131,6109,6091,6162,6025,6072,6043,6092,6121,6179,6148,6040,6124,6113,6183,6098,6094,6038,6123,6144,6107,6083,6058,6054,6087,6180,6054,6165,6095,5993,6093,6103,6145,6090,6024,6045,6182,6182,6120,6051,6055,6059,6089,6097,6138,6121,5993,6183,6099.0,6.7887,46.5118,2163.3453,12198.0
T,5931,5896,5816,5881,5942,5831,5927,5833,5816,5940,5787,5857,5921,5893,5862,5914,5908,5881,5867,5851,5941,5818,5831,5939,5846,5980,5924,5869,5849,5869,5899,5838,5863,5887,5849,5954,5806,5795,5850,5825,5811,5800,5787,5791,5982,5936,5780,5853,5890,5844,5780,5982,5869.0,6.5327,53.5377,2866.2857,11738.0
U,5529,5609,5561,5561,5589,5588,5584,5601,5608,5603,5563,5562,5576,5577,5640,5609,5520,5586,5634,5629,5578,5546,5623,5586,5574,5591,5623,5586,5563,5542,5645,5598,5663,5497,5554,5617,5629,5592,5547,5664,5608,5540,5662,5590,5637,5622,5620,5537,5583,5560,5497,5664,5590.0,6.2221,38.0524,1447.9853,11180.0
O,5400,5428,5539,5483,5435,5349,5399,5410,5458,5458,5453,5407,5372,5524,5531,5478,5449,5451,5431,5428,5503,5496,5499,5526,5461,5536,5523,5526,5499,5441,5550,5446,5478,5453,5468,5394,5378,5563,5404,5535,5440,5515,5474,5452,5444,5510,5514,5529,5572,5557,5349,5572,5471.0,6.0896,54.676,2989.4649,10942.0
L,4408,4446,4480,4394,4510,4432,4461,4426,4460,4411,4526,4444,4449,4463,4437,4452,4490,4468,4492,4435,4462,4383,4416,4465,4445,4401,4396,4511,4433,4485,4445,4364,4411,4464,4486,4496,4399,4405,4430,4497,4478,4489,4452,4456,4433,4432,4390,4424,4394,4433,4364,4526,4445.0,4.9476,37.2524,1387.7424,8890.0
