letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,27498.0,27402.0,27600.0,27254.0,27536.0,27350.0,27150.0,27394.0,27404.0,27134.0,27336.0,27464.0,27396.0,27498.0,27376.0,27466.0,27402.0,27250.0,27260.0,27318.0,27166.0,27568.0,27154.0,27486.0,27744.0,27302.0,27328.0,27324.0,27474.0,27126.0,27480.0,27448.0,27254.0,27294.0,27334.0,27520.0,27246.0,27232.0,27684.0,27050.0,27538.0,27184.0,27340.0,27426.0,27510.0,27604.0,27732.0,27556.0,27062.0,27724.0,27050.0,27744.0,27387.0,15.2407,172.1406,29632.3739
S,14600.0,14654.0,14860.0,14684.0,14808.0,14546.0,14648.0,14688.0,14624.0,14670.0,14544.0,14622.0,14646.0,14758.0,14504.0,14506.0,14770.0,14400.0,14562.0,14704.0,14662.0,14408.0,14600.0,14574.0,14444.0,14530.0,14488.0,14590.0,14660.0,14634.0,14696.0,14684.0,14638.0,14658.0,14510.0,14322.0,14506.0,14760.0,14466.0,14548.0,14626.0,14484.0,14446.0,14434.0,14778.0,14530.0,14680.0,14570.0,14602.0,14650.0,14322.0,14860.0,14599.0,8.1242,113.4387,12868.3363
R,13420.0,13604.0,13610.0,13444.0,13472.0,13458.0,13480.0,13558.0,13436.0,13696.0,13550.0,13668.0,13720.0,13584.0,13584.0,13462.0,13458.0,13344.0,13382.0,13750.0,13580.0,13538.0,13528.0,13476.0,13490.0,13504.0,13478.0,13450.0,13690.0,13714.0,13516.0,13532.0,13550.0,13618.0,13538.0,13696.0,13550.0,13760.0,13362.0,13418.0,13572.0,13480.0,13854.0,13530.0,13598.0,13656.0,13568.0,13698.0,13394.0,13504.0,13344.0,13854.0,13550.0,7.5405,112.4606,12647.3943
A,12352.0,12370.0,12428.0,12438.0,12356.0,12402.0,12358.0,12252.0,12574.0,12414.0,12218.0,12440.0,12268.0,12366.0,12348.0,12306.0,12264.0,12366.0,12310.0,12510.0,12400.0,12270.0,12240.0,12504.0,12458.0,12432.0,12404.0,12246.0,12288.0,12152.0,12486.0,12430.0,12434.0,12220.0,12410.0,12320.0,12470.0,12538.0,12470.0,12482.0,12232.0,12496.0,12394.0,12360.0,12230.0,12240.0,12360.0,12300.0,12276.0,12268.0,12152.0,12574.0,12363.0,6.8799,98.4718,9696.6939
N,12132.0,12244.0,12284.0,12270.0,12252.0,12298.0,12344.0,12078.0,12186.0,12172.0,12198.0,12214.0,12236.0,12292.0,12150.0,12126.0,12316.0,12490.0,12128.0,12158.0,12198.0,12088.0,12074.0,12168.0,12354.0,12192.0,12126.0,11922.0,12234.0,12304.0,12276.0,12252.0,12238.0,12070.0,12192.0,12186.0,12290.0,12074.0,12228.0,12036.0,12326.0,12396.0,12064.0,12334.0,12076.0,12374.0,12158.0,12282.0,12308.0,12022.0,11922.0,12490.0,12208.0,6.7937,110.7888,12274.1633
I,12178.0,12284.0,12206.0,12128.0,12262.0,12218.0,12182.0,12324.0,12050.0,12144.0,12086.0,12184.0,12242.0,12358.0,12296.0,12080.0,12248.0,12226.0,12366.0,12196.0,12188.0,12076.0,12246.0,12288.0,12214.0,12166.0,12116.0,12108.0,12174.0,12360.0,12108.0,12330.0,12190.0,11986.0,12186.0,12206.0,12290.0,12180.0,12048.0,12090.0,12364.0,12364.0,12240.0,12102.0,12110.0,12118.0,12178.0,12194.0,12276.0,12242.0,11986.0,12366.0,12199.0,6.7886,93.0236,8653.3812
T,11862.0,11792.0,11632.0,11762.0,11884.0,11662.0,11854.0,11666.0,11632.0,11880.0,11574.0,11714.0,11842.0,11786.0,11724.0,11828.0,11816.0,11762.0,11734.0,11702.0,11882.0,11636.0,11662.0,11878.0,11692.0,11960.0,11848.0,11738.0,11698.0,11738.0,11798.0,11676.0,11726.0,11774.0,11698.0,11908.0,11612.0,11590.0,11700.0,11650.0,11622.0,11600.0,11574.0,11582.0,11964.0,11872.0,11560.0,11706.0,11780.0,11688.0,11560.0,11964.0,11738.0,6.5321,107.0754,11465.1429
U,11058.0,11218.0,11122.0,11122.0,11178.0,11176.0,11168.0,11202.0,11216.0,11206.0,11126.0,11124.0,11152.0,11154.0,11280.0,11218.0,11040.0,11172.0,11268.0,11258.0,11156.0,11092.0,11246.0,11172.0,11148.0,11182.0,11246.0,11172.0,11126.0,11084.0,11290.0,11196.0,11326.0,10994.0,11108.0,11234.0,11258.0,11184.0,11094.0,11328.0,11216.0,11080.0,11324.0,11180.0,11274.0,11244.0,11240.0,11074.0,11166.0,11120.0,10994.0,11328.0,11180.0,6.2216,76.1048,5791.9412
O,10800.0,10856.0,11078.0,10966.0,10870.0,10698.0,10798.0,10820.0,10916.0,10916.0,10906.0,10814.0,10744.0,11048.0,11062.0,10956.0,10898.0,10902.0,10862.0,10856.0,11006.0,10992.0,10998.0,11052.0,10922.0,11072.0,11046.0,11052.0,10998.0,10882.0,11100.0,10892.0,10956.0,10906.0,10936.0,10788.0,10756.0,11126.0,10808.0,11070.0,10880.0,11030.0,10948.0,10904.0,10888.0,11020.0,11028.0,11058.0,11144.0,11114.0,10698.0,11144.0,10942.0,6.0891,109.352,11957.8596
L,8816.0,8892.0,8960.0,8788.0,9020.0,8864.0,8922.0,8852.0,8920.0,8822.0,9052.0,8888.0,8898.0,8926.0,8874.0,8904.0,8980.0,8936.0,8984.0,8870.0,8924.0,8766.0,8832.0,8930.0,8890.0,8802.0,8792.0,9022.0,8866.0,8970.0,8890.0,8728.0,8822.0,8928.0,8972.0,8992.0,8798.0,8810.0,8860.0,8994.0,8956.0,8978.0,8904.0,8912.0,8866.0,8864.0,8780.0,8848.0,8788.0,8866.0,8728.0,9052.0,8890.0,4.9472,74.5048,5550.9698
D,6474.0,6378.0,6534.0,6570.0,6582.0,6474.0,6384.0,6526.0,6448.0,6602.0,6424.0,6450.0,6430.0,6436.0,6346.0,6570.0,6522.0,6468.0,6556.0,6426.0,6644.0,6456.0,6550.0,6552.0,6198.0,6390.0,6444.0,6452.0,6532.0,6524.0,6344.0,6456.0,6484.0,6528.0,6490.0,6498.0,6516.0,6418.0,6486.0,6400.0,6388.0,6590.0,6466.0,6498.0,6498.0,6428.0,6538.0,6630.0,6394.0,6500.0,6198.0,6644.0,6477.0,3.6044,81.7031,6675.4024
C,5926.0,5874.0,5834.0,5912.0,5962.0,5876.0,5866.0,6002.0,5862.0,5876.0,5784.0,5870.0,5898.0,5638.0,5808.0,5914.0,5994.0,6010.0,5784.0,5878.0,5852.0,5872.0,5870.0,5866.0,5806.0,5778.0,5916.0,5788.0,5906.0,5890.0,5668.0,5868.0,5794.0,5864.0,5962.0,5760.0,5822.0,5814.0,5836.0,5752.0,5910.0,5850.0,5842.0,5920.0,5900.0,5836.0,5872.0,5842.0,5952.0,5960.0,5638.0,6010.0,5862.0,3.2622,74.7674,5590.1649
M,5862.0,5842.0,5762.0,5904.0,5734.0,5782.0,5782.0,5780.0,5778.0,5840.0,5718.0,5830.0,5824.0,5774.0,5682.0,5812.0,5684.0,5846.0,5702.0,5674.0,5690.0,5636.0,5764.0,5744.0,5724.0,5888.0,5762.0,5702.0,5860.0,5940.0,5868.0,5932.0,5850.0,5730.0,5732.0,5720.0,5832.0,5738.0,5932.0,5700.0,5734.0,5730.0,5696.0,5698.0,5744.0,5776.0,5826.0,5796.0,5716.0,5854.0,5636.0,5940.0,5778.0,3.2154,74.9278,5614.1731
P,4450.0,4504.0,4616.0,4432.0,4530.0,4352.0,4464.0,4562.0,4528.0,4514.0,4470.0,4556.0,4500.0,4532.0,4532.0,4544.0,4434.0,4602.0,4450.0,4622.0,4550.0,4432.0,4456.0,4498.0,4484.0,4472.0,4464.0,4390.0,4432.0,4494.0,4492.0,4504.0,4514.0,4574.0,4464.0,4588.0,4416.0,4482.0,4448.0,4544.0,4410.0,4500.0,4496.0,4466.0,4476.0,4392.0,4482.0,4508.0,4490.0,4546.0,4352.0,4622.0,4493.0,2.5003,58.2802,3396.5861
V,3378.0,3336.0,3244.0,3456.0,3284.0,3388.0,3352.0,3350.0,3428.0,3350.0,3428.0,3302.0,3222.0,3426.0,3398.0,3334.0,3398.0,3380.0,3256.0,3384.0,3346.0,3410.0,3308.0,3412.0,3260.0,3426.0,3372.0,3342.0,3378.0,3326.0,3398.0,3292.0,3378.0,3310.0,3326.0,3336.0,3290.0,3372.0,3384.0,3244.0,3408.0,3298.0,3414.0,3368.0,3344.0,3370.0,3344.0,3386.0,3406.0,3364.0,3222.0,3456.0,3354.0,1.8665,54.7147,2993.6996
É,2848.0,2950.0,2918.0,3018.0,2990.0,2878.0,2910.0,2882.0,2832.0,2894.0,2898.0,2878.0,2862.0,2920.0,2910.0,2938.0,2896.0,2916.0,2894.0,2974.0,2922.0,2896.0,2888.0,2966.0,2962.0,2910.0,2850.0,2970.0,2914.0,2982.0,2936.0,2942.0,3000.0,2872.0,2868.0,2924.0,2954.0,2912.0,2938.0,2880.0,2960.0,2936.0,2852.0,2804.0,2924.0,2788.0,2994.0,2932.0,2798.0,2854.0,2788.0,3018.0,2910.0,1.6194,52.0214,2706.222
Q,2112.0,2094.0,2194.0,2192.0,2186.0,2112.0,2142.0,2150.0,2178.0,2242.0,2158.0,2102.0,2152.0,2158.0,2064.0,2124.0,2118.0,2116.0,2120.0,2146.0,2110.0,2132.0,2110.0,2118.0,2160.0,2096.0,2228.0,2062.0,2136.0,2194.0,2100.0,2098.0,2166.0,2172.0,2090.0,2074.0,2142.0,2110.0,2102.0,2176.0,2124.0,2130.0,2044.0,2138.0,2114.0,2194.0,2140.0,2222.0,2120.0,2134.0,2044.0,2242.0,2135.0,1.1881,42.7713,1829.3812
H,2056.0,2054.0,2022.0,2036.0,2010.0,2002.0,2046.0,2082.0,2004.0,2058.0,1996.0,2102.0,2022.0,2110.0,2024.0,2030.0,2006.0,2060.0,2104.0,2102.0,2004.0,2136.0,2020.0,2038.0,1936.0,2006.0,2050.0,2100.0,2092.0,2062.0,2086.0,2034.0,1978.0,2092.0,2022.0,2038.0,2082.0,2020.0,2048.0,2038.0,2090.0,2086.0,2084.0,2090.0,2078.0,2072.0,2036.0,2054.0,2088.0,2042.0,1936.0,2136.0,2050.0,1.1408,39.6187,1569.6392
G,1994.0,2022.0,1998.0,2028.0,2010.0,1938.0,1954.0,2072.0,2088.0,2024.0,2020.0,2058.0,2028.0,1996.0,2004.0,2000.0,2004.0,1948.0,1926.0,2092.0,2064.0,2014.0,2026.0,2092.0,2084.0,2094.0,1994.0,2020.0,1994.0,2044.0,1996.0,1880.0,2062.0,1970.0,2004.0,2076.0,2020.0,2032.0,2004.0,2074.0,2016.0,1958.0,2146.0,1984.0,2054.0,1956.0,2124.0,2040.0,1956.0,2012.0,1880.0,2146.0,2019.0,1.1236,52.1871,2723.4955
F,1890.0,1802.0,1810.0,1730.0,1786.0,1820.0,1758.0,1832.0,1740.0,1730.0,1826.0,1808.0,1792.0,1736.0,1830.0,1828.0,1810.0,1762.0,1816.0,1788.0,1876.0,1780.0,1912.0,1758.0,1886.0,1738.0,1808.0,1770.0,1816.0,1804.0,1768.0,1804.0,1784.0,1860.0,1718.0,1840.0,1834.0,1840.0,1866.0,1756.0,1832.0,1750.0,1792.0,1730.0,1830.0,1830.0,1790.0,1828.0,1878.0,1702.0,1702.0,1912.0,1801.0,1.0022,48.5493,2357.0302
B,1772.0,1788.0,1800.0,1794.0,1788.0,1714.0,1710.0,1778.0,1756.0,1808.0,1790.0,1704.0,1788.0,1814.0,1804.0,1822.0,1780.0,1736.0,1806.0,1714.0,1734.0,1784.0,1808.0,1818.0,1774.0,1706.0,1798.0,1752.0,1754.0,1768.0,1752.0,1764.0,1772.0,1770.0,1734.0,1700.0,1698.0,1790.0,1782.0,1744.0,1810.0,1822.0,1756.0,1792.0,1818.0,1752.0,1746.0,1736.0,1806.0,1720.0,1698.0,1822.0,1768.0,0.9839,36.0969,1302.9894
J,1314.0,1320.0,1426.0,1388.0,1344.0,1306.0,1284.0,1320.0,1332.0,1314.0,1346.0,1378.0,1430.0,1384.0,1282.0,1404.0,1292.0,1342.0,1394.0,1374.0,1360.0,1360.0,1322.0,1318.0,1352.0,1390.0,1336.0,1338.0,1312.0,1326.0,1422.0,1352.0,1376.0,1346.0,1304.0,1392.0,1348.0,1370.0,1332.0,1336.0,1374.0,1430.0,1400.0,1246.0,1330.0,1376.0,1302.0,1308.0,1338.0,1392.0,1246.0,1430.0,1349.0,0.7507,41.4215,1715.7371
À,864.0,814.0,788.0,866.0,872.0,842.0,856.0,822.0,862.0,828.0,862.0,838.0,840.0,860.0,796.0,852.0,778.0,842.0,832.0,832.0,858.0,868.0,868.0,834.0,764.0,814.0,804.0,894.0,840.0,870.0,884.0,832.0,854.0,930.0,856.0,802.0,808.0,860.0,850.0,896.0,840.0,820.0,844.0,856.0,884.0,862.0,858.0,800.0,836.0,830.0,764.0,930.0,843.0,0.4691,31.4828,991.1657
Y,686.0,750.0,788.0,732.0,766.0,734.0,744.0,754.0,770.0,754.0,794.0,754.0,788.0,756.0,764.0,810.0,720.0,746.0,698.0,738.0,708.0,760.0,760.0,744.0,762.0,746.0,758.0,768.0,754.0,698.0,716.0,720.0,766.0,716.0,776.0,782.0,728.0,780.0,776.0,746.0,720.0,750.0,752.0,754.0,740.0,742.0,752.0,808.0,764.0,724.0,686.0,810.0,750.0,0.4174,26.9795,727.8955
X,618.0,694.0,698.0,690.0,674.0,710.0,680.0,656.0,680.0,698.0,666.0,680.0,678.0,662.0,710.0,632.0,692.0,696.0,676.0,668.0,678.0,648.0,710.0,700.0,716.0,616.0,660.0,674.0,644.0,692.0,662.0,648.0,674.0,712.0,676.0,670.0,688.0,664.0,678.0,710.0,688.0,682.0,668.0,698.0,676.0,696.0,674.0,682.0,664.0,640.0,616.0,716.0,676.0,0.3762,23.1065,533.9118
È,570.0,524.0,566.0,532.0,518.0,552.0,544.0,554.0,590.0,530.0,558.0,536.0,540.0,538.0,544.0,548.0,534.0,548.0,546.0,550.0,512.0,568.0,538.0,520.0,528.0,558.0,578.0,564.0,548.0,536.0,538.0,598.0,530.0,560.0,562.0,594.0,536.0,542.0,596.0,580.0,544.0,506.0,552.0,522.0,558.0,560.0,514.0,586.0,516.0,538.0,506.0,598.0,548.0,0.305,22.602,510.8506
Z,488.0,506.0,518.0,492.0,480.0,472.0,474.0,508.0,530.0,482.0,488.0,484.0,436.0,470.0,494.0,472.0,460.0,496.0,474.0,486.0,456.0,512.0,494.0,530.0,476.0,488.0,526.0,488.0,468.0,490.0,486.0,478.0,516.0,454.0,470.0,500.0,470.0,490.0,544.0,500.0,488.0,498.0,486.0,500.0,480.0,498.0,530.0,456.0,466.0,502.0,436.0,544.0,489.0,0.2721,21.9842,483.3061
Ê,402.0,332.0,384.0,396.0,396.0,396.0,360.0,374.0,370.0,374.0,384.0,376.0,366.0,376.0,322.0,394.0,394.0,428.0,350.0,334.0,390.0,386.0,368.0,338.0,376.0,380.0,374.0,366.0,342.0,362.0,390.0,382.0,366.0,380.0,386.0,390.0,400.0,388.0,402.0,366.0,390.0,368.0,380.0,386.0,396.0,368.0,418.0,360.0,390.0,346.0,322.0,428.0,376.0,0.2092,21.3736,456.831
K,288.0,328.0,260.0,270.0,316.0,274.0,318.0,272.0,302.0,306.0,304.0,298.0,310.0,268.0,286.0,332.0,336.0,306.0,312.0,292.0,296.0,320.0,270.0,340.0,286.0,324.0,342.0,300.0,296.0,340.0,296.0,312.0,314.0,284.0,294.0,336.0,308.0,284.0,254.0,318.0,286.0,298.0,282.0,286.0,292.0,308.0,312.0,324.0,296.0,282.0,254.0,342.0,301.0,0.1675,21.677,469.8922
Â,206.0,244.0,206.0,210.0,200.0,202.0,198.0,222.0,222.0,214.0,208.0,190.0,188.0,246.0,230.0,204.0,232.0,212.0,202.0,202.0,230.0,218.0,234.0,202.0,222.0,234.0,202.0,194.0,198.0,238.0,214.0,248.0,210.0,206.0,194.0,204.0,236.0,228.0,224.0,216.0,206.0,196.0,224.0,226.0,220.0,190.0,212.0,204.0,218.0,218.0,188.0,248.0,214.0,0.1191,15.3913,236.8914
