letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,25,25,26,26,24,26,26,25,27,24,26,24,26,26,26,27,25,25,25,27,26,26,24,27,25,26,23,28,27,25,25,24,26,26,25,28,25,25,26,26,26,27,27,25,26,25,27,25,25,28,23,28,25.0,4.6642,1.1112,1.2347,13983.0
N,24,24,22,25,23,23,24,25,23,25,25,25,23,24,24,23,23,25,23,24,26,24,26,24,24,24,24,24,25,24,25,26,25,26,26,27,22,24,22,25,24,27,26,25,27,24,23,25,26,25,22,27,24.0,4.4776,1.2643,1.5984,9887.0
R,24,26,23,23,23,25,23,22,25,26,22,23,25,23,23,24,23,23,24,23,22,23,22,23,24,23,24,25,23,22,22,25,23,22,24,24,26,22,24,25,21,22,23,21,24,25,22,23,25,23,21,26,23.0,4.291,1.2617,1.5918,6991.0
I,24,24,25,25,21,22,22,24,24,25,23,24,24,25,25,24,23,22,22,24,24,26,23,24,24,26,24,24,24,23,24,25,24,24,23,25,23,24,24,22,22,24,25,24,21,25,25,25,26,23,21,26,23.0,4.291,1.2014,1.4433,6991.0
S,25,23,24,23,24,22,24,25,23,24,21,26,22,24,24,23,23,21,22,24,22,25,25,24,22,22,23,24,22,23,24,22,23,25,24,23,24,23,23,22,24,22,23,22,25,22,22,24,23,22,21,26,23.0,4.291,1.1657,1.3588,6991.0
D,23,25,23,22,22,20,23,22,22,20,22,21,24,24,22,26,23,21,21,23,23,23,23,24,24,23,21,24,21,23,22,21,22,22,22,21,22,21,22,22,21,23,23,22,22,22,22,22,23,23,20,26,22.0,4.1045,1.1911,1.4188,4943.0
A,24,23,21,22,23,23,21,21,20,23,21,25,21,22,20,23,20,22,24,22,21,23,23,22,21,22,23,23,22,23,22,22,22,21,20,22,22,21,22,21,24,22,23,22,22,22,21,24,22,23,20,25,22.0,4.1045,1.14,1.2996,4943.0
H,22,22,22,23,21,24,24,22,23,22,23,22,23,23,22,20,24,22,23,21,23,21,23,22,22,21,22,20,22,21,24,24,23,22,22,22,23,23,22,23,22,22,24,21,23,21,22,23,22,23,20,24,22.0,4.1045,0.9988,0.9976,4943.0
L,23,22,20,21,20,21,20,21,21,22,21,24,21,22,21,21,21,23,21,20,24,22,20,22,21,20,21,21,22,21,21,21,22,21,24,21,20,23,24,21,20,22,23,21,20,21,23,20,23,24,20,24,21.0,3.9179,1.233,1.5204,3495.0
M,22,21,21,21,20,20,22,21,20,21,21,20,22,22,21,21,22,22,21,21,21,21,19,23,20,20,21,21,22,22,20,20,21,20,21,20,21,22,21,21,21,22,21,21,22,21,22,21,21,22,19,23,21.0,3.9179,0.7931,0.629,3495.0
