letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,13983.0,13983.0,19776.0,19776.0,9887.0,19776.0,19776.0,13983.0,27968.0,9887.0,19776.0,9887.0,19776.0,19776.0,19776.0,27968.0,13983.0,13983.0,13983.0,27968.0,19776.0,19776.0,9887.0,27968.0,13983.0,19776.0,6991.0,39553.0,27968.0,13983.0,13983.0,9887.0,19776.0,19776.0,13983.0,39553.0,13983.0,13983.0,19776.0,19776.0,19776.0,27968.0,27968.0,13983.0,19776.0,13983.0,27968.0,13983.0,13983.0,39553.0,6991.0,39553.0,19174.0,15.9979,7668.5925,58807311.4486
N,9887.0,9887.0,4943.0,13983.0,6991.0,6991.0,9887.0,13983.0,6991.0,13983.0,13983.0,13983.0,6991.0,9887.0,9887.0,6991.0,6991.0,13983.0,6991.0,9887.0,19776.0,9887.0,19776.0,9887.0,9887.0,9887.0,9887.0,9887.0,13983.0,9887.0,13983.0,19776.0,13983.0,19776.0,19776.0,27968.0,4943.0,9887.0,4943.0,13983.0,9887.0,27968.0,19776.0,13983.0,27968.0,9887.0,6991.0,13983.0,19776.0,13983.0,4943.0,27968.0,12661.0,10.5638,5783.5273,33449187.7159
I,9887.0,9887.0,13983.0,13983.0,3495.0,4943.0,4943.0,9887.0,9887.0,13983.0,6991.0,9887.0,9887.0,13983.0,13983.0,9887.0,6991.0,4943.0,4943.0,9887.0,9887.0,19776.0,6991.0,9887.0,9887.0,19776.0,9887.0,9887.0,9887.0,6991.0,9887.0,13983.0,9887.0,9887.0,6991.0,13983.0,6991.0,9887.0,9887.0,4943.0,4943.0,9887.0,13983.0,9887.0,3495.0,13983.0,13983.0,13983.0,19776.0,6991.0,3495.0,19776.0,10127.0,8.4495,3943.8062,15553607.2412
R,9887.0,19776.0,6991.0,6991.0,6991.0,13983.0,6991.0,4943.0,13983.0,19776.0,4943.0,6991.0,13983.0,6991.0,6991.0,9887.0,6991.0,6991.0,9887.0,6991.0,4943.0,6991.0,4943.0,6991.0,9887.0,6991.0,9887.0,13983.0,6991.0,4943.0,4943.0,13983.0,6991.0,4943.0,9887.0,9887.0,19776.0,4943.0,9887.0,13983.0,3495.0,4943.0,6991.0,3495.0,9887.0,13983.0,4943.0,6991.0,13983.0,6991.0,3495.0,19776.0,8848.0,7.3824,4166.9168,17363195.2902
S,13983.0,6991.0,9887.0,6991.0,9887.0,4943.0,9887.0,13983.0,6991.0,9887.0,3495.0,19776.0,4943.0,9887.0,9887.0,6991.0,6991.0,3495.0,4943.0,9887.0,4943.0,13983.0,13983.0,9887.0,4943.0,4943.0,6991.0,9887.0,4943.0,6991.0,9887.0,4943.0,6991.0,13983.0,9887.0,6991.0,9887.0,6991.0,6991.0,4943.0,9887.0,4943.0,6991.0,4943.0,13983.0,4943.0,4943.0,9887.0,6991.0,4943.0,3495.0,19776.0,8183.0,6.8275,3459.0331,11964909.9433
D,6991.0,13983.0,6991.0,4943.0,4943.0,2471.0,6991.0,4943.0,4943.0,2471.0,4943.0,3495.0,9887.0,9887.0,4943.0,19776.0,6991.0,3495.0,3495.0,6991.0,6991.0,6991.0,6991.0,9887.0,9887.0,6991.0,3495.0,9887.0,3495.0,6991.0,4943.0,3495.0,4943.0,4943.0,4943.0,3495.0,4943.0,3495.0,4943.0,4943.0,3495.0,6991.0,6991.0,4943.0,4943.0,4943.0,4943.0,4943.0,6991.0,6991.0,2471.0,19776.0,6128.0,5.1129,3008.368,9050277.9302
H,4943.0,4943.0,4943.0,6991.0,3495.0,9887.0,9887.0,4943.0,6991.0,4943.0,6991.0,4943.0,6991.0,6991.0,4943.0,2471.0,9887.0,4943.0,6991.0,3495.0,6991.0,3495.0,6991.0,4943.0,4943.0,3495.0,4943.0,2471.0,4943.0,3495.0,9887.0,9887.0,6991.0,4943.0,4943.0,4943.0,6991.0,6991.0,4943.0,6991.0,4943.0,4943.0,9887.0,3495.0,6991.0,3495.0,4943.0,6991.0,4943.0,6991.0,2471.0,9887.0,5849.0,4.8801,1997.0531,3988220.8914
A,9887.0,6991.0,3495.0,4943.0,6991.0,6991.0,3495.0,3495.0,2471.0,6991.0,3495.0,13983.0,3495.0,4943.0,2471.0,6991.0,2471.0,4943.0,9887.0,4943.0,3495.0,6991.0,6991.0,4943.0,3495.0,4943.0,6991.0,6991.0,4943.0,6991.0,4943.0,4943.0,4943.0,3495.0,2471.0,4943.0,4943.0,3495.0,4943.0,3495.0,9887.0,4943.0,6991.0,4943.0,4943.0,4943.0,3495.0,9887.0,4943.0,6991.0,2471.0,13983.0,5494.0,4.5839,2312.8918,5349468.4996
T,6991.0,9887.0,6991.0,3495.0,3495.0,2471.0,4943.0,3495.0,4943.0,4943.0,3495.0,4943.0,4943.0,9887.0,2471.0,9887.0,3495.0,6991.0,6991.0,4943.0,4943.0,3495.0,4943.0,4943.0,4943.0,4943.0,3495.0,4943.0,13983.0,6991.0,2471.0,6991.0,3495.0,4943.0,3495.0,6991.0,3495.0,4943.0,4943.0,6991.0,6991.0,6991.0,3495.0,4943.0,2471.0,2471.0,4943.0,6991.0,4943.0,4943.0,2471.0,13983.0,5305.0,4.4263,2250.8281,5066227.0433
L,6991.0,4943.0,2471.0,3495.0,2471.0,3495.0,2471.0,3495.0,3495.0,4943.0,3495.0,9887.0,3495.0,4943.0,3495.0,3495.0,3495.0,6991.0,3495.0,2471.0,9887.0,4943.0,2471.0,4943.0,3495.0,2471.0,3495.0,3495.0,4943.0,3495.0,3495.0,3495.0,4943.0,3495.0,9887.0,3495.0,2471.0,6991.0,9887.0,3495.0,2471.0,4943.0,6991.0,3495.0,2471.0,3495.0,6991.0,2471.0,6991.0,9887.0,2471.0,9887.0,4580.0,3.8213,2240.4147,5019457.9592
