letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,10158,10221,10227,10121,10067,10161,10165,10158,10228,10324,10287,10184,10203,10168,10254,10149,10168,10133,10156,10290,10095,10183,10057,10187,9998,10148,10178,10216,10183,10157,10191,10186,10160,10191,10199,10147,10296,10194,10115,10119,10150,10078,10177,10309,10199,10047,10209,10129,10034,10097,9998,10324,10169.0,16.5892,68.8217,4736.4282,20338.0
N,6410,6379,6398,6386,6293,6343,6358,6323,6357,6358,6332,6437,6424,6338,6402,6410,6310,6414,6363,6236,6353,6367,6354,6374,6433,6361,6337,6423,6370,6418,6352,6259,6356,6340,6270,6313,6381,6337,6393,6388,6332,6335,6428,6363,6395,6280,6334,6437,6379,6379,6236,6437,6362.0,10.3786,46.4453,2157.1657,12724.0
I,4814,4975,4886,4869,4860,4911,4923,4824,4956,4862,4906,4962,4849,4857,4881,4976,4977,4951,4899,4876,4894,4913,4859,4926,4847,4955,4840,4824,4897,4958,4897,4856,4928,4964,4885,4899,4891,4965,4882,4880,4838,5000,4961,4861,4948,4859,4891,4869,4781,4932,4781,5000,4898.0,7.9903,50.0477,2504.7771,9796.0
R,4439,4448,4399,4383,4474,4441,4474,4422,4419,4429,4407,4439,4481,4367,4386,4498,4454,4473,4396,4393,4430,4480,4442,4454,4428,4439,4293,4469,4538,4411,4431,4435,4514,4396,4438,4416,4367,4397,4468,4493,4451,4392,4347,4461,4430,4476,4391,4365,4476,4335,4293,4538,4429.0,7.2252,47.33,2240.1327,8858.0
S,4096,4033,4025,4007,4189,4027,4028,4065,4057,3994,4066,4122,4063,4079,4067,4052,4122,4056,4019,4084,4072,4066,4116,4045,4019,4093,4061,4086,4013,4112,4066,4107,4133,3981,4109,4048,4047,4070,4016,4014,4083,4067,4074,4079,4154,4036,4040,4064,4020,4098,3981,4189,4064.0,6.6298,41.679,1737.1429,8128.0
H,3332,3338,3353,3328,3399,3264,3375,3377,3289,3344,3326,3398,3328,3279,3320,3304,3357,3347,3302,3307,3352,3333,3342,3420,3341,3328,3336,3287,3327,3266,3378,3337,3443,3434,3359,3327,3357,3375,3338,3303,3377,3362,3370,3337,3279,3350,3364,3341,3331,3379,3264,3443,3342.0,5.452,39.0546,1525.2653,6684.0
T,3151,3211,3205,3211,3189,3212,3218,3222,3244,3170,3202,3178,3173,3208,3210,3229,3191,3174,3157,3206,3252,3215,3178,3155,3247,3209,3220,3206,3163,3195,3241,3274,3181,3206,3186,3262,3200,3242,3293,3284,3251,3245,3226,3152,3236,3255,3222,3219,3172,3205,3151,3293,3211.0,5.2383,34.2639,1174.0167,6422.0
D,2968,3002,3006,3040,2915,3015,3005,3013,2938,3034,2909,2955,2967,2936,2971,2911,2994,2948,2930,2960,2965,2949,3031,2953,2945,3004,2955,3004,3036,2948,2985,3013,2957,2885,2950,3038,2947,2960,3046,2952,2977,2985,3061,3052,3019,2987,2903,2978,3006,2956,2885,3061,2977.0,4.8565,42.1087,1773.1445,5954.0
A,2795,2730,2787,2728,2660,2820,2730,2781,2779,2751,2744,2743,2754,2795,2705,2722,2768,2767,2680,2778,2740,2845,2782,2769,2720,2734,2775,2720,2807,2728,2697,2773,2754,2813,2812,2732,2711,2812,2772,2743,2737,2821,2769,2746,2764,2711,2708,2761,2779,2745,2660,2845,2755.0,4.4944,38.6815,1496.2616,5510.0
U,2346,2318,2290,2303,2349,2346,2322,2348,2289,2318,2281,2334,2361,2308,2317,2286,2313,2289,2336,2326,2296,2291,2282,2350,2317,2334,2316,2312,2360,2362,2257,2345,2263,2272,2282,2346,2321,2334,2301,2310,2328,2255,2352,2313,2352,2357,2359,2330,2234,2314,2234,2362,2316.0,3.7782,31.1934,973.0306,4632.0
L,2328,2249,2223,2291,2309,2277,2206,2257,2151,2236,2179,2284,2214,2245,2231,2257,2266,2268,2312,2201,2304,2295,2328,2256,2219,2284,2348,2249,2269,2220,2240,2311,2246,2253,2308,2348,2243,2282,2219,2297,2220,2274,2275,2191,2242,2278,2242,2251,2277,2171,2151,2348,2258.0,3.6836,43.8947,1926.7445,4516.0
G,2045,1965,2049,2010,2068,2077,2060,2051,2031,2032,2075,2021,2002,2018,1997,2023,2065,2031,2000,2015,2017,2054,2022,2033,2097,2053,2061,1986,2003,2052,1977,2056,2002,1968,2091,2066,2068,2041,2062,2035,2088,2086,2003,1963,2005,1983,2054,2040,2027,2024,1963,2097,2033.0,3.3165,34.1766,1168.0392,4066.0
C,1890,1869,1864,1892,1868,1888,1865,1806,1878,1853,1886,1947,1833,1893,1894,1869,1864,1902,1917,1865,1887,1869,1920,1836,1866,1851,1931,1916,1880,1913,1880,1914,1914,1948,1880,1898,1855,1910,1859,1914,1905,1826,1861,1863,1887,1885,1892,1882,1889,1881,1806,1948,1883.0,3.0718,28.9061,835.5612,3766.0
M,1851,1814,1817,1844,1790,1884,1875,1829,1854,1809,1847,1945,1894,1818,1837,1845,1831,1865,1850,1824,1854,1856,1846,1863,1858,1823,1875,1846,1834,1856,1827,1861,1762,1835,1821,1795,1817,1819,1814,1892,1825,1826,1871,1815,1899,1859,1798,1828,1871,1816,1762,1945,1841.0,3.0033,31.8281,1013.0306,3682.0
O,1703,1780,1707,1755,1694,1724,1716,1709,1742,1709,1759,1754,1773,1695,1731,1731,1798,1752,1706,1762,1760,1723,1740,1691,1703,1681,1736,1719,1753,1767,1745,1719,1729,1768,1700,1714,1748,1676,1724,1761,1674,1727,1732,1719,1723,1738,1735,1760,1731,1712,1674,1798,1730.0,2.8222,27.741,769.5657,3460.0
B,1350,1371,1364,1327,1353,1345,1347,1367,1370,1360,1344,1339,1376,1348,1385,1424,1334,1339,1379,1382,1310,1368,1333,1328,1373,1367,1358,1343,1343,1336,1335,1372,1333,1336,1334,1357,1351,1323,1348,1385,1337,1362,1388,1402,1367,1346,1374,1354,1374,1391,1310,1424,1356.0,2.2121,22.3696,500.3984,2712.0
