letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,20316.0,20442.0,20454.0,20242.0,20134.0,20322.0,20330.0,20316.0,20456.0,20648.0,20574.0,20368.0,20406.0,20336.0,20508.0,20298.0,20336.0,20266.0,20312.0,20580.0,20190.0,20366.0,20114.0,20374.0,19996.0,20296.0,20356.0,20432.0,20366.0,20314.0,20382.0,20372.0,20320.0,20382.0,20398.0,20294.0,20592.0,20388.0,20230.0,20238.0,20300.0,20156.0,20354.0,20618.0,20398.0,20094.0,20418.0,20258.0,20068.0,20194.0,19996.0,20648.0,20338.0,16.5873,137.6434,18945.7127
N,12820.0,12758.0,12796.0,12772.0,12586.0,12686.0,12716.0,12646.0,12714.0,12716.0,12664.0,12874.0,12848.0,12676.0,12804.0,12820.0,12620.0,12828.0,12726.0,12472.0,12706.0,12734.0,12708.0,12748.0,12866.0,12722.0,12674.0,12846.0,12740.0,12836.0,12704.0,12518.0,12712.0,12680.0,12540.0,12626.0,12762.0,12674.0,12786.0,12776.0,12664.0,12670.0,12856.0,12726.0,12790.0,12560.0,12668.0,12874.0,12758.0,12758.0,12472.0,12874.0,12724.0,10.3775,92.8906,8628.6629
I,9628.0,9950.0,9772.0,9738.0,9720.0,9822.0,9846.0,9648.0,9912.0,9724.0,9812.0,9924.0,9698.0,9714.0,9762.0,9952.0,9954.0,9902.0,9798.0,9752.0,9788.0,9826.0,9718.0,9852.0,9694.0,9910.0,9680.0,9648.0,9794.0,9916.0,9794.0,9712.0,9856.0,9928.0,9770.0,9798.0,9782.0,9930.0,9764.0,9760.0,9676.0,10000.0,9922.0,9722.0,9896.0,9718.0,9782.0,9738.0,9562.0,9864.0,9562.0,10000.0,9796.0,7.9894,100.0955,10019.1086
R,8878.0,8896.0,8798.0,8766.0,8948.0,8882.0,8948.0,8844.0,8838.0,8858.0,8814.0,8878.0,8962.0,8734.0,8772.0,8996.0,8908.0,8946.0,8792.0,8786.0,8860.0,8960.0,8884.0,8908.0,8856.0,8878.0,8586.0,8938.0,9076.0,8822.0,8862.0,8870.0,9028.0,8792.0,8876.0,8832.0,8734.0,8794.0,8936.0,8986.0,8902.0,8784.0,8694.0,8922.0,8860.0,8952.0,8782.0,8730.0,8952.0,8670.0,8586.0,9076.0,8859.0,7.2252,94.6601,8960.5306
S,8192.0,8066.0,8050.0,8014.0,8378.0,8054.0,8056.0,8130.0,8114.0,7988.0,8132.0,8244.0,8126.0,8158.0,8134.0,8104.0,8244.0,8112.0,8038.0,8168.0,8144.0,8132.0,8232.0,8090.0,8038.0,8186.0,8122.0,8172.0,8026.0,8224.0,8132.0,8214.0,8266.0,7962.0,8218.0,8096.0,8094.0,8140.0,8032.0,8028.0,8166.0,8134.0,8148.0,8158.0,8308.0,8072.0,8080.0,8128.0,8040.0,8196.0,7962.0,8378.0,8129.0,6.6299,83.3581,6948.5714
H,6664.0,6676.0,6706.0,6656.0,6798.0,6528.0,6750.0,6754.0,6578.0,6688.0,6652.0,6796.0,6656.0,6558.0,6640.0,6608.0,6714.0,6694.0,6604.0,6614.0,6704.0,6666.0,6684.0,6840.0,6682.0,6656.0,6672.0,6574.0,6654.0,6532.0,6756.0,6674.0,6886.0,6868.0,6718.0,6654.0,6714.0,6750.0,6676.0,6606.0,6754.0,6724.0,6740.0,6674.0,6558.0,6700.0,6728.0,6682.0,6662.0,6758.0,6528.0,6886.0,6685.0,5.4522,78.1093,6101.0612
T,6302.0,6422.0,6410.0,6422.0,6378.0,6424.0,6436.0,6444.0,6488.0,6340.0,6404.0,6356.0,6346.0,6416.0,6420.0,6458.0,6382.0,6348.0,6314.0,6412.0,6504.0,6430.0,6356.0,6310.0,6494.0,6418.0,6440.0,6412.0,6326.0,6390.0,6482.0,6548.0,6362.0,6412.0,6372.0,6524.0,6400.0,6484.0,6586.0,6568.0,6502.0,6490.0,6452.0,6304.0,6472.0,6510.0,6444.0,6438.0,6344.0,6410.0,6302.0,6586.0,6422.0,5.2377,68.5279,4696.0669
D,5936.0,6004.0,6012.0,6080.0,5830.0,6030.0,6010.0,6026.0,5876.0,6068.0,5818.0,5910.0,5934.0,5872.0,5942.0,5822.0,5988.0,5896.0,5860.0,5920.0,5930.0,5898.0,6062.0,5906.0,5890.0,6008.0,5910.0,6008.0,6072.0,5896.0,5970.0,6026.0,5914.0,5770.0,5900.0,6076.0,5894.0,5920.0,6092.0,5904.0,5954.0,5970.0,6122.0,6104.0,6038.0,5974.0,5806.0,5956.0,6012.0,5912.0,5770.0,6122.0,5954.0,4.856,84.2174,7092.578
A,5590.0,5460.0,5574.0,5456.0,5320.0,5640.0,5460.0,5562.0,5558.0,5502.0,5488.0,5486.0,5508.0,5590.0,5410.0,5444.0,5536.0,5534.0,5360.0,5556.0,5480.0,5690.0,5564.0,5538.0,5440.0,5468.0,5550.0,5440.0,5614.0,5456.0,5394.0,5546.0,5508.0,5626.0,5624.0,5464.0,5422.0,5624.0,5544.0,5486.0,5474.0,5642.0,5538.0,5492.0,5528.0,5422.0,5416.0,5522.0,5558.0,5490.0,5320.0,5690.0,5511.0,4.4947,77.3631,5985.0465
U,4692.0,4636.0,4580.0,4606.0,4698.0,4692.0,4644.0,4696.0,4578.0,4636.0,4562.0,4668.0,4722.0,4616.0,4634.0,4572.0,4626.0,4578.0,4672.0,4652.0,4592.0,4582.0,4564.0,4700.0,4634.0,4668.0,4632.0,4624.0,4720.0,4724.0,4514.0,4690.0,4526.0,4544.0,4564.0,4692.0,4642.0,4668.0,4602.0,4620.0,4656.0,4510.0,4704.0,4626.0,4704.0,4714.0,4718.0,4660.0,4468.0,4628.0,4468.0,4724.0,4633.0,3.7786,62.3869,3892.1224
L,4656.0,4498.0,4446.0,4582.0,4618.0,4554.0,4412.0,4514.0,4302.0,4472.0,4358.0,4568.0,4428.0,4490.0,4462.0,4514.0,4532.0,4536.0,4624.0,4402.0,4608.0,4590.0,4656.0,4512.0,4438.0,4568.0,4696.0,4498.0,4538.0,4440.0,4480.0,4622.0,4492.0,4506.0,4616.0,4696.0,4486.0,4564.0,4438.0,4594.0,4440.0,4548.0,4550.0,4382.0,4484.0,4556.0,4484.0,4502.0,4554.0,4342.0,4302.0,4696.0,4516.0,3.6832,87.7894,7706.978
G,4090.0,3930.0,4098.0,4020.0,4136.0,4154.0,4120.0,4102.0,4062.0,4064.0,4150.0,4042.0,4004.0,4036.0,3994.0,4046.0,4130.0,4062.0,4000.0,4030.0,4034.0,4108.0,4044.0,4066.0,4194.0,4106.0,4122.0,3972.0,4006.0,4104.0,3954.0,4112.0,4004.0,3936.0,4182.0,4132.0,4136.0,4082.0,4124.0,4070.0,4176.0,4172.0,4006.0,3926.0,4010.0,3966.0,4108.0,4080.0,4054.0,4048.0,3926.0,4194.0,4066.0,3.3162,68.3532,4672.1567
C,3780.0,3738.0,3728.0,3784.0,3736.0,3776.0,3730.0,3612.0,3756.0,3706.0,3772.0,3894.0,3666.0,3786.0,3788.0,3738.0,3728.0,3804.0,3834.0,3730.0,3774.0,3738.0,3840.0,3672.0,3732.0,3702.0,3862.0,3832.0,3760.0,3826.0,3760.0,3828.0,3828.0,3896.0,3760.0,3796.0,3710.0,3820.0,3718.0,3828.0,3810.0,3652.0,3722.0,3726.0,3774.0,3770.0,3784.0,3764.0,3778.0,3762.0,3612.0,3896.0,3766.0,3.0715,57.8122,3342.2449
M,3702.0,3628.0,3634.0,3688.0,3580.0,3768.0,3750.0,3658.0,3708.0,3618.0,3694.0,3890.0,3788.0,3636.0,3674.0,3690.0,3662.0,3730.0,3700.0,3648.0,3708.0,3712.0,3692.0,3726.0,3716.0,3646.0,3750.0,3692.0,3668.0,3712.0,3654.0,3722.0,3524.0,3670.0,3642.0,3590.0,3634.0,3638.0,3628.0,3784.0,3650.0,3652.0,3742.0,3630.0,3798.0,3718.0,3596.0,3656.0,3742.0,3632.0,3524.0,3890.0,3683.0,3.0038,63.6563,4052.1224
O,3406.0,3560.0,3414.0,3510.0,3388.0,3448.0,3432.0,3418.0,3484.0,3418.0,3518.0,3508.0,3546.0,3390.0,3462.0,3462.0,3596.0,3504.0,3412.0,3524.0,3520.0,3446.0,3480.0,3382.0,3406.0,3362.0,3472.0,3438.0,3506.0,3534.0,3490.0,3438.0,3458.0,3536.0,3400.0,3428.0,3496.0,3352.0,3448.0,3522.0,3348.0,3454.0,3464.0,3438.0,3446.0,3476.0,3470.0,3520.0,3462.0,3424.0,3348.0,3596.0,3460.0,2.8219,55.4821,3078.2629
B,2700.0,2742.0,2728.0,2654.0,2706.0,2690.0,2694.0,2734.0,2740.0,2720.0,2688.0,2678.0,2752.0,2696.0,2770.0,2848.0,2668.0,2678.0,2758.0,2764.0,2620.0,2736.0,2666.0,2656.0,2746.0,2734.0,2716.0,2686.0,2686.0,2672.0,2670.0,2744.0,2666.0,2672.0,2668.0,2714.0,2702.0,2646.0,2696.0,2770.0,2674.0,2724.0,2776.0,2804.0,2734.0,2692.0,2748.0,2708.0,2748.0,2782.0,2620.0,2848.0,2713.0,2.2127,44.7392,2001.5935
W,2306.0,2304.0,2206.0,2216.0,2118.0,2110.0,2246.0,2292.0,2256.0,2150.0,2222.0,2212.0,2250.0,2198.0,2206.0,2210.0,2150.0,2132.0,2258.0,2156.0,2254.0,2266.0,2262.0,2246.0,2292.0,2206.0,2200.0,2152.0,2186.0,2188.0,2220.0,2236.0,2216.0,2266.0,2248.0,2288.0,2224.0,2240.0,2176.0,2228.0,2292.0,2210.0,2220.0,2292.0,2292.0,2184.0,2170.0,2238.0,2176.0,2206.0,2110.0,2306.0,2221.0,1.8114,49.3766,2438.0473
K,1678.0,1588.0,1672.0,1644.0,1610.0,1636.0,1570.0,1660.0,1688.0,1628.0,1568.0,1584.0,1636.0,1662.0,1606.0,1628.0,1562.0,1624.0,1602.0,1688.0,1682.0,1596.0,1668.0,1618.0,1670.0,1688.0,1680.0,1638.0,1538.0,1680.0,1696.0,1614.0,1624.0,1708.0,1574.0,1690.0,1576.0,1542.0,1640.0,1668.0,1592.0,1634.0,1642.0,1562.0,1690.0,1690.0,1654.0,1640.0,1606.0,1640.0,1538.0,1708.0,1633.0,1.3318,44.8413,2010.7445
F,1594.0,1628.0,1614.0,1592.0,1602.0,1708.0,1620.0,1636.0,1566.0,1584.0,1618.0,1596.0,1588.0,1616.0,1590.0,1574.0,1608.0,1652.0,1600.0,1600.0,1646.0,1584.0,1608.0,1576.0,1596.0,1624.0,1592.0,1612.0,1700.0,1660.0,1662.0,1614.0,1568.0,1666.0,1668.0,1576.0,1670.0,1584.0,1628.0,1642.0,1618.0,1634.0,1578.0,1646.0,1608.0,1608.0,1584.0,1690.0,1592.0,1588.0,1566.0,1708.0,1616.0,1.318,34.8732,1216.1371
Z,1478.0,1506.0,1434.0,1380.0,1424.0,1450.0,1470.0,1496.0,1472.0,1460.0,1432.0,1438.0,1476.0,1454.0,1396.0,1384.0,1462.0,1460.0,1396.0,1458.0,1452.0,1436.0,1452.0,1432.0,1412.0,1468.0,1430.0,1398.0,1342.0,1498.0,1408.0,1440.0,1424.0,1546.0,1458.0,1478.0,1436.0,1412.0,1456.0,1456.0,1436.0,1442.0,1400.0,1434.0,1446.0,1490.0,1386.0,1506.0,1456.0,1446.0,1342.0,1546.0,1444.0,1.1777,37.3434,1394.529
V,1044.0,1136.0,1044.0,1030.0,1106.0,1066.0,1074.0,1146.0,1012.0,1044.0,1088.0,1076.0,1060.0,1090.0,1064.0,1096.0,1110.0,1114.0,1106.0,1094.0,1080.0,1100.0,1072.0,1086.0,1104.0,1076.0,1062.0,1044.0,1040.0,1050.0,1072.0,1068.0,1082.0,1030.0,1058.0,1058.0,1072.0,1030.0,1102.0,1090.0,1106.0,1060.0,1130.0,1066.0,1068.0,1108.0,1004.0,1026.0,1012.0,1052.0,1004.0,1146.0,1072.0,0.8743,32.3245,1044.8718
