letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,25,24,24,23,24,24,26,23,26,22,23,25,24,23,24,23,26,23,23,24,24,26,22,24,23,25,25,24,24,24,26,24,26,23,21,21,23,24,23,24,24,24,24,24,23,25,26,24,26,25,21,26,24.0,5.298,1.2454,1.551,9887.0
T,22,22,22,23,21,23,22,23,24,23,23,25,22,25,22,21,23,23,21,22,23,21,23,23,23,21,22,23,24,23,24,23,23,23,23,23,22,22,22,23,22,21,23,22,23,24,22,21,23,23,21,25,22.0,4.8565,0.9689,0.9388,4943.0
A,22,23,22,20,21,22,22,22,23,23,21,20,23,22,22,22,24,22,23,20,23,25,21,24,20,22,22,24,22,22,22,24,23,24,21,21,21,23,24,20,22,22,21,25,23,22,22,23,22,22,20,25,22.0,4.8565,1.2501,1.5629,4943.0
N,21,21,21,19,21,20,22,21,20,20,22,22,21,21,22,21,21,22,22,21,22,21,22,22,23,21,24,23,23,24,22,21,22,20,22,21,21,23,19,21,21,21,23,20,21,22,22,25,23,20,19,25,21.0,4.6358,1.2162,1.4792,3495.0
R,22,21,20,19,20,21,22,23,20,22,23,22,22,21,21,20,24,21,21,22,20,21,22,21,22,21,24,19,21,24,19,21,23,22,22,20,24,22,23,21,21,21,21,21,23,20,21,20,21,23,19,24,21.0,4.6358,1.295,1.6771,3495.0
I,23,21,21,20,21,22,22,22,21,22,21,21,21,21,21,20,21,23,22,23,23,21,22,21,23,21,22,22,21,23,22,19,24,20,22,21,23,24,20,22,24,21,20,21,21,21,21,20,21,22,19,24,21.0,4.6358,1.1287,1.2739,3495.0
O,22,22,22,23,21,23,20,23,23,21,24,23,22,21,21,20,21,21,22,22,21,23,22,22,24,22,24,22,21,22,22,22,23,22,20,23,22,22,23,21,21,22,22,23,21,21,21,20,21,23,20,24,21.0,4.6358,1.0351,1.0714,3495.0
H,20,21,22,22,21,23,23,19,22,23,23,22,21,23,21,23,21,21,21,23,21,21,21,19,21,24,22,22,24,22,21,21,20,20,21,23,21,21,20,22,23,23,23,21,20,22,22,22,22,20,19,24,21.0,4.6358,1.1952,1.4286,3495.0
S,22,22,20,23,21,23,21,21,20,21,19,25,20,20,24,19,22,21,24,23,23,22,21,21,26,22,24,23,21,22,21,21,21,20,20,21,23,20,23,21,22,22,21,23,21,22,20,23,21,19,19,26,21.0,4.6358,1.5238,2.322,3495.0
D,20,22,20,20,23,19,21,21,21,20,21,20,20,22,22,23,21,21,19,17,20,20,19,18,20,19,22,20,21,20,20,19,20,20,20,19,20,19,20,20,19,20,21,21,22,22,20,22,21,19,17,23,20.0,4.415,1.2196,1.4873,2471.0
L,22,20,20,19,21,22,21,21,21,21,21,21,22,19,20,18,19,20,21,21,20,20,21,23,20,21,20,20,21,19,19,20,21,20,22,20,19,20,20,19,19,20,18,21,22,20,19,19,22,21,18,23,20.0,4.415,1.1147,1.2424,2471.0
U,18,21,20,21,21,21,21,19,18,21,21,19,20,20,20,20,22,19,21,19,21,21,19,20,22,18,21,20,22,21,19,21,19,19,21,21,19,18,19,21,21,19,21,18,19,22,20,21,20,19,18,22,20.0,4.415,1.1753,1.3812,2471.0
W,20,18,19,18,21,20,19,19,22,19,21,19,20,20,20,17,18,19,19,19,18,19,18,19,20,18,22,17,20,20,19,18,18,19,19,19,18,19,19,19,18,20,18,17,20,18,18,20,20,23,17,23,19.0,4.1943,1.2618,1.5922,1747.0
M,20,19,18,20,21,17,19,21,21,18,21,20,19,20,20,21,18,20,20,20,20,21,18,19,19,20,19,19,20,23,20,20,20,19,20,21,22,19,20,20,18,20,20,18,17,19,19,18,18,21,17,23,19.0,4.1943,1.2289,1.5102,1747.0
Y,19,20,20,18,19,19,17,17,19,18,20,19,19,16,20,20,21,16,19,19,19,19,18,21,20,19,20,19,20,18,18,19,20,20,19,18,19,17,19,18,20,18,19,20,20,18,19,19,20,18,16,21,18.0,3.9735,1.122,1.2588,1235.0
B,20,18,18,18,19,19,17,21,18,17,20,18,18,18,18,19,18,18,17,17,19,20,18,17,18,17,16,19,19,17,20,19,17,18,17,17,18,20,19,18,19,16,17,18,17,19,18,18,18,19,16,21,18.0,3.9735,1.0947,1.1984,1235.0
C,19,19,17,18,21,19,18,19,18,19,20,20,18,17,17,17,16,19,20,18,20,18,18,19,18,20,18,19,19,21,16,19,20,20,21,18,17,19,21,18,20,20,19,16,17,19,19,16,20,19,16,21,18.0,3.9735,1.3644,1.8616,1235.0
F,17,20,20,18,19,19,20,16,19,18,18,18,16,16,16,21,16,18,19,18,18,19,19,16,20,17,19,19,18,19,17,19,18,20,18,17,19,19,19,18,19,18,18,17,17,20,19,21,18,17,16,21,18.0,3.9735,1.3099,1.7159,1235.0
P,17,17,17,19,17,16,18,19,17,17,17,18,17,16,18,17,18,16,16,18,16,17,20,17,16,16,16,19,17,19,18,16,17,18,18,16,18,17,17,16,15,17,19,19,17,20,17,19,18,16,15,20,17.0,3.7528,1.1683,1.3649,873.0
G,15,19,19,18,17,17,17,18,18,16,18,19,18,18,17,17,17,18,16,18,17,17,19,19,18,15,16,19,18,19,17,18,17,18,16,16,20,18,19,18,17,18,17,18,17,17,18,19,16,20,15,20,17.0,3.7528,1.1586,1.3424,873.0
K,16,16,15,16,16,15,16,17,16,15,15,17,15,15,16,16,17,17,17,18,16,17,16,15,15,15,17,16,17,15,15,18,18,18,15,16,17,17,15,18,18,14,17,15,16,16,16,17,16,15,14,18,16.0,3.532,1.05,1.1024,617.0
V,12,14,14,13,12,13,15,12,13,13,15,14,15,14,13,15,12,14,14,13,14,16,14,14,14,13,15,11,14,13,15,12,14,12,13,14,14,15,14,13,12,14,12,15,15,14,16,12,14,15,11,16,13.0,2.8698,1.1713,1.3718,217.0
X,10,10,12,11,11,10,11,9,11,10,10,10,12,10,11,12,10,9,11,11,9,11,8,12,9,10,9,10,11,9,11,10,11,11,11,10,10,11,10,12,10,12,11,11,9,12,9,11,13,9,8,13,10.0,2.2075,1.073,1.1514,76.0
Q,10,12,12,10,8,11,11,10,10,12,11,8,11,11,12,11,11,12,12,11,11,12,11,11,11,11,10,9,11,11,13,8,10,13,11,10,11,11,10,11,12,10,12,10,11,11,12,11,12,13,8,13,10.0,2.2075,1.14,1.2996,76.0
Z,7,5,6,6,5,6,7,5,5,4,6,8,7,6,5,8,7,8,7,8,6,6,6,7,6,6,8,7,7,7,7,6,7,7,6,6,6,6,8,7,8,7,7,7,7,7,5,5,7,5,4,8,6.0,1.3245,0.9941,0.9882,18.0
