letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,13983.0,9887.0,9887.0,6991.0,9887.0,9887.0,19776.0,6991.0,19776.0,4943.0,6991.0,13983.0,9887.0,6991.0,9887.0,6991.0,19776.0,6991.0,6991.0,9887.0,9887.0,19776.0,4943.0,9887.0,6991.0,13983.0,13983.0,9887.0,9887.0,9887.0,19776.0,9887.0,19776.0,6991.0,3495.0,3495.0,6991.0,9887.0,6991.0,9887.0,9887.0,9887.0,9887.0,9887.0,6991.0,13983.0,19776.0,9887.0,19776.0,13983.0,3495.0,19776.0,10812.0,14.5042,4676.1184,21866083.7159
T,4943.0,4943.0,4943.0,6991.0,3495.0,6991.0,4943.0,6991.0,9887.0,6991.0,6991.0,13983.0,4943.0,13983.0,4943.0,3495.0,6991.0,6991.0,3495.0,4943.0,6991.0,3495.0,6991.0,6991.0,6991.0,3495.0,4943.0,6991.0,9887.0,6991.0,9887.0,6991.0,6991.0,6991.0,6991.0,6991.0,4943.0,4943.0,4943.0,6991.0,4943.0,3495.0,6991.0,4943.0,6991.0,9887.0,4943.0,3495.0,6991.0,6991.0,3495.0,13983.0,6439.0,8.6379,2305.225,5314062.1322
A,4943.0,6991.0,4943.0,2471.0,3495.0,4943.0,4943.0,4943.0,6991.0,6991.0,3495.0,2471.0,6991.0,4943.0,4943.0,4943.0,9887.0,4943.0,6991.0,2471.0,6991.0,13983.0,3495.0,9887.0,2471.0,4943.0,4943.0,9887.0,4943.0,4943.0,4943.0,9887.0,6991.0,9887.0,3495.0,3495.0,3495.0,6991.0,9887.0,2471.0,4943.0,4943.0,3495.0,13983.0,6991.0,4943.0,4943.0,6991.0,4943.0,4943.0,2471.0,13983.0,5857.0,7.8571,2693.3588,7254181.7208
O,4943.0,4943.0,4943.0,6991.0,3495.0,6991.0,2471.0,6991.0,6991.0,3495.0,9887.0,6991.0,4943.0,3495.0,3495.0,2471.0,3495.0,3495.0,4943.0,4943.0,3495.0,6991.0,4943.0,4943.0,9887.0,4943.0,9887.0,4943.0,3495.0,4943.0,4943.0,4943.0,6991.0,4943.0,2471.0,6991.0,4943.0,4943.0,6991.0,3495.0,3495.0,4943.0,4943.0,6991.0,3495.0,3495.0,3495.0,2471.0,3495.0,6991.0,2471.0,9887.0,5087.0,6.8242,1874.7895,3514835.5918
S,4943.0,4943.0,2471.0,6991.0,3495.0,6991.0,3495.0,3495.0,2471.0,3495.0,1747.0,13983.0,2471.0,2471.0,9887.0,1747.0,4943.0,3495.0,9887.0,6991.0,6991.0,4943.0,3495.0,3495.0,19776.0,4943.0,9887.0,6991.0,3495.0,4943.0,3495.0,3495.0,3495.0,2471.0,2471.0,3495.0,6991.0,2471.0,6991.0,3495.0,4943.0,4943.0,3495.0,6991.0,3495.0,4943.0,2471.0,6991.0,3495.0,1747.0,1747.0,19776.0,5035.0,6.7544,3274.7341,10723883.602
H,2471.0,3495.0,4943.0,4943.0,3495.0,6991.0,6991.0,1747.0,4943.0,6991.0,6991.0,4943.0,3495.0,6991.0,3495.0,6991.0,3495.0,3495.0,3495.0,6991.0,3495.0,3495.0,3495.0,1747.0,3495.0,9887.0,4943.0,4943.0,9887.0,4943.0,3495.0,3495.0,2471.0,2471.0,3495.0,6991.0,3495.0,3495.0,2471.0,4943.0,6991.0,6991.0,6991.0,3495.0,2471.0,4943.0,4943.0,4943.0,4943.0,2471.0,1747.0,9887.0,4674.0,6.2701,1938.6354,3758307.0302
N,3495.0,3495.0,3495.0,1747.0,3495.0,2471.0,4943.0,3495.0,2471.0,2471.0,4943.0,4943.0,3495.0,3495.0,4943.0,3495.0,3495.0,4943.0,4943.0,3495.0,4943.0,3495.0,4943.0,4943.0,6991.0,3495.0,9887.0,6991.0,6991.0,9887.0,4943.0,3495.0,4943.0,2471.0,4943.0,3495.0,3495.0,6991.0,1747.0,3495.0,3495.0,3495.0,6991.0,2471.0,3495.0,4943.0,4943.0,13983.0,6991.0,2471.0,1747.0,13983.0,4592.0,6.1601,2243.2011,5031951.0204
I,6991.0,3495.0,3495.0,2471.0,3495.0,4943.0,4943.0,4943.0,3495.0,4943.0,3495.0,3495.0,3495.0,3495.0,3495.0,2471.0,3495.0,6991.0,4943.0,6991.0,6991.0,3495.0,4943.0,3495.0,6991.0,3495.0,4943.0,4943.0,3495.0,6991.0,4943.0,1747.0,9887.0,2471.0,4943.0,3495.0,6991.0,9887.0,2471.0,4943.0,9887.0,3495.0,2471.0,3495.0,3495.0,3495.0,3495.0,2471.0,3495.0,4943.0,1747.0,9887.0,4557.0,6.1132,1949.2245,3799475.9902
R,4943.0,3495.0,2471.0,1747.0,2471.0,3495.0,4943.0,6991.0,2471.0,4943.0,6991.0,4943.0,4943.0,3495.0,3495.0,2471.0,9887.0,3495.0,3495.0,4943.0,2471.0,3495.0,4943.0,3495.0,4943.0,3495.0,9887.0,1747.0,3495.0,9887.0,1747.0,3495.0,6991.0,4943.0,4943.0,2471.0,9887.0,4943.0,6991.0,3495.0,3495.0,3495.0,3495.0,3495.0,6991.0,2471.0,3495.0,2471.0,3495.0,6991.0,1747.0,9887.0,4475.0,6.0032,2163.1941,4679408.7771
D,2471.0,4943.0,2471.0,2471.0,6991.0,1747.0,3495.0,3495.0,3495.0,2471.0,3495.0,2471.0,2471.0,4943.0,4943.0,6991.0,3495.0,3495.0,1747.0,873.0,2471.0,2471.0,1747.0,1235.0,2471.0,1747.0,4943.0,2471.0,3495.0,2471.0,2471.0,1747.0,2471.0,2471.0,2471.0,1747.0,2471.0,1747.0,2471.0,2471.0,1747.0,2471.0,3495.0,3495.0,4943.0,4943.0,2471.0,4943.0,3495.0,1747.0,873.0,6991.0,3015.0,4.0446,1340.782,1797696.2629
