letter,exp 1,minimum,maximum,average,average_percent,STD,VAR
E,10333,10333,10333,10333.0,13.723,,
T,6720,6720,6720,6720.0,8.9247,,
O,5857,5857,5857,5857.0,7.7785,,
A,5746,5746,5746,5746.0,7.6311,,
H,4965,4965,4965,4965.0,6.5939,,
N,4824,4824,4824,4824.0,6.4066,,
S,4812,4812,4812,4812.0,6.3907,,
I,4376,4376,4376,4376.0,5.8117,,
R,4330,4330,4330,4330.0,5.7506,,
L,3264,3264,3264,3264.0,4.3348,,
D,3054,3054,3054,3054.0,4.0559,,
U,2719,2719,2719,2719.0,3.611,,
M,2323,2323,2323,2323.0,3.0851,,
C,1911,1911,1911,1911.0,2.5379,,
W,1899,1899,1899,1899.0,2.522,,
Y,1693,1693,1693,1693.0,2.2484,,
F,1509,1509,1509,1509.0,2.0041,,
B,1363,1363,1363,1363.0,1.8102,,
G,1343,1343,1343,1343.0,1.7836,,
P,993,993,993,993.0,1.3188,,
K,723,723,723,723.0,0.9602,,
V,300,300,300,300.0,0.3984,,
Q,119,119,119,119.0,0.158,,
X,98,98,98,98.0,0.1302,,
Z,23,23,23,23.0,0.0305,,
