letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,5167,5209,5109,5199,5121,5108,5190,5139,5163,5148,5226,5123,5182,5158,5165,5110,5193,5143,5169,5166,5197,5142,5103,5158,5140,5194,5209,5124,5242,5109,5062,5130,5289,5181,5234,5166,5213,5242,5137,5211,5208,5231,5143,5139,5168,5210,5164,5166,5215,5262,5062,5289,5171.0,13.7501,46.3506,2148.3759,10342.0
T,3265,3392,3364,3313,3419,3392,3384,3322,3343,3330,3305,3395,3439,3377,3352,3331,3294,3356,3302,3358,3416,3401,3357,3358,3354,3398,3345,3324,3346,3336,3322,3434,3327,3398,3416,3365,3307,3347,3409,3317,3360,3303,3370,3334,3367,3402,3345,3348,3384,3319,3265,3439,3356.0,8.9239,39.337,1547.4024,6712.0
O,2953,2924,2843,3015,2911,2961,2921,2939,2932,2945,2980,2964,2914,2965,2882,2918,3002,2897,2885,2906,2914,2900,2920,2969,2885,2912,2958,2927,2973,2963,2908,2936,2907,2937,2963,2920,2919,3000,2972,2935,2969,2912,2949,2943,2898,2878,2923,2870,2936,2966,2843,3015,2932.0,7.7964,35.653,1271.1384,5864.0
A,2859,2860,2898,2862,2812,2873,2879,2885,2810,2847,2906,2808,2919,2854,2900,2874,2857,2843,2927,2833,2921,2894,2879,2903,2901,2826,2910,2868,2828,2837,2892,2895,2879,2890,2933,2904,2861,2812,2812,2917,2920,2846,2904,2851,2914,2873,2936,2903,2834,2844,2808,2936,2873.0,7.6395,36.0697,1301.0208,5746.0
H,2454,2428,2453,2493,2427,2487,2528,2415,2508,2463,2436,2483,2458,2487,2499,2434,2447,2465,2433,2461,2525,2455,2522,2504,2426,2425,2506,2535,2411,2479,2430,2447,2534,2416,2526,2551,2515,2509,2470,2505,2514,2450,2501,2520,2423,2499,2498,2456,2405,2481,2405,2551,2473.0,6.5759,39.3614,1549.3229,4946.0
N,2462,2446,2430,2363,2401,2416,2343,2422,2438,2435,2413,2387,2449,2419,2411,2417,2435,2345,2400,2445,2334,2431,2419,2451,2374,2447,2407,2462,2373,2422,2446,2461,2404,2474,2431,2372,2429,2414,2426,2379,2390,2425,2413,2410,2381,2415,2387,2364,2387,2391,2334,2474,2411.0,6.411,32.6895,1068.6057,4822.0
S,2390,2376,2383,2385,2345,2413,2454,2387,2377,2399,2440,2401,2399,2350,2421,2371,2412,2400,2406,2414,2390,2411,2408,2367,2422,2395,2450,2408,2427,2420,2326,2344,2378,2408,2318,2426,2377,2332,2406,2451,2451,2327,2393,2402,2317,2458,2399,2328,2422,2400,2317,2458,2393.0,6.3632,36.5873,1338.6302,4786.0
I,2223,2150,2130,2233,2211,2224,2163,2226,2177,2174,2219,2211,2234,2251,2152,2180,2159,2169,2223,2180,2150,2217,2159,2187,2235,2193,2198,2160,2189,2256,2195,2253,2176,2181,2146,2189,2168,2153,2164,2191,2191,2127,2236,2200,2189,2206,2135,2143,2140,2139,2127,2256,2187.0,5.8154,34.7024,1204.2551,4374.0
R,2146,2147,2097,2162,2193,2141,2130,2153,2139,2266,2173,2176,2137,2190,2150,2174,2183,2134,2150,2163,2109,2146,2158,2169,2127,2177,2138,2228,2111,2135,2158,2155,2157,2179,2119,2162,2192,2166,2197,2168,2178,2190,2124,2189,2102,2179,2166,2171,2152,2168,2097,2266,2159.0,5.741,30.7081,942.9894,4318.0
L,1680,1608,1632,1610,1671,1636,1605,1595,1642,1607,1627,1638,1674,1650,1641,1600,1642,1607,1682,1633,1640,1627,1646,1630,1629,1617,1599,1597,1655,1588,1645,1592,1619,1585,1660,1662,1591,1626,1645,1637,1745,1636,1641,1635,1605,1623,1594,1652,1634,1639,1585,1745,1631.0,4.337,29.5602,873.8057,3262.0
D,1560,1529,1543,1531,1487,1522,1515,1485,1512,1478,1545,1558,1555,1523,1524,1531,1509,1547,1543,1559,1572,1488,1535,1586,1515,1512,1531,1529,1522,1528,1470,1527,1511,1498,1526,1539,1580,1508,1573,1567,1535,1549,1529,1570,1524,1499,1610,1505,1547,1511,1470,1610,1531.0,4.0711,28.9009,835.2637,3062.0
U,1373,1360,1384,1371,1404,1374,1355,1376,1347,1393,1361,1339,1366,1378,1361,1362,1351,1385,1356,1283,1361,1372,1389,1342,1378,1339,1333,1366,1335,1338,1332,1363,1383,1320,1367,1349,1407,1372,1375,1336,1351,1366,1370,1321,1365,1327,1360,1359,1328,1368,1283,1407,1359.0,3.6137,23.0718,532.3057,2718.0
M,1176,1113,1144,1196,1160,1195,1164,1182,1141,1207,1194,1166,1182,1160,1149,1136,1145,1196,1154,1160,1180,1160,1193,1208,1138,1131,1152,1187,1160,1188,1198,1203,1161,1125,1167,1165,1133,1180,1185,1127,1186,1144,1155,1147,1169,1171,1160,1140,1178,1172,1113,1208,1165.0,3.0978,23.4596,550.3514,2330.0
