letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,10334.0,10418.0,10218.0,10398.0,10242.0,10216.0,10380.0,10278.0,10326.0,10296.0,10452.0,10246.0,10364.0,10316.0,10330.0,10220.0,10386.0,10286.0,10338.0,10332.0,10394.0,10284.0,10206.0,10316.0,10280.0,10388.0,10418.0,10248.0,10484.0,10218.0,10124.0,10260.0,10578.0,10362.0,10468.0,10332.0,10426.0,10484.0,10274.0,10422.0,10416.0,10462.0,10286.0,10278.0,10336.0,10420.0,10328.0,10332.0,10430.0,10524.0,10124.0,10578.0,10343.0,13.7491,92.7012,8593.5037
T,6530.0,6784.0,6728.0,6626.0,6838.0,6784.0,6768.0,6644.0,6686.0,6660.0,6610.0,6790.0,6878.0,6754.0,6704.0,6662.0,6588.0,6712.0,6604.0,6716.0,6832.0,6802.0,6714.0,6716.0,6708.0,6796.0,6690.0,6648.0,6692.0,6672.0,6644.0,6868.0,6654.0,6796.0,6832.0,6730.0,6614.0,6694.0,6818.0,6634.0,6720.0,6606.0,6740.0,6668.0,6734.0,6804.0,6690.0,6696.0,6768.0,6638.0,6530.0,6878.0,6713.0,8.9237,78.6741,6189.6098
O,5906.0,5848.0,5686.0,6030.0,5822.0,5922.0,5842.0,5878.0,5864.0,5890.0,5960.0,5928.0,5828.0,5930.0,5764.0,5836.0,6004.0,5794.0,5770.0,5812.0,5828.0,5800.0,5840.0,5938.0,5770.0,5824.0,5916.0,5854.0,5946.0,5926.0,5816.0,5872.0,5814.0,5874.0,5926.0,5840.0,5838.0,6000.0,5944.0,5870.0,5938.0,5824.0,5898.0,5886.0,5796.0,5756.0,5846.0,5740.0,5872.0,5932.0,5686.0,6030.0,5864.0,7.7951,71.3061,5084.5535
A,5718.0,5720.0,5796.0,5724.0,5624.0,5746.0,5758.0,5770.0,5620.0,5694.0,5812.0,5616.0,5838.0,5708.0,5800.0,5748.0,5714.0,5686.0,5854.0,5666.0,5842.0,5788.0,5758.0,5806.0,5802.0,5652.0,5820.0,5736.0,5656.0,5674.0,5784.0,5790.0,5758.0,5780.0,5866.0,5808.0,5722.0,5624.0,5624.0,5834.0,5840.0,5692.0,5808.0,5702.0,5828.0,5746.0,5872.0,5806.0,5668.0,5688.0,5616.0,5872.0,5747.0,7.6395,72.1393,5204.0833
H,4908.0,4856.0,4906.0,4986.0,4854.0,4974.0,5056.0,4830.0,5016.0,4926.0,4872.0,4966.0,4916.0,4974.0,4998.0,4868.0,4894.0,4930.0,4866.0,4922.0,5050.0,4910.0,5044.0,5008.0,4852.0,4850.0,5012.0,5070.0,4822.0,4958.0,4860.0,4894.0,5068.0,4832.0,5052.0,5102.0,5030.0,5018.0,4940.0,5010.0,5028.0,4900.0,5002.0,5040.0,4846.0,4998.0,4996.0,4912.0,4810.0,4962.0,4810.0,5102.0,4947.0,6.5761,78.7229,6197.2914
N,4924.0,4892.0,4860.0,4726.0,4802.0,4832.0,4686.0,4844.0,4876.0,4870.0,4826.0,4774.0,4898.0,4838.0,4822.0,4834.0,4870.0,4690.0,4800.0,4890.0,4668.0,4862.0,4838.0,4902.0,4748.0,4894.0,4814.0,4924.0,4746.0,4844.0,4892.0,4922.0,4808.0,4948.0,4862.0,4744.0,4858.0,4828.0,4852.0,4758.0,4780.0,4850.0,4826.0,4820.0,4762.0,4830.0,4774.0,4728.0,4774.0,4782.0,4668.0,4948.0,4823.0,6.4113,65.3791,4274.4229
S,4780.0,4752.0,4766.0,4770.0,4690.0,4826.0,4908.0,4774.0,4754.0,4798.0,4880.0,4802.0,4798.0,4700.0,4842.0,4742.0,4824.0,4800.0,4812.0,4828.0,4780.0,4822.0,4816.0,4734.0,4844.0,4790.0,4900.0,4816.0,4854.0,4840.0,4652.0,4688.0,4756.0,4816.0,4636.0,4852.0,4754.0,4664.0,4812.0,4902.0,4902.0,4654.0,4786.0,4804.0,4634.0,4916.0,4798.0,4656.0,4844.0,4800.0,4634.0,4916.0,4787.0,6.3634,73.1746,5354.5208
I,4446.0,4300.0,4260.0,4466.0,4422.0,4448.0,4326.0,4452.0,4354.0,4348.0,4438.0,4422.0,4468.0,4502.0,4304.0,4360.0,4318.0,4338.0,4446.0,4360.0,4300.0,4434.0,4318.0,4374.0,4470.0,4386.0,4396.0,4320.0,4378.0,4512.0,4390.0,4506.0,4352.0,4362.0,4292.0,4378.0,4336.0,4306.0,4328.0,4382.0,4382.0,4254.0,4472.0,4400.0,4378.0,4412.0,4270.0,4286.0,4280.0,4278.0,4254.0,4512.0,4374.0,5.8144,69.4048,4817.0204
R,4292.0,4294.0,4194.0,4324.0,4386.0,4282.0,4260.0,4306.0,4278.0,4532.0,4346.0,4352.0,4274.0,4380.0,4300.0,4348.0,4366.0,4268.0,4300.0,4326.0,4218.0,4292.0,4316.0,4338.0,4254.0,4354.0,4276.0,4456.0,4222.0,4270.0,4316.0,4310.0,4314.0,4358.0,4238.0,4324.0,4384.0,4332.0,4394.0,4336.0,4356.0,4380.0,4248.0,4378.0,4204.0,4358.0,4332.0,4342.0,4304.0,4336.0,4194.0,4532.0,4318.0,5.74,61.4163,3771.9576
L,3360.0,3216.0,3264.0,3220.0,3342.0,3272.0,3210.0,3190.0,3284.0,3214.0,3254.0,3276.0,3348.0,3300.0,3282.0,3200.0,3284.0,3214.0,3364.0,3266.0,3280.0,3254.0,3292.0,3260.0,3258.0,3234.0,3198.0,3194.0,3310.0,3176.0,3290.0,3184.0,3238.0,3170.0,3320.0,3324.0,3182.0,3252.0,3290.0,3274.0,3490.0,3272.0,3282.0,3270.0,3210.0,3246.0,3188.0,3304.0,3268.0,3278.0,3170.0,3490.0,3262.0,4.3362,59.1204,3495.2229
D,3120.0,3058.0,3086.0,3062.0,2974.0,3044.0,3030.0,2970.0,3024.0,2956.0,3090.0,3116.0,3110.0,3046.0,3048.0,3062.0,3018.0,3094.0,3086.0,3118.0,3144.0,2976.0,3070.0,3172.0,3030.0,3024.0,3062.0,3058.0,3044.0,3056.0,2940.0,3054.0,3022.0,2996.0,3052.0,3078.0,3160.0,3016.0,3146.0,3134.0,3070.0,3098.0,3058.0,3140.0,3048.0,2998.0,3220.0,3010.0,3094.0,3022.0,2940.0,3220.0,3062.0,4.0703,57.8019,3341.0547
U,2746.0,2720.0,2768.0,2742.0,2808.0,2748.0,2710.0,2752.0,2694.0,2786.0,2722.0,2678.0,2732.0,2756.0,2722.0,2724.0,2702.0,2770.0,2712.0,2566.0,2722.0,2744.0,2778.0,2684.0,2756.0,2678.0,2666.0,2732.0,2670.0,2676.0,2664.0,2726.0,2766.0,2640.0,2734.0,2698.0,2814.0,2744.0,2750.0,2672.0,2702.0,2732.0,2740.0,2642.0,2730.0,2654.0,2720.0,2718.0,2656.0,2736.0,2566.0,2814.0,2718.0,3.6131,46.1435,2129.2229
M,2352.0,2226.0,2288.0,2392.0,2320.0,2390.0,2328.0,2364.0,2282.0,2414.0,2388.0,2332.0,2364.0,2320.0,2298.0,2272.0,2290.0,2392.0,2308.0,2320.0,2360.0,2320.0,2386.0,2416.0,2276.0,2262.0,2304.0,2374.0,2320.0,2376.0,2396.0,2406.0,2322.0,2250.0,2334.0,2330.0,2266.0,2360.0,2370.0,2254.0,2372.0,2288.0,2310.0,2294.0,2338.0,2342.0,2320.0,2280.0,2356.0,2344.0,2226.0,2416.0,2331.0,3.0986,46.9191,2201.4057
