letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,26,28,26,25,24,27,26,24,27,26,24,26,26,27,26,25,26,25,23,26,25,25,25,24,25,25,24,25,27,25,26,26,27,27,24,27,28,25,26,25,25,26,26,24,24,27,26,24,26,25,23,28,25.0,4.0258,1.1466,1.3147,13983.0
S,22,23,25,23,25,22,24,24,24,24,25,24,24,24,24,23,24,25,24,25,26,22,23,25,25,22,22,25,25,26,24,24,24,26,26,24,26,23,23,24,26,23,25,25,24,24,24,26,23,22,22,26,24.0,3.8647,1.1995,1.4388,9887.0
A,22,22,24,23,23,24,25,22,23,25,22,23,24,23,25,22,23,23,23,24,26,25,24,22,25,24,22,25,25,24,23,23,24,24,23,25,23,23,23,24,23,24,23,25,24,25,24,24,24,22,22,26,23.0,3.7037,1.0498,1.102,6991.0
T,25,24,26,22,24,23,23,24,22,23,22,23,24,24,26,23,23,22,22,24,22,23,24,24,24,25,22,22,25,24,24,25,23,24,22,23,23,22,22,25,23,24,23,23,24,24,23,24,23,24,22,26,23.0,3.7037,1.0721,1.1494,6991.0
R,24,24,22,23,25,22,23,23,23,23,22,24,24,24,26,23,25,23,24,25,21,21,22,23,23,23,23,24,24,24,21,25,23,25,22,21,23,22,25,24,21,22,25,23,24,24,25,24,24,24,21,26,23.0,3.7037,1.2554,1.5759,6991.0
U,23,23,23,23,25,24,24,24,23,23,23,22,23,24,24,23,23,23,22,24,22,22,23,25,24,23,22,24,22,21,23,25,23,25,23,21,26,24,21,23,24,23,23,26,21,22,23,23,25,24,21,26,23.0,3.7037,1.1877,1.4106,6991.0
I,23,23,23,23,23,23,24,25,23,24,23,22,22,21,23,24,25,24,23,23,26,23,22,22,24,23,23,26,22,22,25,22,24,24,22,23,22,24,24,22,23,22,23,23,26,23,23,24,22,23,21,26,23.0,3.7037,1.1301,1.2771,6991.0
N,27,22,24,25,24,23,22,23,23,23,24,20,23,22,24,23,22,23,25,23,21,24,23,24,21,25,25,24,23,24,26,23,23,25,22,22,24,24,23,24,24,25,23,24,24,26,24,23,25,27,20,27,23.0,3.7037,1.4142,2.0,6991.0
O,23,25,21,24,24,21,22,23,23,24,24,23,24,23,22,24,23,22,23,23,24,23,23,22,21,24,24,22,22,23,24,23,21,25,23,22,23,26,22,22,24,23,22,23,22,24,23,22,21,24,21,26,22.0,3.5427,1.1241,1.2637,4943.0
L,23,22,21,25,21,25,22,21,23,24,23,24,24,21,21,22,22,23,22,23,24,25,25,25,23,22,21,23,22,23,21,22,22,22,23,22,23,24,21,22,21,23,22,24,22,27,21,24,23,21,21,27,22.0,3.5427,1.4033,1.9694,4943.0
M,23,21,20,19,23,20,21,24,22,22,24,21,19,22,21,20,22,20,22,22,20,20,23,20,23,22,23,23,23,21,23,21,22,18,24,21,23,19,20,21,22,20,23,22,21,21,23,23,21,20,18,24,21.0,3.3816,1.4602,2.1322,3495.0
C,21,22,21,22,21,19,22,23,18,24,22,22,24,20,21,20,21,21,22,23,20,22,22,23,20,20,19,21,23,21,21,19,21,19,21,22,23,21,22,22,21,21,21,21,23,21,22,22,20,22,18,24,21.0,3.3816,1.2976,1.6837,3495.0
D,21,22,23,21,22,23,22,23,23,23,21,23,23,23,22,22,23,24,21,22,23,21,20,21,18,23,20,23,20,20,21,21,23,20,23,20,23,20,24,19,21,22,22,22,22,20,23,21,23,22,18,24,21.0,3.3816,1.3486,1.8188,3495.0
P,22,20,22,20,21,19,22,21,21,20,21,21,20,22,20,21,18,21,23,20,18,21,22,21,23,23,20,20,24,21,21,23,20,20,21,20,21,21,20,19,20,21,20,19,20,18,20,22,21,21,18,24,20.0,3.2206,1.2943,1.6751,2471.0
É,20,20,21,21,19,20,17,18,19,19,21,20,19,19,21,18,21,19,20,20,19,19,21,20,18,20,19,19,18,20,19,20,22,19,19,19,21,20,17,19,21,18,19,20,19,20,19,20,20,19,17,22,19.0,3.0596,1.0738,1.1531,1747.0
V,20,20,20,19,21,17,17,20,19,20,20,20,21,18,20,20,17,20,21,20,20,21,18,19,19,21,22,19,18,21,22,20,21,18,18,21,18,21,21,20,19,19,19,18,21,20,19,21,20,21,17,22,19.0,3.0596,1.2817,1.6429,1747.0
B,18,18,17,20,19,19,19,19,20,19,17,20,18,18,16,19,20,19,18,20,19,19,19,19,19,18,20,19,18,17,17,19,18,19,19,21,17,17,20,20,19,19,19,18,19,18,20,17,20,19,16,21,18.0,2.8986,1.0738,1.1531,1235.0
F,17,18,19,17,20,19,19,18,18,17,19,20,17,18,20,19,18,17,19,17,18,19,18,18,20,18,20,19,18,18,20,20,20,17,23,20,19,19,18,20,19,17,19,18,19,20,19,20,17,16,16,23,18.0,2.8986,1.2739,1.6229,1235.0
Q,20,18,19,18,20,18,17,18,17,17,19,18,20,22,19,18,20,17,20,18,19,20,19,20,18,16,20,19,16,17,18,19,19,19,20,18,17,18,18,18,19,18,17,18,19,18,19,18,18,19,16,22,18.0,2.8986,1.1822,1.3976,1235.0
H,16,19,19,18,17,20,20,19,19,19,19,18,17,20,18,18,16,19,17,17,20,17,19,16,19,19,19,17,18,19,19,18,18,20,18,19,19,19,18,18,19,18,19,17,17,19,17,19,19,20,16,20,18.0,2.8986,1.1021,1.2147,1235.0
G,17,18,18,19,17,17,16,18,17,16,16,18,19,18,17,15,16,18,16,17,19,19,18,19,18,16,17,18,18,18,18,17,16,19,18,17,17,17,18,18,16,16,16,18,17,17,17,16,17,19,15,19,17.0,2.7375,1.0422,1.0861,873.0
J,15,16,16,16,18,18,18,17,16,18,18,18,16,18,18,17,18,15,15,17,15,17,18,16,20,16,14,18,19,15,17,16,16,17,15,17,14,18,15,14,15,16,19,16,16,17,17,16,15,16,14,20,16.0,2.5765,1.402,1.9657,617.0
À,15,15,15,15,16,14,17,17,14,16,15,15,16,15,17,16,16,16,16,15,14,14,18,17,17,16,14,20,15,16,16,17,16,15,19,15,18,16,16,14,14,14,15,14,15,18,17,17,15,16,14,20,15.0,2.4155,1.3746,1.8894,436.0
È,15,16,16,16,16,16,14,17,17,15,15,15,15,13,15,18,16,17,13,13,16,15,14,15,16,14,13,16,15,17,16,14,14,14,13,15,13,16,16,16,15,15,14,17,19,16,16,16,15,15,13,19,15.0,2.4155,1.3407,1.7976,436.0
X,15,16,14,15,15,14,15,16,14,15,16,15,16,14,14,15,13,15,16,14,15,16,13,15,15,14,14,14,16,14,13,16,16,14,15,15,14,14,15,16,14,17,14,13,15,17,14,14,17,15,13,17,14.0,2.2544,1.0437,1.0894,308.0
Y,16,14,14,16,15,14,16,13,16,15,14,14,13,14,16,14,15,17,15,15,15,14,16,17,15,17,15,15,16,14,15,13,15,15,14,15,13,15,14,14,16,15,14,13,16,13,16,14,15,16,13,17,14.0,2.2544,1.1008,1.2118,308.0
