letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,19776.0,39553.0,19776.0,13983.0,9887.0,27968.0,19776.0,9887.0,27968.0,19776.0,9887.0,19776.0,19776.0,27968.0,19776.0,13983.0,19776.0,13983.0,6991.0,19776.0,13983.0,13983.0,13983.0,9887.0,13983.0,13983.0,9887.0,13983.0,27968.0,13983.0,19776.0,19776.0,27968.0,27968.0,9887.0,27968.0,39553.0,13983.0,19776.0,13983.0,13983.0,19776.0,19776.0,9887.0,9887.0,27968.0,19776.0,9887.0,19776.0,13983.0,6991.0,39553.0,18220.0,13.9705,7438.8539,55336546.8147
S,4943.0,6991.0,13983.0,6991.0,13983.0,4943.0,9887.0,9887.0,9887.0,9887.0,13983.0,9887.0,9887.0,9887.0,9887.0,6991.0,9887.0,13983.0,9887.0,13983.0,19776.0,4943.0,6991.0,13983.0,13983.0,4943.0,4943.0,13983.0,13983.0,19776.0,9887.0,9887.0,9887.0,19776.0,19776.0,9887.0,19776.0,6991.0,6991.0,9887.0,19776.0,6991.0,13983.0,13983.0,9887.0,9887.0,9887.0,19776.0,6991.0,4943.0,4943.0,19776.0,11115.0,8.5226,4534.0757,20557842.6698
N,27968.0,4943.0,9887.0,13983.0,9887.0,6991.0,4943.0,6991.0,6991.0,6991.0,9887.0,2471.0,6991.0,4943.0,9887.0,6991.0,4943.0,6991.0,13983.0,6991.0,3495.0,9887.0,6991.0,9887.0,3495.0,13983.0,13983.0,9887.0,6991.0,9887.0,19776.0,6991.0,6991.0,13983.0,4943.0,4943.0,9887.0,9887.0,6991.0,9887.0,9887.0,13983.0,6991.0,9887.0,9887.0,19776.0,9887.0,6991.0,13983.0,27968.0,2471.0,27968.0,9713.0,7.4476,5296.3844,28051687.729
A,4943.0,4943.0,9887.0,6991.0,6991.0,9887.0,13983.0,4943.0,6991.0,13983.0,4943.0,6991.0,9887.0,6991.0,13983.0,4943.0,6991.0,6991.0,6991.0,9887.0,19776.0,13983.0,9887.0,4943.0,13983.0,9887.0,4943.0,13983.0,13983.0,9887.0,6991.0,6991.0,9887.0,9887.0,6991.0,13983.0,6991.0,6991.0,6991.0,9887.0,6991.0,9887.0,6991.0,13983.0,9887.0,13983.0,9887.0,9887.0,9887.0,4943.0,4943.0,19776.0,9186.0,7.0435,3412.8927,11647836.6241
T,13983.0,9887.0,19776.0,4943.0,9887.0,6991.0,6991.0,9887.0,4943.0,6991.0,4943.0,6991.0,9887.0,9887.0,19776.0,6991.0,6991.0,4943.0,4943.0,9887.0,4943.0,6991.0,9887.0,9887.0,9887.0,13983.0,4943.0,4943.0,13983.0,9887.0,9887.0,13983.0,6991.0,9887.0,4943.0,6991.0,6991.0,4943.0,4943.0,13983.0,6991.0,9887.0,6991.0,6991.0,9887.0,9887.0,6991.0,9887.0,6991.0,9887.0,4943.0,19776.0,8735.0,6.6977,3522.1473,12405521.8547
R,9887.0,9887.0,4943.0,6991.0,13983.0,4943.0,6991.0,6991.0,6991.0,6991.0,4943.0,9887.0,9887.0,9887.0,19776.0,6991.0,13983.0,6991.0,9887.0,13983.0,3495.0,3495.0,4943.0,6991.0,6991.0,6991.0,6991.0,9887.0,9887.0,9887.0,3495.0,13983.0,6991.0,13983.0,4943.0,3495.0,6991.0,4943.0,13983.0,9887.0,3495.0,4943.0,13983.0,6991.0,9887.0,9887.0,13983.0,9887.0,9887.0,9887.0,3495.0,19776.0,8597.0,6.5919,3618.9039,13096465.398
U,6991.0,6991.0,6991.0,6991.0,13983.0,9887.0,9887.0,9887.0,6991.0,6991.0,6991.0,4943.0,6991.0,9887.0,9887.0,6991.0,6991.0,6991.0,4943.0,9887.0,4943.0,4943.0,6991.0,13983.0,9887.0,6991.0,4943.0,9887.0,4943.0,3495.0,6991.0,13983.0,6991.0,13983.0,6991.0,3495.0,19776.0,9887.0,3495.0,6991.0,9887.0,6991.0,6991.0,19776.0,3495.0,4943.0,6991.0,6991.0,13983.0,9887.0,3495.0,19776.0,8272.0,6.3427,3669.4183,13464630.4261
I,6991.0,6991.0,6991.0,6991.0,6991.0,6991.0,9887.0,13983.0,6991.0,9887.0,6991.0,4943.0,4943.0,3495.0,6991.0,9887.0,13983.0,9887.0,6991.0,6991.0,19776.0,6991.0,4943.0,4943.0,9887.0,6991.0,6991.0,19776.0,4943.0,4943.0,13983.0,4943.0,9887.0,9887.0,4943.0,6991.0,4943.0,9887.0,9887.0,4943.0,6991.0,4943.0,6991.0,6991.0,19776.0,6991.0,6991.0,9887.0,4943.0,6991.0,3495.0,19776.0,8195.0,6.2836,3809.0337,14508737.3833
O,6991.0,13983.0,3495.0,9887.0,9887.0,3495.0,4943.0,6991.0,6991.0,9887.0,9887.0,6991.0,9887.0,6991.0,4943.0,9887.0,6991.0,4943.0,6991.0,6991.0,9887.0,6991.0,6991.0,4943.0,3495.0,9887.0,9887.0,4943.0,4943.0,6991.0,9887.0,6991.0,3495.0,13983.0,6991.0,4943.0,6991.0,19776.0,4943.0,4943.0,9887.0,6991.0,4943.0,6991.0,4943.0,9887.0,6991.0,4943.0,3495.0,9887.0,3495.0,19776.0,7438.0,5.7032,3102.673,9626579.6445
L,6991.0,4943.0,3495.0,13983.0,3495.0,13983.0,4943.0,3495.0,6991.0,9887.0,6991.0,9887.0,9887.0,3495.0,3495.0,4943.0,4943.0,6991.0,4943.0,6991.0,9887.0,13983.0,13983.0,13983.0,6991.0,4943.0,3495.0,6991.0,4943.0,6991.0,3495.0,4943.0,4943.0,4943.0,6991.0,4943.0,6991.0,9887.0,3495.0,4943.0,3495.0,6991.0,4943.0,9887.0,4943.0,27968.0,3495.0,9887.0,6991.0,3495.0,3495.0,27968.0,7172.0,5.4992,4367.5419,19075422.4853
