letter,exp 1,minimum,maximum,average,average_percent,STD,VAR,estimate
E,20041,20041,20041,20041.0,15.0344,,,20041.0
S,11267,11267,11267,11267.0,8.4523,,,11267.0
A,9681,9681,9681,9681.0,7.2625,,,9681.0
N,9563,9563,9563,9563.0,7.174,,,9563.0
R,9198,9198,9198,9198.0,6.9002,,,9198.0
T,9071,9071,9071,9071.0,6.8049,,,9071.0
I,8532,8532,8532,8532.0,6.4006,,,8532.0
U,8410,8410,8410,8410.0,6.309,,,8410.0
O,7767,7767,7767,7767.0,5.8267,,,7767.0
L,6668,6668,6668,6668.0,5.0022,,,6668.0
D,4747,4747,4747,4747.0,3.5611,,,4747.0
C,4544,4544,4544,4544.0,3.4088,,,4544.0
M,4340,4340,4340,4340.0,3.2558,,,4340.0
P,3451,3451,3451,3451.0,2.5889,,,3451.0
V,2232,2232,2232,2232.0,1.6744,,,2232.0
É,2133,2133,2133,2133.0,1.6001,,,2133.0
Q,1724,1724,1724,1724.0,1.2933,,,1724.0
F,1603,1603,1603,1603.0,1.2025,,,1603.0
B,1545,1545,1545,1545.0,1.159,,,1545.0
H,1478,1478,1478,1478.0,1.1088,,,1478.0
G,1162,1162,1162,1162.0,0.8717,,,1162.0
J,738,738,738,738.0,0.5536,,,738.0
À,646,646,646,646.0,0.4846,,,646.0
È,580,580,580,580.0,0.4351,,,580.0
X,475,475,475,475.0,0.3563,,,475.0
Y,435,435,435,435.0,0.3263,,,435.0
Z,341,341,341,341.0,0.2558,,,341.0
Ê,288,288,288,288.0,0.2161,,,288.0
W,135,135,135,135.0,0.1013,,,135.0
Â,104,104,104,104.0,0.078,,,104.0
Î,84,84,84,84.0,0.063,,,84.0
Ù,80,80,80,80.0,0.06,,,80.0
Ô,74,74,74,74.0,0.0555,,,74.0
Û,60,60,60,60.0,0.045,,,60.0
K,53,53,53,53.0,0.0398,,,53.0
Ç,43,43,43,43.0,0.0323,,,43.0
Ë,5,5,5,5.0,0.0038,,,5.0
Ï,2,2,2,2.0,0.0015,,,2.0
Æ,1,1,1,1.0,0.0008,,,1.0
