letter,exp 1,minimum,maximum,average,average_percent,STD,VAR
E,20041,20041,20041,20041.0,15.0344,,
S,11267,11267,11267,11267.0,8.4523,,
A,9681,9681,9681,9681.0,7.2625,,
N,9563,9563,9563,9563.0,7.174,,
R,9198,9198,9198,9198.0,6.9002,,
T,9071,9071,9071,9071.0,6.8049,,
I,8532,8532,8532,8532.0,6.4006,,
U,8410,8410,8410,8410.0,6.309,,
O,7767,7767,7767,7767.0,5.8267,,
L,6668,6668,6668,6668.0,5.0022,,
D,4747,4747,4747,4747.0,3.5611,,
C,4544,4544,4544,4544.0,3.4088,,
M,4340,4340,4340,4340.0,3.2558,,
P,3451,3451,3451,3451.0,2.5889,,
V,2232,2232,2232,2232.0,1.6744,,
É,2133,2133,2133,2133.0,1.6001,,
Q,1724,1724,1724,1724.0,1.2933,,
F,1603,1603,1603,1603.0,1.2025,,
B,1545,1545,1545,1545.0,1.159,,
H,1478,1478,1478,1478.0,1.1088,,
G,1162,1162,1162,1162.0,0.8717,,
J,738,738,738,738.0,0.5536,,
À,646,646,646,646.0,0.4846,,
È,580,580,580,580.0,0.4351,,
X,475,475,475,475.0,0.3563,,
Y,435,435,435,435.0,0.3263,,
Z,341,341,341,341.0,0.2558,,
Ê,288,288,288,288.0,0.2161,,
W,135,135,135,135.0,0.1013,,
Â,104,104,104,104.0,0.078,,
Î,84,84,84,84.0,0.063,,
Ù,80,80,80,80.0,0.06,,
Ô,74,74,74,74.0,0.0555,,
Û,60,60,60,60.0,0.045,,
K,53,53,53,53.0,0.0398,,
Ç,43,43,43,43.0,0.0323,,
Ë,5,5,5,5.0,0.0038,,
Ï,2,2,2,2.0,0.0015,,
Æ,1,1,1,1.0,0.0008,,
