letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,10012,9990,9975,10103,9960,10181,10073,9901,9924,10083,10065,9867,9966,9906,9969,9983,10012,10034,10071,10082,10078,10118,10091,10120,10065,10035,9928,10049,9996,10008,9808,10004,10108,9986,9914,9915,10055,9980,10159,10115,10174,10033,10038,9992,9936,10004,10080,9997,10110,10038,9808,10181,10021.0,15.0414,80.0616,6409.8649,20042.0
S,5632,5623,5628,5665,5606,5728,5713,5577,5594,5632,5674,5594,5566,5712,5630,5698,5621,5554,5637,5699,5616,5621,5594,5556,5642,5611,5614,5636,5612,5624,5738,5569,5584,5576,5739,5602,5662,5709,5664,5550,5585,5648,5591,5638,5674,5767,5694,5646,5583,5620,5550,5767,5634.0,8.4565,53.0656,2815.9576,11268.0
A,4895,4934,4791,4873,4857,4900,4806,4915,4796,4848,4843,4805,4698,4828,4917,4842,4868,4848,4860,4841,4821,4852,4885,4818,4743,4943,4843,4861,4858,4898,4850,4843,4913,4799,4849,4878,4854,4810,4796,4801,4872,4884,4875,4947,4824,4851,4780,4823,4828,4823,4698,4947,4847.0,7.2753,48.3291,2335.7065,9694.0
N,4852,4867,4890,4693,4696,4721,4867,4751,4679,4706,4698,4787,4728,4734,4766,4882,4798,4775,4794,4750,4862,4781,4777,4830,4793,4839,4724,4823,4846,4770,4816,4819,4750,4691,4776,4712,4910,4721,4796,4788,4800,4777,4697,4775,4859,4776,4849,4782,4798,4782,4679,4910,4783.0,7.1792,58.5876,3432.5065,9566.0
R,4574,4610,4561,4577,4585,4673,4645,4505,4547,4668,4594,4582,4626,4588,4659,4577,4644,4609,4646,4552,4586,4583,4582,4638,4555,4606,4594,4590,4544,4646,4530,4576,4590,4545,4634,4571,4658,4573,4606,4596,4588,4642,4555,4565,4583,4513,4657,4592,4646,4545,4505,4673,4594.0,6.8955,41.0909,1688.4608,9188.0
T,4551,4455,4566,4534,4554,4530,4393,4546,4434,4510,4495,4563,4638,4515,4485,4552,4532,4528,4476,4530,4497,4578,4534,4554,4569,4574,4584,4497,4617,4551,4606,4496,4577,4491,4470,4575,4491,4545,4477,4515,4558,4577,4516,4537,4597,4587,4602,4564,4533,4511,4393,4638,4535.0,6.807,48.0253,2306.4331,9070.0
I,4281,4289,4250,4286,4287,4260,4220,4280,4240,4310,4318,4334,4282,4280,4215,4214,4355,4250,4209,4191,4286,4277,4351,4252,4196,4339,4278,4249,4243,4190,4250,4241,4257,4230,4230,4304,4315,4229,4248,4290,4251,4245,4332,4325,4263,4207,4312,4238,4256,4193,4190,4355,4264.0,6.4002,43.27,1872.2922,8528.0
U,4225,4172,4168,4178,4212,4151,4244,4272,4244,4234,4300,4240,4217,4175,4220,4180,4273,4234,4290,4253,4274,4203,4243,4142,4223,4153,4180,4200,4229,4258,4211,4228,4123,4288,4244,4190,4261,4178,4232,4128,4216,4171,4246,4196,4211,4236,4308,4201,4192,4210,4123,4308,4217.0,6.3296,43.6208,1902.7759,8434.0
O,3969,3864,3826,3867,3853,3862,3900,3877,3909,3906,3934,3932,3844,3968,3915,3877,4003,3886,3881,3852,3826,3908,3868,3796,3782,3899,3904,3840,3801,3884,3960,3827,3905,3854,3946,3834,3861,4002,3948,3903,3885,3888,3906,3880,3820,3833,3887,3868,3902,3925,3782,4003,3885.0,5.8313,49.6134,2461.4943,7770.0
L,3343,3435,3245,3322,3249,3374,3287,3328,3279,3329,3339,3335,3317,3315,3318,3309,3382,3378,3336,3313,3358,3390,3349,3359,3347,3373,3235,3236,3391,3308,3379,3385,3415,3305,3324,3346,3310,3369,3335,3407,3315,3286,3348,3288,3389,3364,3368,3334,3304,3394,3235,3435,3336.0,5.0073,45.5885,2078.3118,6672.0
D,2320,2335,2363,2446,2336,2379,2378,2352,2334,2297,2399,2398,2419,2361,2400,2417,2415,2320,2439,2384,2321,2333,2353,2404,2377,2448,2413,2384,2327,2307,2426,2374,2344,2357,2402,2417,2369,2344,2372,2380,2364,2360,2419,2358,2342,2367,2348,2408,2316,2383,2297,2448,2372.0,3.5603,37.7882,1427.9465,4744.0
C,2280,2282,2298,2205,2218,2285,2212,2280,2259,2286,2238,2261,2243,2267,2204,2230,2302,2240,2263,2275,2278,2297,2249,2296,2240,2285,2261,2266,2211,2311,2289,2285,2330,2255,2288,2280,2255,2223,2287,2257,2293,2330,2288,2217,2250,2261,2310,2312,2235,2282,2204,2330,2266.0,3.4012,31.8994,1017.571,4532.0
M,2192,2223,2197,2118,2182,2190,2146,2226,2196,2168,2139,2201,2229,2153,2156,2211,2155,2180,2179,2130,2206,2234,2129,2170,2115,2156,2102,2192,2147,2174,2146,2122,2160,2216,2138,2137,2134,2176,2241,2192,2146,2165,2134,2115,2141,2199,2175,2175,2121,2136,2102,2241,2167.0,3.2526,35.311,1246.8673,4334.0
P,1698,1703,1754,1676,1727,1730,1718,1707,1677,1807,1681,1707,1711,1754,1727,1746,1732,1758,1702,1692,1709,1684,1745,1721,1732,1720,1733,1686,1700,1692,1704,1692,1715,1758,1706,1743,1717,1659,1767,1735,1758,1721,1683,1718,1752,1724,1727,1675,1731,1715,1659,1807,1718.0,2.5787,28.5801,816.82,3436.0
V,1173,1148,1099,1089,1076,1098,1129,1137,1124,1116,1114,1084,1125,1112,1118,1131,1093,1114,1122,1118,1116,1130,1129,1145,1111,1146,1116,1126,1105,1089,1148,1144,1090,1111,1115,1123,1079,1119,1118,1100,1087,1133,1106,1081,1114,1109,1091,1135,1082,1108,1076,1173,1114.0,1.6721,21.0434,442.8261,2228.0
É,1075,1083,1068,1065,1096,1081,1038,1054,1052,1056,1107,1043,1054,1051,1079,1081,1070,1025,1041,1067,1078,1056,1068,1056,1049,1074,1051,1049,1033,1071,1078,1081,1065,1038,1044,1098,1098,1031,1098,1112,1058,1079,1066,1028,1051,1076,1022,1036,1065,1062,1022,1112,1063.0,1.5955,21.5927,466.2453,2126.0
Q,896,859,859,832,894,841,862,840,859,885,844,885,843,839,858,876,842,862,891,914,828,857,817,869,863,868,868,825,860,857,867,904,863,866,880,843,868,850,874,874,874,862,866,864,850,886,847,869,870,879,817,914,862.0,1.2938,20.0046,400.1833,1724.0
F,772,789,783,791,800,813,777,805,814,801,805,795,822,791,813,801,783,772,810,816,778,802,831,774,822,809,792,790,838,818,778,814,803,800,784,828,801,785,799,781,776,809,833,834,810,797,794,823,804,812,772,838,801.0,1.2023,17.4849,305.7208,1602.0
B,786,758,743,786,758,763,755,766,754,806,768,787,774,757,733,793,790,758,779,789,788,730,772,742,768,767,786,767,787,783,767,763,784,769,776,775,792,780,755,752,717,756,763,767,730,761,763,775,759,733,717,806,766.0,1.1498,18.8225,354.2857,1532.0
H,738,715,744,771,729,742,793,726,720,747,750,741,710,748,739,728,717,759,741,724,715,716,734,733,744,758,733,727,739,750,753,737,715,772,752,754,741,735,722,750,765,726,742,721,747,761,755,747,702,739,702,793,739.0,1.1092,17.7725,315.8616,1478.0
G,591,589,564,559,593,594,584,584,586,579,581,571,558,598,591,613,581,575,588,614,587,557,583,586,601,562,583,579,577,589,560,571,568,581,571,588,569,586,580,585,566,572,568,555,584,594,587,569,587,578,555,614,580.0,0.8706,13.2317,175.0792,1160.0
