letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,20024.0,19980.0,19950.0,20206.0,19920.0,20362.0,20146.0,19802.0,19848.0,20166.0,20130.0,19734.0,19932.0,19812.0,19938.0,19966.0,20024.0,20068.0,20142.0,20164.0,20156.0,20236.0,20182.0,20240.0,20130.0,20070.0,19856.0,20098.0,19992.0,20016.0,19616.0,20008.0,20216.0,19972.0,19828.0,19830.0,20110.0,19960.0,20318.0,20230.0,20348.0,20066.0,20076.0,19984.0,19872.0,20008.0,20160.0,19994.0,20220.0,20076.0,19616.0,20362.0,20043.0,15.0395,160.1233,25639.4596
S,11264.0,11246.0,11256.0,11330.0,11212.0,11456.0,11426.0,11154.0,11188.0,11264.0,11348.0,11188.0,11132.0,11424.0,11260.0,11396.0,11242.0,11108.0,11274.0,11398.0,11232.0,11242.0,11188.0,11112.0,11284.0,11222.0,11228.0,11272.0,11224.0,11248.0,11476.0,11138.0,11168.0,11152.0,11478.0,11204.0,11324.0,11418.0,11328.0,11100.0,11170.0,11296.0,11182.0,11276.0,11348.0,11534.0,11388.0,11292.0,11166.0,11240.0,11100.0,11534.0,11269.0,8.4558,106.1312,11263.8302
A,9790.0,9868.0,9582.0,9746.0,9714.0,9800.0,9612.0,9830.0,9592.0,9696.0,9686.0,9610.0,9396.0,9656.0,9834.0,9684.0,9736.0,9696.0,9720.0,9682.0,9642.0,9704.0,9770.0,9636.0,9486.0,9886.0,9686.0,9722.0,9716.0,9796.0,9700.0,9686.0,9826.0,9598.0,9698.0,9756.0,9708.0,9620.0,9592.0,9602.0,9744.0,9768.0,9750.0,9894.0,9648.0,9702.0,9560.0,9646.0,9656.0,9646.0,9396.0,9894.0,9695.0,7.2748,96.6583,9342.8261
N,9704.0,9734.0,9780.0,9386.0,9392.0,9442.0,9734.0,9502.0,9358.0,9412.0,9396.0,9574.0,9456.0,9468.0,9532.0,9764.0,9596.0,9550.0,9588.0,9500.0,9724.0,9562.0,9554.0,9660.0,9586.0,9678.0,9448.0,9646.0,9692.0,9540.0,9632.0,9638.0,9500.0,9382.0,9552.0,9424.0,9820.0,9442.0,9592.0,9576.0,9600.0,9554.0,9394.0,9550.0,9718.0,9552.0,9698.0,9564.0,9596.0,9564.0,9358.0,9820.0,9566.0,7.178,117.1752,13730.0261
R,9148.0,9220.0,9122.0,9154.0,9170.0,9346.0,9290.0,9010.0,9094.0,9336.0,9188.0,9164.0,9252.0,9176.0,9318.0,9154.0,9288.0,9218.0,9292.0,9104.0,9172.0,9166.0,9164.0,9276.0,9110.0,9212.0,9188.0,9180.0,9088.0,9292.0,9060.0,9152.0,9180.0,9090.0,9268.0,9142.0,9316.0,9146.0,9212.0,9192.0,9176.0,9284.0,9110.0,9130.0,9166.0,9026.0,9314.0,9184.0,9292.0,9090.0,9010.0,9346.0,9188.0,6.8943,82.1818,6753.8433
T,9102.0,8910.0,9132.0,9068.0,9108.0,9060.0,8786.0,9092.0,8868.0,9020.0,8990.0,9126.0,9276.0,9030.0,8970.0,9104.0,9064.0,9056.0,8952.0,9060.0,8994.0,9156.0,9068.0,9108.0,9138.0,9148.0,9168.0,8994.0,9234.0,9102.0,9212.0,8992.0,9154.0,8982.0,8940.0,9150.0,8982.0,9090.0,8954.0,9030.0,9116.0,9154.0,9032.0,9074.0,9194.0,9174.0,9204.0,9128.0,9066.0,9022.0,8786.0,9276.0,9070.0,6.8058,96.0507,9225.7322
I,8562.0,8578.0,8500.0,8572.0,8574.0,8520.0,8440.0,8560.0,8480.0,8620.0,8636.0,8668.0,8564.0,8560.0,8430.0,8428.0,8710.0,8500.0,8418.0,8382.0,8572.0,8554.0,8702.0,8504.0,8392.0,8678.0,8556.0,8498.0,8486.0,8380.0,8500.0,8482.0,8514.0,8460.0,8460.0,8608.0,8630.0,8458.0,8496.0,8580.0,8502.0,8490.0,8664.0,8650.0,8526.0,8414.0,8624.0,8476.0,8512.0,8386.0,8380.0,8710.0,8529.0,6.3998,86.54,7489.169
U,8450.0,8344.0,8336.0,8356.0,8424.0,8302.0,8488.0,8544.0,8488.0,8468.0,8600.0,8480.0,8434.0,8350.0,8440.0,8360.0,8546.0,8468.0,8580.0,8506.0,8548.0,8406.0,8486.0,8284.0,8446.0,8306.0,8360.0,8400.0,8458.0,8516.0,8422.0,8456.0,8246.0,8576.0,8488.0,8380.0,8522.0,8356.0,8464.0,8256.0,8432.0,8342.0,8492.0,8392.0,8422.0,8472.0,8616.0,8402.0,8384.0,8420.0,8246.0,8616.0,8434.0,6.3286,87.2416,7611.1037
O,7938.0,7728.0,7652.0,7734.0,7706.0,7724.0,7800.0,7754.0,7818.0,7812.0,7868.0,7864.0,7688.0,7936.0,7830.0,7754.0,8006.0,7772.0,7762.0,7704.0,7652.0,7816.0,7736.0,7592.0,7564.0,7798.0,7808.0,7680.0,7602.0,7768.0,7920.0,7654.0,7810.0,7708.0,7892.0,7668.0,7722.0,8004.0,7896.0,7806.0,7770.0,7776.0,7812.0,7760.0,7640.0,7666.0,7774.0,7736.0,7804.0,7850.0,7564.0,8006.0,7770.0,5.8303,99.2269,9845.9771
L,6686.0,6870.0,6490.0,6644.0,6498.0,6748.0,6574.0,6656.0,6558.0,6658.0,6678.0,6670.0,6634.0,6630.0,6636.0,6618.0,6764.0,6756.0,6672.0,6626.0,6716.0,6780.0,6698.0,6718.0,6694.0,6746.0,6470.0,6472.0,6782.0,6616.0,6758.0,6770.0,6830.0,6610.0,6648.0,6692.0,6620.0,6738.0,6670.0,6814.0,6630.0,6572.0,6696.0,6576.0,6778.0,6728.0,6736.0,6668.0,6608.0,6788.0,6470.0,6870.0,6673.0,5.0072,91.177,8313.2473
