letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,24,24,23,22,24,25,25,24,23,27,24,23,24,22,24,25,24,24,26,25,24,22,24,22,24,24,24,24,24,25,24,23,24,22,25,25,24,25,24,23,25,25,25,24,24,27,24,25,25,24,22,27,24.0,4.6332,1.0999,1.2098,9887.0
N,23,23,24,24,22,24,22,22,24,24,24,22,25,24,23,24,22,23,23,22,21,22,23,23,22,24,23,23,21,21,24,22,21,24,24,24,23,24,24,23,24,23,25,22,24,22,21,26,24,25,21,26,23.0,4.4402,1.1891,1.4139,6991.0
S,23,23,22,22,23,23,19,22,21,24,22,25,21,22,22,23,21,23,23,22,22,21,25,24,21,21,21,22,22,22,21,24,22,20,22,21,22,20,22,23,23,23,23,23,23,20,23,23,21,23,19,25,22.0,4.2471,1.2403,1.5384,4943.0
I,22,21,26,23,25,23,23,24,22,22,23,20,22,23,23,22,22,22,20,23,21,22,22,22,23,25,25,20,23,24,23,25,22,23,21,22,22,22,24,21,25,23,23,23,23,24,22,22,21,22,20,26,22.0,4.2471,1.3536,1.8322,4943.0
T,23,22,22,22,24,21,23,24,24,21,20,22,23,23,21,21,22,23,22,20,25,22,24,20,21,20,21,20,23,23,21,21,23,24,21,23,21,23,22,22,21,22,23,23,22,20,23,25,23,21,20,25,22.0,4.2471,1.3346,1.7812,4943.0
H,23,21,21,22,23,24,22,21,23,21,20,23,24,22,21,24,22,22,20,22,23,22,22,22,24,23,22,21,20,21,22,24,22,22,24,21,21,20,23,24,22,21,21,21,22,23,23,22,23,20,20,24,22.0,4.2471,1.1945,1.4269,4943.0
R,24,25,22,22,21,20,21,22,23,22,21,20,21,23,22,23,24,22,23,21,21,23,24,23,23,23,21,22,23,23,21,19,23,22,22,19,24,24,22,21,21,23,21,24,22,23,22,23,24,22,19,25,22.0,4.2471,1.3248,1.7551,4943.0
A,23,23,21,22,22,22,21,20,21,22,20,22,21,23,20,20,23,22,22,21,22,21,22,23,22,20,21,22,24,21,23,20,23,21,23,20,22,20,22,21,20,20,20,20,24,23,22,23,22,22,20,24,21.0,4.0541,1.178,1.3878,3495.0
D,20,23,23,23,22,23,19,22,21,21,22,22,22,23,20,20,18,20,23,21,23,22,21,23,22,23,22,22,24,20,22,21,23,20,22,21,20,21,21,21,21,21,23,25,22,22,21,21,22,19,18,25,21.0,4.0541,1.3566,1.8404,3495.0
L,20,21,21,21,20,19,21,20,19,18,23,19,22,21,21,19,20,22,22,21,18,22,19,20,19,21,20,22,21,19,20,19,21,20,20,19,20,19,19,21,21,20,18,20,21,20,21,19,20,20,18,23,20.0,3.861,1.1551,1.3343,2471.0
U,21,22,21,21,21,20,22,19,22,22,21,20,20,22,21,22,21,21,22,21,21,23,21,21,21,21,20,19,20,21,19,19,22,21,21,21,20,19,20,19,20,21,21,21,20,21,20,18,19,18,18,23,20.0,3.861,1.1066,1.2245,2471.0
C,21,22,22,20,20,19,21,20,21,21,20,21,20,20,20,22,20,20,20,23,23,21,21,21,21,21,20,20,19,22,20,19,21,21,18,21,22,23,21,21,22,21,21,20,21,22,19,21,21,19,18,23,20.0,3.861,1.0887,1.1853,2471.0
G,19,19,19,19,18,16,22,18,21,19,18,19,18,20,19,22,19,21,21,23,19,20,18,18,20,21,17,20,20,19,19,21,18,17,21,18,18,21,21,18,18,20,20,20,21,18,18,18,21,17,16,23,19.0,3.668,1.5152,2.2959,1747.0
O,18,18,20,19,20,17,21,20,19,21,20,21,20,20,19,19,19,21,18,19,18,18,19,19,20,18,21,17,20,20,19,18,19,20,21,19,18,19,18,19,19,19,21,19,18,20,18,19,21,19,17,21,19.0,3.668,1.0984,1.2065,1747.0
M,19,20,20,21,19,20,20,21,21,21,20,21,18,21,20,19,18,20,21,22,20,20,19,21,18,19,19,22,19,19,20,20,19,20,21,23,19,20,20,20,19,19,20,19,21,20,20,20,20,21,18,23,19.0,3.668,1.0398,1.0812,1747.0
F,18,18,20,20,18,21,18,18,17,18,18,17,18,20,19,19,18,18,22,19,17,18,19,18,18,20,20,18,20,18,18,19,20,18,17,16,18,19,17,19,17,19,21,21,17,17,19,21,18,18,16,22,18.0,3.4749,1.3107,1.718,1235.0
